Score,P1 Odds,P2 Odds
-,2.22,1.61
-,2.10,1.68
-,1.96,1.78
-,1.80,1.93
-,1.54,2.36
0-0 0-0 *15-0,1.49,2.50
0-0 0-0 *40-0,1.44,2.65
0-0 1-0 0-0*,1.43,2.71
0-0 1-0 0-15*,1.46,2.58
0-0 1-0 0-30*,1.50,2.47
0-0 1-0 15-30*,1.46,2.59
0-0 1-1 *0-0,1.53,2.39
0-0 1-1 *0-0,1.54,2.36
0-0 1-1 *15-0,1.50,2.47
0-0 1-1 *15-0,1.46,2.58
0-0 1-1 *15-15,1.35,3.03
0-0 1-1 *40-15,1.33,3.18
0-0 2-1 0-0*,1.30,3.32
0-0 2-1 0-15*,1.33,3.14
0-0 2-1 0-40*,1.37,2.93
0-0 2-1 0-40*,1.37,2.94
0-0 2-2 *0-0,1.34,3.08
0-0 2-2 *0-0,1.36,2.99
0-0 2-2 *0-0,1.33,3.14
0-0 2-2 *40-0,1.30,3.30
0-0 2-2 *40-15,1.33,3.18
0-0 3-2 0-0*,1.30,3.33
0-0 3-2 15-0*,1.25,3.70
0-0 3-2 15-15*,1.30,3.32
0-0 3-2 15-30*,1.33,3.14
0-0 3-2 30-30*,1.28,3.45
0-0 3-2 40-30*,1.17,4.50
0-0 3-2 40-40*,1.23,3.92
0-0 3-3 *0-0,1.38,2.90
0-0 3-3 *0-15,1.46,2.58
0-0 3-3 *15-15,1.41,2.78
0-0 3-3 *15-30,1.53,2.39
0-0 3-3 *30-30,1.41,2.75
0-0 3-3 *40-30,1.34,3.07
0-0 3-3 *40-40,1.46,2.59
0-0 4-3 0-0*,1.30,3.32
0-0 4-3 0-15*,1.33,3.14
0-0 4-3 15-15*,1.28,3.45
0-0 4-3 30-15*,1.22,4.00
0-0 4-3 30-30*,1.28,3.45
0-0 4-3 40-30*,1.17,4.60
0-0 4-3 40-40*,1.22,4.00
0-0 5-3 *0-0,1.13,5.50
0-0 5-3 *15-0,1.11,6.00
0-0 5-3 *40-0,1.10,6.00
1-0 6-3 0-0*,1.10,6.00
1-0 6-3 0-15*,1.11,6.00
1-0 6-3 15-15*,1.09,6.50
1-0 6-3 30-15*,1.06,7.75
1-0 6-3 40-30*,1.05,8.50
1-0 6-3 40-30*,1.05,9.50
1-0 6-3 40-40*,1.06,7.75
1-0 6-3 *0-0,1.13,5.70
1-0 0-1 *0-0,1.13,5.70
1-0 0-1 *30-0,1.10,6.00
1-0 0-1 *40-0,1.10,6.00
1-0 0-1 *40-15,1.10,6.00
1-0 1-1 0-0*,1.10,6.00
1-0 1-1 0-15*,1.11,6.00
1-0 1-1 15-15*,1.09,6.50
1-0 1-1 30-15*,1.06,8.00
1-0 1-1 40-15*,1.04,9.50
1-0 1-1 40-15*,1.03,10.00
1-0 2-1 *0-0,1.02,12.00
1-0 2-1 *0-15,1.03,10.00
1-0 2-1 *15-15,1.02,12.00
1-0 2-1 *15-30,1.03,10.00
1-0 2-1 *30-30,1.02,12.00
1-0 2-1 *40-30,1.01,13.00
1-0 3-1 0-0*,1.01,15.00
1-0 3-1 15-0*,1.005,21.00
1-0 3-1 15-15*,1.01,15.00
1-0 3-1 15-30*,1.01,14.00
1-0 3-1 15-40*,1.01,13.00
1-0 3-2 *0-0,1.02,12.00
1-0 3-2 *15-0,1.01,13.00
1-0 3-2 *15-15,1.02,12.00
1-0 3-2 *30-15,1.01,13.00
1-0 3-2 *40-15,1.01,15.00
1-0 4-2 0-0*,1.005,21.00
1-0 4-2 0-15*,1.005,15.00
1-0 4-2 0-30*,1.01,14.00
1-0 4-2 15-30*,1.005,15.00
1-0 4-2 30-30*,1.01,15.00
1-0 4-3 *0-0,1.01,14.00
1-0 4-3 *15-0,1.005,17.00
1-0 4-3 *30-0,1.004,34.00
1-0 4-3 *30-15,1.005,17.00
1-0 4-3 *40-15,1.004,34.00
1-0 5-3 0-0*,1.002,41.00
1-0 5-3 15-0*,1.002,51.00
1-0 5-3 15-15*,1.002,41.00
1-0 5-3 15-30*,1.002,41.00
1-0 5-3 30-30*,1.002,41.00
1-0 5-3 30-40*,1.002,41.00
1-0 5-4 *0-0,1.005,21.00
1-0 5-4 *15-0,1.002,51.00
1-0 5-4 *30-0,1.001,101.00
1-0 5-4 *40-0,1.001,126.00
2-0 6-4 0-0*,1.001,1.001
