Score,P1 Odds,P2 Odds
-,2.34,1.55
-,2.22,1.61
0-0 1-0 0-0*,1.99,1.76
0-0 1-0 15-15*,1.95,1.78
0-0 1-0 30-15*,1.80,1.93
0-0 1-0 40-15*,1.77,2.24
0-0 1-0 40-30*,1.67,2.11
0-0 1-0 40-40*,1.86,1.87
0-0 1-0 40-40*,1.79,1.95
0-0 1-1 *0-0,2.16,1.65
0-0 1-1 *15-0,2.07,1.70
0-0 1-1 *15-15,2.17,1.64
0-0 1-1 *30-15,2.06,1.71
0-0 1-1 *40-15,1.98,1.76
0-0 1-1 *40-30,2.06,1.76
0-0 1-1 *40-30,2.06,1.71
0-0 2-1 0-0*,1.95,1.79
0-0 2-1 15-0*,1.83,1.90
0-0 2-1 15-0*,1.80,1.93
0-0 2-1 15-15*,1.89,1.84
0-0 2-1 15-30*,2.01,1.74
0-0 2-1 30-30*,1.84,1.89
0-0 2-1 40-30*,1.63,2.18
0-0 3-1 *0-0,1.45,2.62
0-0 3-1 *15-0,1.41,2.77
0-0 3-1 *30-0,1.37,2.92
0-0 3-1 *40-0,1.36,2.99
0-0 4-1 0-0*,1.34,3.06
0-0 4-1 15-0*,1.33,3.20
0-0 4-1 15-15*,1.34,3.07
0-0 4-1 30-15*,1.30,3.30
0-0 4-1 40-15*,1.30,3.30
0-0 4-1 40-30*,1.30,3.35
0-0 4-1 40-40*,1.31,3.26
0-0 5-1 *0-0,1.28,3.45
0-0 5-1 *0-15,1.28,3.45
0-0 5-1 *15-15,1.28,3.45
0-0 5-1 *30-15,1.25,3.69
0-0 5-1 *30-30,1.28,3.45
0-0 5-1 *40-30,1.25,3.69
0-0 5-1 *40-30,1.25,3.70
0-0 5-1 *40-15,1.28,3.45
0-0 5-1 *15-15,1.25,3.78
0-0 5-1 *15-15,1.22,4.00
0-0 5-1 *30-15,1.17,4.60
0-0 5-1 *30-30,1.22,4.00
0-0 5-1 *30-40,1.28,3.45
0-0 5-1 *40-40,1.20,4.25
0-0 5-1 *0-0,1.11,5.90
1-0 1-0 *0-0,1.11,5.90
1-0 1-0 *15-0,1.10,6.00
1-0 1-0 *30-0,1.08,6.50
1-0 1-0 *40-0,1.07,7.00
1-0 1-0 *40-15,1.08,6.50
1-0 2-0 0-0*,1.07,7.00
1-0 2-0 0-15*,1.08,6.50
1-0 2-0 15-15*,1.06,7.75
1-0 2-0 30-15*,1.04,9.50
1-0 2-0 30-30*,1.06,7.75
1-0 2-0 40-30*,1.04,9.50
1-0 2-0 40-40*,1.05,8.50
1-0 3-0 *0-0,1.01,13.00
1-0 3-0 *30-0,1.01,21.00
1-0 3-0 *30-0,1.005,17.00
1-0 3-0 *40-15,1.005,21.00
1-0 3-0 *40-30,1.01,14.00
1-0 4-0 0-0*,1.004,34.00
1-0 4-0 15-0*,1.004,34.00
1-0 4-0 30-15*,1.002,41.00
1-0 4-0 30-30*,1.002,34.00
1-0 4-0 30-40*,1.005,34.00
1-0 4-1 *0-0,1.005,17.00
1-0 4-1 *15-0,1.004,34.00
1-0 4-1 *15-15,1.01,15.00
1-0 4-1 *30-15,1.002,34.00
1-0 4-1 *40-15,1.002,51.00
1-0 4-1 *40-30,1.002,34.00
1-0 4-1 *40-40,1.01,13.00
1-0 5-1 0-0*,1.001,81.00
1-0 5-1 15-0*,1.001,81.00
1-0 5-1 30-0*,1.001,101.00
1-0 5-1 30-15*,1.001,101.00
1-0 5-1 30-30*,1.001,81.00
1-0 5-1 30-40*,1.002,67.00
1-0 5-1 40-40*,1.001,81.00
