Score,P1 Odds,P2 Odds
-,6.50,1.08
0-0 0-0 *0-15,7.50,1.06
0-0 0-0 *30-15,6.00,1.11
0-0 0-0 *40-15,5.40,1.13
0-0 1-0 0-0*,5.40,1.13
0-0 1-0 0-15*,5.50,1.13
0-0 1-1 *0-0,6.00,1.10
0-0 1-1 *15-0,5.90,1.11
0-0 1-1 *40-0,5.20,1.14
0-0 2-1 0-0*,5.20,1.14
0-0 2-1 0-15*,5.20,1.14
0-0 2-1 15-15*,4.80,1.15
0-0 2-1 30-30*,4.65,1.17
0-0 2-1 40-40*,4.65,1.17
0-0 2-1 40-A*,5.20,1.14
0-0 2-2 *0-0,5.90,1.11
0-0 2-2 *15-15,5.90,1.11
0-0 2-2 *15-40,7.75,1.06
0-0 2-2 *15-40,5.90,1.11
0-0 2-2 *40-40,5.90,1.11
0-0 2-2 *40-A,6.50,1.08
0-0 2-2 *A-40,5.20,1.14
0-0 3-2 0-0*,4.60,1.17
0-0 3-2 15-0*,4.60,1.22
0-0 3-2 30-15*,4.00,1.22
0-0 3-2 40-15*,3.32,1.30
0-0 4-2 *0-0,3.00,1.36
0-0 4-2 *0-15,3.30,1.30
0-0 4-2 *15-30,3.14,1.33
0-0 4-2 *30-30,2.82,1.40
0-0 4-2 *40-40,2.82,1.40
0-0 4-2 *40-A,3.27,1.31
0-0 4-3 0-0*,3.92,1.23
0-0 4-3 15-15*,3.32,1.30
0-0 4-3 30-15*,3.90,1.23
0-0 4-3 40-30*,3.03,1.35
0-0 4-3 40-40*,3.50,1.28
0-0 4-3 40-A*,4.25,1.20
0-0 4-3 40-40*,3.50,1.28
0-0 4-4 *0-0,5.00,1.14
0-0 4-4 *15-0,4.25,1.20
0-0 4-4 *15-15,5.20,1.14
0-0 4-4 *30-15,4.25,1.20
0-0 4-4 *40-30,4.00,1.22
0-0 4-4 *40-40,5.20,1.14
0-0 4-4 *A-40,4.00,1.22
0-0 5-4 0-0*,3.32,1.30
0-0 5-4 0-15*,3.78,1.25
0-0 5-4 15-15*,3.30,1.30
0-0 5-5 *0-0,4.65,1.17
0-0 5-5 *15-0,4.25,1.20
0-0 5-5 *30-15,4.05,1.22
0-0 5-5 *40-30,4.00,1.22
0-0 6-5 0-0*,3.32,1.30
0-0 6-5 15-15*,3.28,1.31
0-0 6-5 15-40*,4.25,1.20
0-0 6-6 0-1*,5.40,1.13
0-0 6-6 1-1*,4.25,1.20
0-0 6-6 4-1*,2.50,1.49
0-0 6-6 5-1*,2.19,1.63
0-0 6-6 *6-2,2.13,1.66
1-0 7-6 0-0*,2.00,1.75
1-0 0-0 0-0*,2.00,1.75
