Score,P1 Odds,P2 Odds
-,1.59,2.27
0-1 2-2 *0-0,3.32,1.30
0-1 2-2 *30-0,2.88,1.38
0-1 2-2 *30-15,3.07,1.34
0-1 2-2 *40-15,2.84,1.39
0-1 3-2 0-0*,2.71,1.43
0-1 3-4 15-15*,6.00,1.10
0-1 3-4 30-15*,4.80,1.16
0-1 3-4 40-15*,3.96,1.22
0-1 3-4 40-30*,4.25,1.20
0-1 4-4 *0-0,3.32,1.30
0-1 4-4 *15-0,2.99,1.36
0-1 4-4 *30-0,2.99,1.43
1-1 0-0 1-0*,1.50,2.47
1-1 0-0 2-0*,1.30,3.32
1-1 0-0 *2-1,1.41,2.78
1-1 0-0 *2-2,1.70,2.07
1-1 0-0 3-2*,1.49,2.50
1-1 0-0 3-3*,1.71,2.05
1-1 0-0 *4-3,1.38,2.88
1-1 0-0 *4-3,1.71,2.05
1-1 0-0 5-5*,1.73,2.02
1-1 0-0 *6-5,1.34,3.11
1-1 0-0 *7-5,1.17,4.60
1-1 0-0 7-6*,1.43,2.70
1-1 0-0 7-7*,1.75,1.99
1-1 0-0 *7-8,2.42,1.52
1-1 0-0 *8-8,1.76,1.98
1-1 0-0 8-9*,4.25,1.20
1-1 0-0 8-10*,1.001,1.001
