Score,P1 Odds,P2 Odds
-,7.00,1.07
-,6.50,1.10
0-0 0-0 0-15*,6.50,1.08
0-0 0-0 15-15*,6.00,1.10
0-0 0-0 15-30*,6.50,1.08
0-0 0-0 15-40*,7.00,1.07
0-0 0-1 *0-0,7.50,1.06
0-0 0-1 *15-0,6.50,1.08
0-0 0-1 *40-0,6.00,1.10
0-0 0-1 *40-15,6.00,1.10
0-0 0-1 *40-30,6.50,1.08
0-0 0-1 *40-40,7.75,1.06
0-0 0-1 *40-40,8.50,1.05
0-0 0-1 *40-A,9.50,1.04
0-0 0-1 *40-40,8.50,1.05
0-0 1-1 0-0*,6.50,1.08
0-0 1-1 0-15*,7.00,1.07
0-0 1-1 0-40*,7.75,1.06
0-0 1-2 *0-0,7.75,1.06
0-0 1-2 *0-30,9.50,1.04
0-0 1-2 *0-40,11.00,1.02
0-0 1-3 0-0*,12.00,1.02
0-0 1-3 0-15*,12.00,1.02
0-0 1-3 15-30*,12.00,1.02
0-0 1-3 15-40*,13.00,1.01
0-0 1-4 *0-0,13.00,1.01
0-0 1-4 *15-0,13.00,1.01
0-0 1-4 *40-0,12.00,1.02
0-0 2-4 0-0*,12.00,1.02
0-0 2-4 0-30*,13.00,1.01
0-0 2-4 15-30*,12.00,1.02
0-0 2-4 40-30*,10.00,1.03
0-0 2-4 40-30*,9.50,1.04
0-0 3-4 *0-0,8.00,1.06
0-0 3-4 *0-15,9.50,1.04
0-0 3-4 *0-30,10.00,1.03
0-0 3-4 *30-30,8.00,1.06
0-0 3-4 *30-40,9.50,1.04
0-0 3-4 *40-40,8.00,1.06
0-0 3-4 *40-40,8.00,1.05
0-0 3-4 *A-40,6.50,1.08
0-0 3-4 *40-40,8.00,1.06
0-0 3-4 *A-40,6.50,1.08
0-0 4-4 0-0*,6.00,1.08
0-0 4-4 15-30*,6.50,1.08
0-0 4-4 15-40*,7.50,1.06
0-0 4-5 *0-0,7.75,1.06
0-0 4-5 *15-0,6.50,1.08
0-0 4-5 *40-0,6.00,1.11
0-0 5-5 0-0*,6.00,1.11
0-0 5-5 0-15*,6.00,1.11
0-0 5-5 15-15*,5.40,1.13
0-0 5-5 15-30*,6.00,1.11
0-0 5-5 30-40*,6.00,1.10
0-0 5-5 30-40*,6.00,1.11
0-0 5-6 *0-0,6.50,1.08
0-0 5-6 *15-0,6.50,1.08
0-0 5-6 *30-15,6.00,1.11
0-0 5-6 *40-15,5.20,1.14
0-0 6-6 0-0*,4.65,1.17
0-0 6-6 *0-1,5.90,1.11
0-0 6-6 *0-2,8.00,1.06
0-0 6-6 1-2*,6.00,1.11
0-0 6-6 *1-4,9.50,1.04
0-0 6-6 *1-5,12.00,1.02
0-0 6-6 1-6*,13.00,1.01
0-1 6-7 *0-0,13.00,1.01
0-1 6-7 *15-15,13.00,1.01
0-1 6-7 *15-30,17.00,1.005
0-1 0-0 *15-30,14.00,1.01
0-1 0-0 *40-30,13.00,1.01
0-1 0-0 *40-40,14.00,1.01
0-1 0-0 *A-40,13.00,1.01
0-1 0-0 *40-40,14.00,1.01
0-1 0-0 *A-40,13.00,1.01
0-1 0-0 *A-40,12.00,1.01
0-1 1-0 0-0*,12.00,1.02
0-1 1-0 15-0*,11.00,1.02
0-1 1-0 15-40*,12.00,1.01
0-1 1-0 30-40*,12.00,1.02
0-1 1-1 *0-0,13.00,1.01
0-1 1-1 *15-15,13.00,1.01
0-1 1-1 *15-30,14.00,1.01
0-1 1-2 0-0*,67.00,1.002
0-1 1-2 0-15*,81.00,1.002
0-1 1-2 15-30*,67.00,1.002
0-1 1-3 *0-0,81.00,1.001
0-1 1-3 *15-0,81.00,1.001
0-1 1-3 *15-15,81.00,1.001
0-1 1-3 *30-15,81.00,1.001
0-1 1-3 *30-30,81.00,1.001
0-1 1-3 *40-30,67.00,1.002
