Score,P1 Odds,P2 Odds
-,1.40,2.80
-,1.47,2.56
0-0 1-0 *30-30,1.25,3.90
0-0 2-0 0-0*,1.20,4.25
0-0 2-0 0-15*,1.22,4.00
0-0 2-0 15-15*,1.20,4.25
0-0 2-0 15-30*,1.22,4.00
0-0 2-0 30-30*,1.20,4.25
0-0 2-0 40-30*,1.17,4.65
0-0 2-0 40-40*,1.20,4.25
0-0 2-0 A-40*,1.20,4.25
0-0 3-0 *0-0,1.13,5.40
0-0 3-0 *15-0,1.13,5.40
0-0 3-0 *15-15,1.14,5.20
0-0 3-0 *30-15,1.14,5.40
0-0 3-0 *30-15,1.13,5.40
0-0 3-0 *40-30,1.13,5.40
0-0 3-0 *A-30,1.13,5.40
0-0 4-0 0-0*,1.11,6.00
0-0 4-0 0-40*,1.13,5.40
0-0 4-1 *0-0,1.13,5.40
0-0 4-1 *0-15,1.14,5.20
0-0 4-1 *15-15,1.13,5.40
0-0 4-1 *15-30,1.14,5.20
0-0 4-1 *30-30,1.13,5.40
0-0 4-1 *40-30,1.13,5.50
0-0 5-1 0-0*,1.11,6.00
0-0 5-1 0-15*,1.11,6.00
0-0 5-1 15-15*,1.11,6.00
0-0 5-1 30-15*,1.10,6.00
0-0 5-1 40-30*,1.10,6.00
1-0 6-1 *0-0,1.08,6.50
1-0 6-1 *0-0,1.05,8.50
1-0 0-0 *15-0,1.04,9.50
1-0 0-0 *40-0,1.03,10.00
1-0 1-0 0-0*,1.03,10.00
1-0 1-0 0-15*,1.03,10.00
1-0 1-0 0-15*,1.04,9.50
1-0 1-0 0-30*,1.05,8.50
1-0 1-0 0-40*,1.06,8.00
1-0 1-0 15-40*,1.05,8.50
1-0 1-0 30-40*,1.04,9.50
1-0 1-0 40-40*,1.03,10.00
1-0 1-0 40-A*,1.04,9.50
1-0 1-1 *0-0,1.06,7.75
1-0 1-1 *0-15,1.08,6.50
1-0 1-1 *15-15,1.06,7.75
1-0 1-1 *15-15,1.04,9.50
1-0 1-1 *30-15,1.03,10.00
1-0 1-1 *30-30,1.04,9.50
1-0 1-1 *30-40,1.06,7.75
1-0 1-2 0-0*,1.10,6.00
1-0 1-2 0-15*,1.11,5.90
1-0 1-2 15-30*,1.13,5.50
1-0 1-2 15-40*,1.14,5.20
1-0 1-3 *0-0,1.16,4.80
1-0 1-3 *0-0,1.14,5.20
1-0 1-3 *30-15,1.14,5.20
1-0 1-3 *40-15,1.13,5.40
1-0 2-3 0-0*,1.13,5.50
1-0 2-3 0-15*,1.14,5.20
1-0 2-3 0-30*,1.17,4.65
1-0 2-3 15-30*,1.14,5.20
1-0 2-3 15-30*,1.13,5.70
1-0 2-3 15-40*,1.14,5.20
1-0 2-4 *0-0,1.17,4.60
1-0 2-4 *0-0,1.20,4.30
1-0 2-4 *0-15,1.22,4.00
1-0 2-4 *0-30,1.25,3.70
1-0 2-4 *15-30,1.22,4.00
1-0 2-4 *30-30,1.20,4.25
1-0 2-4 *40-30,1.17,4.65
1-0 3-4 0-0*,1.14,5.20
1-0 3-4 15-0*,1.13,5.50
1-0 3-4 30-0*,1.09,6.50
1-0 3-4 30-15*,1.11,5.90
1-0 3-4 30-30*,1.14,5.20
1-0 3-4 30-40*,1.20,4.25
1-0 3-4 40-40*,1.14,5.20
1-0 3-4 A-40*,1.10,6.00
1-0 5-4 0-30*,1.04,9.50
1-0 5-4 0-40*,1.05,8.50
1-0 5-4 15-40*,1.05,8.50
1-0 5-5 *0-0,1.06,7.75
1-0 5-5 *15-0,1.05,8.50
1-0 5-5 *15-15,1.06,7.50
1-0 5-5 *15-30,1.10,6.00
1-0 5-5 *30-30,1.06,7.50
1-0 5-5 *30-30,1.06,7.00
1-0 5-5 *30-30,1.07,7.00
1-0 5-5 *40-30,1.04,9.50
1-0 5-5 *40-40,1.08,6.50
1-0 5-5 *A-40,1.04,9.50
1-0 5-5 *40-40,1.08,6.50
1-0 5-5 *A-40,1.04,9.50
1-0 6-5 0-0*,1.03,10.00
1-0 6-5 15-0*,1.01,13.00
1-0 6-5 15-15*,1.03,10.00
1-0 6-5 30-15*,1.01,13.00
1-0 6-5 30-30*,1.03,10.00
1-0 6-5 40-30*,1.01,14.00
1-0 6-5 40-40*,1.03,10.00
1-0 6-5 40-A*,1.05,8.50
1-0 6-6 *0-0,1.05,8.50
1-0 6-6 1-0*,1.06,8.00
1-0 6-6 1-0*,1.05,8.50
1-0 6-6 2-0*,1.03,10.00
1-0 6-6 *2-1,1.05,8.50
1-0 6-6 *3-1,1.03,10.00
1-0 6-6 3-2*,1.05,8.50
1-0 6-6 4-2*,1.02,12.00
1-0 6-6 *5-2,1.005,34.00
1-0 6-6 *6-2,1.001,126.00
1-0 6-6 6-3*,1.001,81.00
1-0 6-6 6-4*,1.005,34.00
2-0 7-6 0-0*,1.001,1.001
