Score,P1 Odds,P2 Odds
-,1.69,2.08
0-0 0-0 0-40*,1.85,1.88
0-0 0-1 *0-0,1.87,1.86
0-0 0-1 *0-30,2.16,1.65
0-0 0-1 *0-30,2.05,1.71
0-0 0-1 *40-30,1.74,2.00
0-0 1-1 0-0*,1.64,2.17
0-0 1-1 15-15*,1.62,2.20
0-0 1-1 15-30*,1.69,2.08
0-0 1-1 30-30*,1.60,2.25
0-0 1-1 40-40*,1.59,2.26
0-0 1-2 *15-0,1.74,2.00
0-0 1-2 *30-15,1.75,2.00
0-0 1-2 *40-30,1.73,2.02
0-0 2-2 15-0*,1.56,2.33
0-0 2-2 15-30*,1.70,2.07
0-0 2-2 15-40*,1.83,1.90
0-0 2-2 15-30*,2.18,1.63
0-0 2-2 30-30*,1.89,1.84
0-0 2-2 40-30*,1.78,1.96
0-0 3-2 0-0*,1.65,2.14
0-0 3-2 15-30*,1.74,2.01
0-0 3-3 15-40*,1.87,1.86
0-0 3-3 15-40*,1.79,1.95
0-0 3-3 30-15*,1.81,1.92
0-0 3-3 40-15*,1.73,2.03
0-0 4-3 0-15*,1.75,1.99
0-0 4-3 15-30*,1.75,2.00
0-0 4-5 *0-0,1.95,1.79
0-0 4-5 *15-0,1.83,1.90
0-0 4-5 *30-15,1.73,2.03
0-0 4-5 *40-15,1.65,2.15
0-0 4-5 *40-30,1.72,2.04
0-0 5-5 0-0*,1.60,2.25
0-0 5-5 0-30*,1.68,2.10
0-0 5-5 30-40*,1.68,2.10
0-0 5-6 *0-0,1.81,1.92
0-0 5-6 *15-0,1.71,2.05
0-0 5-6 *15-15,1.88,1.85
0-0 5-6 *15-30,2.18,1.63
0-0 5-6 *30-30,1.71,2.04
0-0 6-6 *1-1,1.59,2.25
0-0 6-6 2-1*,1.45,2.64
0-0 6-6 *3-2,1.38,2.90
0-0 6-6 *4-2,1.28,3.45
0-0 6-6 4-3*,1.42,2.72
0-0 6-6 *5-5,1.66,2.14
0-0 6-6 5-6*,2.24,1.60
0-1 6-7 *0-0,3.07,1.34
0-1 6-7 *30-0,2.80,1.40
0-1 0-0 *40-0,2.74,1.42
0-1 1-0 0-0*,2.68,1.44
0-1 1-0 15-0*,2.47,1.50
0-1 1-0 30-0*,2.27,1.58
0-1 1-0 30-15*,2.40,1.53
0-1 1-0 30-30*,2.58,1.46
0-1 1-0 30-40*,2.80,1.40
0-1 1-0 40-40*,2.47,1.50
0-1 1-1 *30-0,2.76,1.41
0-1 1-1 *40-0,2.69,1.43
0-1 2-1 0-0*,2.61,1.45
0-1 2-1 0-30*,2.89,1.38
0-1 2-1 0-40*,2.98,1.36
0-1 2-2 *0-0,3.02,1.35
0-1 2-2 *30-0,2.74,1.42
0-1 2-2 *40-15,2.73,1.42
0-1 2-2 *40-30,2.92,1.37
0-1 3-2 0-0*,2.65,1.44
0-1 3-2 0-30*,2.92,1.37
0-1 3-2 15-40*,2.95,1.37
0-1 3-3 *15-0,2.87,1.38
0-1 3-3 *15-30,3.98,1.22
0-1 3-3 *30-30,3.32,1.30
0-1 3-3 *40-40,4.60,1.17
0-1 3-4 0-0*,6.00,1.11
0-1 3-4 15-15*,6.00,1.11
0-1 3-4 30-15*,4.60,1.17
0-1 3-4 30-30*,5.40,1.13
0-1 3-4 40-40*,5.20,1.14
0-1 3-5 *0-0,10.00,1.03
0-1 3-5 *30-30,11.00,1.02
0-1 3-5 *40-30,9.50,1.04
0-1 4-5 0-0*,8.50,1.05
0-1 4-5 15-15*,8.00,1.06
0-1 4-5 30-30*,7.50,1.07
0-1 5-6 0-0*,9.50,1.04
0-1 5-6 15-15*,7.75,1.06
0-1 5-6 30-15*,5.20,1.14
0-1 5-6 30-40*,12.00,1.02
0-2 5-7 *0-0,1.001,1.001
