Score,P1 Odds,P2 Odds
-,1.59,2.26
0-0 0-0 *15-0,1.58,2.39
0-0 0-0 *15-30,1.70,2.07
0-0 0-0 *30-30,1.64,2.17
0-0 0-1 0-0*,2.04,1.72
0-0 0-1 0-30*,2.23,1.61
0-0 0-1 30-30*,1.98,1.77
0-0 0-2 *0-0,2.31,1.57
0-0 0-2 *0-30,2.66,1.44
0-0 0-2 *15-40,2.79,1.40
0-0 0-3 0-0*,3.08,1.34
0-0 0-3 0-30*,3.33,1.30
0-0 0-3 15-30*,3.14,1.33
0-0 0-3 40-30*,2.71,1.43
0-0 0-3 40-40*,2.94,1.37
0-0 1-3 *0-0,2.58,1.46
0-0 1-3 *30-0,2.41,1.52
0-0 2-3 0-0*,2.31,1.57
0-0 2-3 0-15*,2.46,1.50
0-0 2-3 15-15*,2.25,1.60
0-0 2-3 30-30*,2.23,1.61
0-0 2-3 40-40*,2.17,1.64
0-0 2-4 *0-0,2.70,1.43
0-0 2-4 *15-0,2.59,1.46
0-0 2-4 *40-0,2.46,1.50
0-0 3-4 0-0*,2.44,1.51
0-0 3-4 0-15*,2.63,1.45
0-0 3-4 0-30*,2.78,1.41
0-0 3-4 0-40*,2.93,1.37
0-0 3-4 15-40*,2.82,1.40
0-0 3-4 15-40*,2.60,1.46
0-0 3-4 40-40*,2.16,1.64
0-0 4-4 *0-0,1.72,2.04
0-0 4-4 *30-0,1.54,2.37
0-0 5-4 0-0*,1.48,2.54
0-0 5-4 0-0*,1.44,2.67
0-0 5-4 0-15*,1.51,2.44
0-0 5-4 0-30*,1.58,2.27
0-0 5-5 *0-0,1.66,2.14
0-0 5-5 *30-0,1.51,2.44
0-0 5-5 *30-15,1.60,2.25
0-0 5-5 *40-15,1.50,2.47
0-0 5-5 *40-30,1.60,2.25
0-0 6-5 0-0*,1.46,2.60
0-0 6-5 15-15*,1.45,2.63
0-0 6-5 30-15*,1.31,3.24
0-0 6-5 30-30*,1.41,2.77
0-0 6-5 40-40*,1.40,2.82
0-0 6-5 40-40*,1.36,2.97
1-0 7-5 *0-0,1.14,5.20
1-0 0-0 *0-15,1.17,4.60
1-0 0-0 *30-15,1.14,5.20
1-0 0-0 *30-30,1.17,4.65
1-0 0-0 *40-30,1.14,5.20
1-0 1-0 0-0*,1.11,5.90
1-0 1-0 30-0*,1.06,7.75
1-0 1-0 30-15*,1.08,6.50
1-0 1-0 40-15*,1.05,8.50
1-0 2-0 *0-0,1.03,10.00
1-0 2-0 *30-0,1.02,12.00
1-0 2-0 *40-15,1.02,12.00
1-0 3-0 0-0*,1.01,13.00
1-0 3-0 15-0*,1.01,14.00
1-0 3-0 30-15*,1.01,15.00
1-0 3-0 30-30*,1.01,13.00
1-0 3-0 40-30*,1.005,34.00
1-0 4-0 *0-0,1.001,81.00
1-0 4-0 *15-0,1.001,81.00
1-0 4-0 *30-0,1.001,101.00
1-0 5-0 0-0*,1.001,126.00
