Score,P1 Odds,P2 Odds
-,1.68,2.10
0-0 2-0 *0-0,1.31,3.28
0-0 2-0 *0-15,1.35,3.04
0-0 2-0 *15-30,1.36,2.96
0-0 2-0 *15-40,1.44,2.67
0-0 2-1 0-0*,1.49,2.50
0-0 2-1 15-15*,1.49,2.50
0-0 2-1 15-15*,1.41,2.78
0-0 3-1 *0-0,1.30,3.32
0-0 3-1 *30-0,1.23,3.92
0-0 3-1 *30-15,1.25,3.69
0-0 3-1 *40-15,1.22,4.00
0-0 4-1 0-0*,1.22,4.00
0-0 4-1 15-0*,1.22,4.05
0-0 4-1 30-0*,1.17,4.30
0-0 4-1 40-0*,1.17,4.65
0-0 4-1 40-40*,1.20,4.20
0-0 5-1 *0-0,1.17,4.65
0-0 5-1 *15-0,1.17,4.65
0-0 5-1 *15-15,1.17,4.65
0-0 5-1 *30-30,1.17,4.60
0-0 5-1 *30-40,1.17,4.50
0-0 5-1 *40-40,1.17,4.60
0-0 5-2 0-0*,1.17,4.60
0-0 5-2 0-40*,1.22,4.00
1-0 0-0 40-15*,1.11,6.00
1-0 1-0 *0-0,1.08,6.50
1-0 1-0 *40-0,1.04,9.50
1-0 2-0 0-0*,1.04,9.50
1-0 2-0 15-15*,1.04,9.50
1-0 2-0 40-15*,1.02,12.00
1-0 2-0 40-40*,1.04,9.50
1-0 2-1 *0-0,1.04,9.50
1-0 2-1 *15-0,1.03,10.00
1-0 2-1 *15-15,1.04,9.50
1-0 2-1 *30-30,1.04,9.50
1-0 2-1 *30-40,1.06,7.50
1-0 2-2 15-0*,1.08,6.50
1-0 2-2 30-0*,1.06,7.75
1-0 2-2 40-0*,1.04,9.50
1-0 2-2 40-30*,1.07,7.50
1-0 2-2 40-40*,1.11,6.00
1-0 2-3 *0-0,1.17,4.60
1-0 2-3 *0-15,1.22,4.00
1-0 2-3 *15-30,1.22,4.00
1-0 2-3 *40-30,1.14,5.20
1-0 3-3 0-0*,1.12,5.70
1-0 3-3 15-0*,1.09,6.50
1-0 3-3 30-0*,1.06,8.00
1-0 3-3 40-15*,1.05,8.50
1-0 3-3 40-30*,1.06,7.50
1-0 4-3 *0-0,1.03,10.00
1-0 4-3 *0-0,1.04,9.50
1-0 4-3 *15-15,1.04,9.50
1-0 4-3 *15-30,1.06,8.00
1-0 4-3 *15-40,1.10,6.00
1-0 4-3 *30-40,1.07,7.00
1-0 4-4 0-0*,1.13,5.40
1-0 4-4 15-0*,1.10,6.00
1-0 4-4 15-15*,1.13,5.40
1-0 4-4 15-30*,1.17,4.65
1-0 4-4 30-30*,1.13,5.40
1-0 4-4 40-30*,1.06,7.50
1-0 4-4 *0-0,1.03,10.00
1-0 4-4 *15-0,1.01,13.00
