Score,P1 Odds,P2 Odds
-,1.91,1.82
0-0 0-0 *15-15,1.92,1.81
0-0 0-0 *15-30,2.08,1.70
0-0 0-0 *15-40,2.25,1.59
0-0 0-0 *30-40,2.13,1.66
0-0 0-1 0-0*,2.42,1.52
0-0 0-1 0-15*,2.56,1.47
0-0 0-1 0-30*,2.72,1.42
0-0 0-1 0-40*,2.83,1.39
0-0 0-2 *0-0,2.89,1.38
0-0 0-2 *15-0,2.74,1.42
0-0 0-2 *30-0,2.63,1.45
0-0 0-2 *40-0,2.54,1.48
0-0 0-2 *40-15,2.60,1.46
0-0 0-2 *40-15,2.50,1.49
0-0 0-2 *40-15,2.67,1.44
0-0 0-2 *15-15,2.47,1.50
0-0 0-2 *15-15,2.46,1.50
0-0 0-2 *15-30,2.65,1.44
0-0 0-2 *30-30,2.42,1.52
0-0 0-2 *40-30,2.16,1.65
0-0 0-2 *40-30,2.13,1.66
0-0 1-2 40-40*,2.35,1.55
0-0 2-2 *0-0,2.00,1.74
0-0 2-2 *0-0,2.01,1.74
0-0 2-2 *15-0,1.91,1.82
0-0 2-2 *30-0,1.81,1.92
0-0 2-2 *40-0,1.75,1.99
0-0 2-2 *40-0,1.76,1.99
0-0 3-2 0-0*,1.72,2.04
0-0 3-2 15-0*,1.61,2.21
0-0 3-2 15-0*,1.70,2.07
0-0 3-2 15-30*,1.80,1.94
0-0 3-2 15-40*,1.90,1.83
0-0 3-3 *0-0,1.98,1.76
0-0 3-3 *15-0,1.87,1.87
0-0 3-3 *30-0,1.77,1.97
0-0 3-3 *40-0,1.71,2.06
0-0 4-3 0-0*,1.68,2.10
0-0 4-3 0-0*,1.67,2.11
0-0 4-3 0-15*,1.76,1.99
0-0 4-3 15-15*,1.65,2.15
0-0 4-3 15-30*,1.77,1.98
0-0 4-3 30-30*,1.64,2.16
0-0 4-3 30-30*,1.63,2.19
0-0 4-3 30-40*,1.77,1.98
0-0 4-4 *0-0,1.93,1.80
0-0 4-4 *0-15,2.15,1.65
0-0 4-4 *0-30,2.47,1.50
0-0 4-4 *15-30,2.24,1.60
0-0 4-4 *15-40,2.74,1.42
0-0 4-4 *30-40,2.47,1.50
0-0 4-4 *40-40,2.10,1.68
0-0 4-5 0-0*,2.97,1.36
0-0 4-5 0-15*,3.32,1.30
0-0 4-5 15-15*,2.95,1.37
0-0 4-5 30-15*,2.47,1.50
0-0 4-5 30-30*,2.88,1.38
0-0 4-5 40-30*,2.30,1.58
0-0 4-5 40-40*,2.78,1.41
0-0 5-6 0-0*,3.01,1.35
0-0 5-6 15-0*,2.64,1.45
0-0 5-6 15-15*,2.93,1.37
0-0 5-6 15-30*,3.32,1.30
0-0 5-6 15-40*,3.96,1.22
0-1 5-7 *0-0,4.25,1.20
0-1 0-0 *0-0,4.50,1.17
0-1 0-0 *15-0,4.00,1.22
0-1 0-0 *15-30,4.60,1.17
0-1 0-0 *30-30,4.00,1.22
0-1 0-0 *40-30,3.69,1.25
0-1 0-0 *40-40,4.25,1.20
0-1 0-1 0-0*,5.40,1.13
0-1 0-1 0-15*,6.00,1.11
0-1 0-1 0-30*,6.00,1.10
0-1 0-1 15-40*,6.00,1.10
0-1 0-2 *0-0,6.50,1.08
0-1 0-2 *0-15,7.75,1.06
0-1 0-2 *15-15,6.50,1.08
0-1 0-2 *15-30,8.50,1.05
0-1 0-2 *30-30,7.00,1.07
0-1 0-2 *30-40,9.50,1.04
0-1 0-2 *40-40,7.50,1.06
0-1 0-2 *40-40,7.75,1.06
0-1 0-3 0-0*,11.00,1.02
0-1 0-3 0-15*,12.00,1.02
0-1 0-3 15-15*,10.00,1.03
0-1 0-3 30-15*,9.50,1.04
0-1 0-3 30-30*,10.00,1.03
0-1 0-3 30-40*,12.00,1.02
0-1 0-3 40-40*,10.00,1.03
0-1 0-4 *0-0,15.00,1.01
0-1 0-4 *0-15,21.00,1.005
0-1 0-4 *0-15,15.00,1.01
0-1 0-4 *30-15,13.00,1.01
0-1 0-4 *30-30,15.00,1.005
0-1 0-4 *30-40,34.00,1.002
0-1 0-4 *40-40,34.00,1.002
0-1 0-4 *40-40,17.00,1.005
0-1 0-5 0-0*,101.00,1.001
0-1 0-5 15-0*,81.00,1.001
0-1 0-5 30-0*,51.00,1.002
0-1 0-5 40-0*,41.00,1.002
0-1 0-5 40-15*,41.00,1.002
0-1 1-5 *0-0,34.00,1.002
0-1 1-5 *0-15,41.00,1.002
0-1 1-5 *15-15,34.00,1.002
0-1 1-5 *30-15,34.00,1.005
0-1 1-5 *40-15,17.00,1.005
0-1 2-5 0-0*,15.00,1.01
0-1 2-5 15-0*,12.00,1.01
0-1 2-5 15-15*,14.00,1.01
0-1 2-5 15-30*,34.00,1.002
0-1 2-5 30-30*,13.00,1.01
0-1 2-5 30-40*,41.00,1.002
0-2 2-6 *0-0,1.001,1.001
