Score,P1 Odds,P2 Odds
-,1.87,1.87
0-0 0-0 *15-0,1.79,1.94
0-0 0-0 *30-0,1.74,2.01
0-0 0-0 *40-15,1.73,2.03
0-0 1-0 0-0*,1.70,2.08
0-0 1-0 0-15*,1.75,2.00
0-0 1-0 30-15*,1.56,2.33
0-0 1-0 30-40*,1.75,2.00
0-0 1-1 *0-0,2.15,1.65
0-0 1-1 *30-15,2.07,1.70
0-0 1-1 *40-30,2.06,1.71
0-0 1-1 *40-40,2.36,1.54
0-0 1-2 0-0*,2.93,1.37
0-0 1-2 0-0*,2.90,1.38
0-0 1-2 0-40*,3.32,1.30
0-0 1-2 15-40*,5.00,1.14
0-0 1-3 *0-0,5.20,1.14
0-0 1-3 *0-15,5.40,1.13
0-0 1-3 *0-40,6.00,1.10
0-0 1-4 0-0*,6.50,1.08
0-0 1-4 0-15*,6.50,1.08
0-0 1-4 30-15*,6.00,1.11
0-0 1-4 30-30*,6.00,1.10
0-0 1-4 40-30*,6.00,1.11
0-0 1-4 40-40*,6.00,1.10
0-0 1-5 *15-0,6.50,1.08
0-0 1-5 *30-0,6.50,1.08
0-0 1-5 *40-0,6.50,1.08
0-0 2-5 0-0*,6.50,1.08
0-0 2-5 0-15*,6.50,1.08
0-0 2-5 0-30*,6.50,1.08
0-0 2-5 15-40*,6.50,1.08
0-1 2-6 *0-0,7.00,1.07
0-1 2-6 *0-15,8.00,1.06
0-1 2-6 *0-30,9.50,1.04
0-1 2-6 0-0*,10.00,1.02
0-1 0-1 0-0*,12.00,1.02
0-1 0-1 15-15*,11.00,1.02
0-1 0-1 15-30*,12.00,1.02
0-1 0-1 30-30*,10.00,1.03
0-1 0-1 40-30*,9.50,1.04
0-1 0-1 40-40*,10.00,1.03
0-1 1-1 *0-0,8.00,1.06
0-1 1-1 *15-15,8.00,1.06
0-1 1-1 *15-30,9.50,1.04
0-1 1-1 *15-40,11.00,1.02
0-1 1-2 0-0*,13.00,1.01
0-1 1-2 15-30*,13.00,1.01
0-1 1-3 *0-0,17.00,1.005
0-1 1-3 *15-0,15.00,1.01
0-1 1-3 *30-15,14.00,1.01
0-1 1-3 *40-15,13.00,1.01
0-1 3-3 *15-15,6.00,1.10
0-1 3-3 *40-30,4.60,1.17
0-1 3-3 *40-40,6.00,1.11
0-1 3-4 0-0*,9.50,1.04
0-1 3-4 0-15*,12.00,1.02
0-1 3-4 15-30*,12.00,1.02
0-1 3-4 30-30*,9.50,1.04
0-1 3-4 30-40*,11.00,1.02
0-1 3-5 *0-0,15.00,1.01
0-1 3-5 *30-0,13.00,1.01
0-1 3-5 *30-15,13.00,1.01
0-1 3-5 *40-15,13.00,1.01
0-1 4-5 0-0*,12.00,1.02
0-1 4-5 0-15*,15.00,1.01
0-1 4-5 15-40*,67.00,1.002
0-1 4-5 30-40*,17.00,1.005
0-1 4-5 40-40*,9.50,1.04
0-2 4-6 *0-0,1.001,1.001
