Score,P1 Odds,P2 Odds
-,5.40,1.13
0-0 0-0 0-15*,5.90,1.11
0-0 0-0 15-15*,5.40,1.13
0-0 0-0 15-30*,5.90,1.11
0-0 0-0 30-30*,5.20,1.14
0-0 0-0 40-30*,4.25,1.20
0-0 0-0 40-40*,4.80,1.16
0-0 0-0 40-A*,5.40,1.13
0-0 0-0 40-A*,4.65,1.17
0-0 0-1 *0-0,5.20,1.14
0-0 0-1 *15-15,5.20,1.14
0-0 0-1 *30-15,4.65,1.17
0-0 0-1 *40-15,4.00,1.22
0-0 1-1 0-0*,4.00,1.22
0-0 1-1 0-15*,4.00,1.22
0-0 1-1 0-30*,4.25,1.20
0-0 1-1 0-40*,4.60,1.17
0-0 1-2 *0-0,4.60,1.17
0-0 1-2 *15-0,4.25,1.20
0-0 1-2 *30-15,4.25,1.20
0-0 1-2 *40-30,4.05,1.22
0-0 1-2 *40-30,3.33,1.30
0-0 1-2 *40-40,3.70,1.25
0-0 1-2 *A-40,3.30,1.30
0-0 2-2 0-0*,3.07,1.34
0-0 2-2 0-15*,3.22,1.31
0-0 2-2 15-15*,3.02,1.35
0-0 2-2 15-15*,2.96,1.36
0-0 2-2 30-30*,2.96,1.36
0-0 2-2 40-30*,2.16,1.64
0-0 3-2 *0-0,1.78,1.95
0-0 3-2 *15-0,1.70,2.08
0-0 3-2 *30-0,1.62,2.20
0-0 3-2 *30-0,1.63,2.19
0-0 3-2 *30-15,1.61,2.22
0-0 3-2 *30-30,1.61,2.22
0-0 3-2 *30-30,1.73,2.03
0-0 3-2 *30-40,1.98,1.77
0-0 3-3 0-0*,2.40,1.53
0-0 3-3 0-15*,2.58,1.46
0-0 3-3 0-30*,2.78,1.41
0-0 3-3 0-40*,2.89,1.38
0-0 3-4 *0-0,2.94,1.37
0-0 3-4 *0-15,3.31,1.30
0-0 3-4 *0-15,3.32,1.30
0-0 3-4 *0-30,4.00,1.22
0-0 3-4 *0-40,4.65,1.17
0-0 3-5 0-0*,5.20,1.14
0-0 3-5 15-0*,4.60,1.17
0-0 3-5 30-0*,4.00,1.22
0-0 3-5 30-15*,4.60,1.17
0-0 3-5 30-30*,5.20,1.14
0-0 3-5 40-30*,4.10,1.22
0-0 3-5 40-30*,4.00,1.22
0-0 3-5 40-30*,3.22,1.31
0-0 3-5 40-15*,3.70,1.25
0-0 3-5 15-15*,3.24,1.31
0-0 3-5 15-15*,3.27,1.31
0-0 3-5 15-30*,4.00,1.22
0-0 3-5 30-30*,3.27,1.31
0-0 3-5 30-30*,2.72,1.42
0-0 5-5 0-0*,2.37,1.54
0-0 5-5 0-15*,2.60,1.46
0-0 5-5 0-30*,2.81,1.40
0-0 5-5 15-30*,2.57,1.47
0-0 5-5 30-30*,2.30,1.57
0-0 5-6 *0-0,3.00,1.36
0-0 5-6 *0-0,2.94,1.37
0-0 5-6 *15-0,2.65,1.44
0-0 5-6 *15-15,2.99,1.36
0-0 5-6 *30-15,2.63,1.45
0-0 5-6 *30-30,3.03,1.35
0-0 5-6 *30-30,3.09,1.34
0-0 5-6 *40-30,2.58,1.46
0-0 5-6 *40-40,3.04,1.35
0-0 5-6 *40-40,3.14,1.33
0-0 5-6 *40-A,4.00,1.22
0-1 1-1 0-0*,3.70,1.25
0-1 1-1 0-15*,4.00,1.22
0-1 1-1 0-40*,4.60,1.17
0-1 1-2 *0-0,4.60,1.17
0-1 1-2 *15-0,4.25,1.20
0-1 1-2 *30-0,4.00,1.22
0-1 1-2 *40-0,3.80,1.25
0-1 2-2 0-0*,3.70,1.25
0-1 2-2 0-15*,4.00,1.22
0-1 2-2 0-15*,3.66,1.25
0-1 2-2 0-40*,4.25,1.20
0-1 2-3 *0-0,4.60,1.17
0-1 2-3 *15-0,4.20,1.20
0-1 2-3 *30-0,4.00,1.22
0-1 2-3 *30-15,4.25,1.20
0-1 2-3 *30-30,4.65,1.17
0-1 2-3 *30-40,6.00,1.10
0-1 2-3 *40-40,5.00,1.15
0-1 2-3 *A-40,4.10,1.20
0-1 2-3 *40-40,5.00,1.15
0-1 2-3 *A-40,4.20,1.20
0-1 2-3 *40-40,4.20,1.20
0-1 3-3 0-0*,3.70,1.25
0-1 3-3 15-0*,3.32,1.30
0-1 3-3 15-0*,3.70,1.25
0-1 3-3 15-15*,3.70,1.25
0-1 3-3 15-30*,4.00,1.22
0-1 3-3 15-40*,4.30,1.20
0-1 3-4 *0-0,4.60,1.17
0-1 3-4 *0-15,5.40,1.13
0-1 3-4 *15-15,4.65,1.17
0-1 3-4 *30-15,4.65,1.20
0-1 3-4 *30-15,4.25,1.20
0-1 3-4 *30-30,4.65,1.17
0-1 3-4 *40-30,4.65,1.17
0-1 3-4 *40-40,5.20,1.14
0-1 3-4 *40-A,6.50,1.08
0-1 3-4 *40-40,5.20,1.14
0-1 3-4 *40-A,6.50,1.08
0-1 3-4 *40-40,5.20,1.14
0-1 3-4 *A-40,4.25,1.20
0-1 4-4 0-0*,3.70,1.25
0-1 4-4 0-15*,4.10,1.22
0-1 4-4 0-30*,4.60,1.17
0-1 4-5 *0-0,4.65,1.17
0-1 4-5 *30-0,4.00,1.22
0-1 4-5 *30-15,4.25,1.20
0-1 4-5 *40-15,3.98,1.22
0-1 4-5 *40-30,4.25,1.20
0-1 4-5 *40-40,5.20,1.14
0-1 4-5 *40-40,5.40,1.13
0-1 4-5 *40-A,8.00,1.06
0-1 4-5 *40-40,5.20,1.14
0-1 4-5 *40-A,7.75,1.06
0-2 4-6 0-0*,1.001,1.001
