Score,P1 Odds,P2 Odds
-,4.00,1.22
1-1 1-0 0-0*,1.99,1.76
1-1 1-0 0-15*,2.12,1.67
1-1 1-0 0-30*,2.29,1.58
1-1 1-0 0-40*,2.40,1.53
1-1 1-1 *0-0,2.46,1.50
1-1 1-1 *0-15,2.82,1.40
1-1 1-1 *15-15,2.47,1.50
1-1 1-1 *30-15,2.20,1.62
1-1 1-1 *30-30,2.49,1.49
1-1 1-1 *40-30,2.14,1.65
1-1 2-1 0-0*,1.93,1.80
1-1 2-1 0-15*,2.09,1.69
1-1 2-1 0-30*,2.24,1.60
1-1 2-1 15-30*,2.10,1.68
1-1 2-1 15-30*,2.33,1.56
1-1 2-1 15-40*,2.54,1.48
1-1 2-1 30-40*,2.37,1.54
1-1 2-1 40-40*,2.06,1.71
1-1 2-1 40-A*,2.37,1.54
1-1 2-2 *0-0,2.65,1.44
1-1 2-2 *0-0,2.67,1.44
1-1 2-2 *0-15,2.60,1.46
1-1 2-2 *15-15,2.31,1.57
1-1 2-2 *15-30,2.78,1.41
1-1 2-2 *15-40,3.45,1.28
1-1 2-2 *30-40,3.03,1.35
1-1 2-2 *40-40,2.35,1.55
1-1 2-2 *A-40,2.35,1.55
1-1 2-2 *A-40,1.99,1.76
1-1 3-2 0-0*,1.75,1.99
1-1 3-2 0-15*,1.90,1.83
1-1 3-2 15-15*,1.73,2.03
1-1 3-2 15-30*,1.93,1.80
1-1 3-2 15-40*,2.11,1.67
1-1 3-3 *0-0,2.20,1.62
1-1 3-3 *0-0,2.23,1.61
1-1 3-3 *15-0,2.00,1.75
1-1 3-3 *30-0,1.82,1.91
1-1 3-3 *40-0,1.73,2.03
1-1 4-3 0-0*,1.69,2.08
1-1 4-3 0-0*,1.82,1.91
1-1 4-3 0-30*,1.98,1.76
1-1 4-3 0-40*,2.10,1.68
1-1 4-4 *0-0,2.15,1.65
1-1 4-4 *15-0,1.91,1.82
1-1 4-4 *15-15,2.23,1.61
1-1 4-4 *15-30,2.91,1.38
1-1 4-4 *30-30,2.23,1.61
1-1 4-4 *30-30,2.29,1.58
1-1 4-4 *30-40,3.32,1.30
1-1 4-4 *40-A,6.00,1.10
1-1 4-4 *40-A,6.50,1.08
1-1 4-4 *40-15,9.50,1.04
1-1 4-4 *15-15,6.00,1.10
1-1 4-4 *15-30,10.00,1.03
1-1 4-4 *15-30,9.50,1.04
1-1 4-4 *30-30,5.90,1.11
1-1 4-4 *40-30,3.70,1.25
1-1 4-4 *40-40,6.00,1.10
1-1 4-5 40-40*,6.00,1.10
1-1 4-5 40-A*,10.00,1.03
1-2 4-6 *0-0,1.001,1.001
