Score,P1 Odds,P2 Odds
-,1.62,2.20
0-0 0-0 *0-15,1.71,2.06
0-0 0-0 *15-15,1.64,2.17
0-0 0-0 *30-15,1.56,2.32
0-0 0-0 *30-15,1.57,2.30
0-0 0-0 *40-15,1.52,2.41
0-0 1-0 0-0*,1.49,2.50
0-0 1-0 0-15*,1.54,2.37
0-0 1-0 15-15*,1.48,2.53
0-0 1-0 15-30*,1.54,2.37
0-0 1-0 40-30*,1.38,2.89
0-0 1-0 40-30*,1.36,2.96
0-0 2-0 *0-0,1.28,3.45
0-0 1-0 40-40*,1.46,2.61
0-0 1-0 40-A*,1.54,2.36
0-0 1-1 *0-0,1.61,2.23
0-0 1-1 *0-15,1.71,2.05
0-0 1-1 *15-30,1.74,2.01
0-0 1-1 *15-30,1.66,2.14
0-0 1-1 *40-40,1.68,2.10
0-0 2-1 0-0*,1.50,2.47
0-0 2-1 15-0*,1.42,2.72
0-0 2-1 15-30*,1.48,2.53
0-0 2-1 15-40*,1.56,2.33
0-0 2-2 *0-15,1.73,2.03
0-0 2-2 *15-15,1.65,2.16
0-0 2-2 *30-30,1.67,2.12
0-0 3-2 0-0*,1.50,2.47
0-0 3-2 0-30*,1.59,2.27
0-0 3-2 15-40*,1.59,2.26
0-0 3-3 *0-30,1.92,1.81
0-0 3-3 *15-40,2.10,1.68
0-0 3-4 0-0*,2.42,1.52
0-0 3-4 30-0*,2.42,1.51
0-0 3-4 30-40*,3.45,1.28
0-0 3-4 A-40*,2.47,1.50
0-0 4-4 *15-0,1.81,1.93
0-0 4-4 *15-15,1.94,1.80
0-0 4-4 *30-30,2.00,1.75
0-0 4-4 *30-40,2.45,1.51
0-0 4-5 0-0*,3.32,1.30
0-0 4-5 15-0*,2.85,1.39
0-0 4-5 30-0*,2.41,1.53
0-0 5-5 *0-0,1.94,1.80
0-0 5-5 *0-15,2.16,1.64
0-0 5-5 *0-30,2.37,1.54
0-0 5-6 0-0*,3.07,1.34
0-0 5-6 0-30*,4.00,1.22
0-0 5-6 15-40*,4.00,1.22
0-1 0-0 *0-0,4.60,1.17
0-1 0-0 *15-0,4.25,1.20
0-1 0-0 *40-0,3.70,1.25
0-1 1-0 0-0*,3.69,1.25
0-1 1-0 30-0*,2.99,1.36
0-1 1-0 30-15*,3.16,1.33
0-1 2-0 *0-0,2.54,1.48
0-1 2-0 *30-0,2.30,1.57
0-1 3-0 0-0*,2.19,1.63
0-1 3-0 30-0*,2.00,1.74
0-1 4-0 *0-0,1.88,1.85
0-1 4-0 *30-15,1.69,2.08
0-1 4-0 *40-30,1.69,2.08
0-1 5-0 0-0*,1.66,2.14
0-1 5-0 15-15*,1.66,2.14
0-1 5-0 30-30*,1.65,2.14
0-1 5-0 40-30*,1.62,2.20
0-1 5-0 40-40*,1.66,2.14
0-1 5-1 *0-0,1.70,2.07
0-1 5-1 *15-15,1.71,2.06
0-1 5-1 *40-30,1.61,2.23
1-1 6-1 0-0*,1.58,2.29
1-1 6-1 0-0*,1.53,2.39
1-1 0-0 40-0*,1.22,4.00
1-1 0-0 40-15*,1.25,3.70
1-1 1-0 *0-0,1.11,6.00
1-1 1-0 *30-0,1.06,7.50
1-1 1-0 *40-0,1.06,8.00
1-1 2-0 0-0*,1.05,8.50
1-1 2-0 15-0*,1.04,9.50
1-1 2-0 30-15*,1.04,9.50
1-1 3-0 *0-0,1.01,15.00
1-1 3-0 *0-0,1.002,41.00
1-1 3-0 *15-0,1.002,67.00
1-1 3-0 *15-0,1.002,41.00
1-1 3-0 *15-30,1.005,17.00
1-1 3-0 *30-30,1.002,34.00
1-1 3-0 *40-40,1.002,34.00
1-1 3-0 *A-40,1.002,67.00
