Score,P1 Odds,P2 Odds
-,1.35,3.03
0-0 3-4 *0-0,1.52,2.42
0-0 3-4 *0-30,1.82,1.91
0-0 3-4 *0-40,2.09,1.69
0-0 3-4 *15-40,1.98,1.77
0-0 3-5 0-0*,2.30,1.57
0-0 3-5 15-15*,2.29,1.58
0-0 3-5 15-15*,2.47,1.50
0-0 3-5 30-40*,2.47,1.50
0-0 3-5 40-A*,2.50,1.49
0-0 3-5 40-40*,2.17,1.64
0-0 3-5 40-40*,2.24,1.60
0-0 3-5 40-A*,2.47,1.50
0-0 3-5 40-40*,2.23,1.61
0-0 3-5 40-40*,2.47,1.50
0-1 3-6 *0-0,2.68,1.43
0-1 3-6 *40-0,2.39,1.53
0-1 3-6 0-0*,2.37,1.54
0-1 3-6 15-15*,2.34,1.55
0-1 1-0 15-30*,2.47,1.50
0-1 1-1 *0-15,2.93,1.37
0-1 1-1 *30-15,2.52,1.48
0-1 1-1 *30-30,2.83,1.39
0-1 2-1 0-0*,2.35,1.55
0-1 2-1 0-0*,2.17,1.64
0-1 2-1 30-0*,1.98,1.76
0-1 2-1 30-15*,2.14,1.66
0-1 2-1 30-30*,2.27,1.58
0-1 2-1 30-40*,2.47,1.50
0-1 2-2 *0-0,2.70,1.43
0-1 2-2 *0-30,3.45,1.28
0-1 2-2 *15-30,3.24,1.31
0-1 2-2 *30-30,2.76,1.41
0-1 3-2 0-0*,2.33,1.56
0-1 3-2 0-15*,2.45,1.51
0-1 3-2 15-15*,2.29,1.58
0-1 3-2 40-15*,1.86,1.87
0-1 4-2 *0-0,1.67,2.12
0-1 4-2 *15-0,1.62,2.20
0-1 4-2 *40-30,1.61,2.22
0-1 5-2 0-0*,1.57,2.31
0-1 5-2 15-15*,1.56,2.34
0-1 5-2 15-30*,1.58,2.28
0-1 5-2 30-40*,1.59,2.27
0-1 5-2 40-40*,1.54,2.36
0-1 5-3 *0-0,1.61,2.21
0-1 5-3 *0-15,1.72,2.04
0-1 5-3 *30-15,1.57,2.30
0-1 5-3 *40-30,1.56,2.32
1-1 6-3 0-0*,1.50,2.46
1-1 0-0 0-0*,1.50,2.46
1-1 0-0 15-0*,1.43,2.69
1-1 0-0 30-15*,1.39,2.85
1-1 0-0 30-30*,1.50,2.47
1-1 0-0 40-30*,1.35,3.03
1-1 1-0 *0-0,1.17,4.65
1-1 1-0 *15-0,1.14,5.20
1-1 1-0 *15-15,1.17,4.60
1-1 1-0 *30-30,1.20,4.25
1-1 1-0 *40-40,1.22,4.00
1-1 1-0 *A-40,1.14,5.20
1-1 2-0 0-0*,1.11,6.00
1-1 2-0 0-30*,1.14,5.20
1-1 2-1 *0-0,1.14,5.00
1-1 2-1 *30-0,1.11,6.00
1-1 3-1 0-0*,1.10,6.00
1-1 3-1 0-30*,1.12,5.70
1-1 3-1 30-30*,1.08,6.50
1-1 3-1 40-30*,1.04,9.50
1-1 3-1 40-A*,1.11,6.00
1-1 3-1 40-A*,1.14,5.20
1-1 3-1 15-A*,1.11,6.00
1-1 3-1 30-15*,1.11,6.00
1-1 3-1 30-40*,1.28,3.45
1-1 3-3 0-0*,1.65,2.16
1-1 3-3 30-0*,1.33,3.14
1-1 3-3 40-0*,1.17,4.50
1-1 4-3 *0-0,1.13,5.40
1-1 4-3 *15-0,1.08,6.50
1-1 4-3 *40-0,1.04,9.50
1-1 4-3 *40-15,1.04,9.50
1-1 4-3 *40-40,1.17,4.65
1-1 4-3 *A-40,1.06,7.50
1-1 5-3 0-0*,1.03,10.00
1-1 5-3 30-15*,1.02,12.00
1-1 5-3 40-15*,1.005,34.00
1-1 5-3 40-30*,1.01,14.00
2-1 6-3 0-0*,1.001,1.001
