Score,P1 Odds,P2 Odds
-,1.10,6.00
0-0 2-1 15-15*,1.06,8.00
0-0 2-1 15-40*,1.10,6.00
0-0 2-2 *0-0,1.11,6.00
0-0 2-2 *15-0,1.09,6.00
0-0 2-2 *15-15,1.11,6.00
0-0 2-2 *30-15,1.09,6.50
0-0 2-2 *30-15,1.10,6.00
0-0 2-2 *40-15,1.06,8.00
0-0 2-2 *40-30,1.07,7.00
0-0 3-2 0-0*,1.05,8.50
0-0 3-2 15-0*,1.04,9.50
0-0 3-2 15-15*,1.05,8.50
0-0 3-2 15-30*,1.07,7.50
0-0 3-2 15-40*,1.09,6.50
0-0 3-2 30-40*,1.07,7.00
0-0 3-3 *0-0,1.10,6.00
0-0 3-3 *30-0,1.06,7.50
0-0 3-3 *40-0,1.06,8.00
0-0 4-3 0-0*,1.06,8.00
0-0 4-3 0-15*,1.07,7.00
0-0 4-3 0-30*,1.09,6.50
0-0 4-3 0-40*,1.10,6.00
0-0 4-4 *0-0,1.11,6.00
0-0 4-4 *0-15,1.14,5.20
0-0 4-4 *15-15,1.11,6.00
0-0 4-4 *15-15,1.12,5.70
0-0 4-4 *15-30,1.17,4.65
0-0 4-4 *30-30,1.12,5.70
0-0 4-4 *30-30,1.13,5.40
0-0 4-4 *30-40,1.20,4.25
0-0 4-4 *40-40,1.13,5.40
0-0 4-4 *40-40,1.20,4.25
0-0 4-4 *40-40,1.13,5.40
0-0 4-4 *A-40,1.08,6.50
0-0 4-4 *A-40,1.13,5.70
0-0 4-4 *A-40,1.14,5.20
0-0 4-4 *A-40,1.10,6.00
0-0 4-4 *A-40,1.14,5.20
0-0 5-5 *40-15,1.13,5.40
0-0 5-5 *40-40,1.20,4.25
0-0 5-5 *40-A,1.28,3.45
0-0 5-6 0-0*,1.44,2.66
0-1 0-0 *0-0,1.89,1.84
0-0 0-0 40-A*,1.52,2.41
0-1 0-0 *0-A,1.74,2.00
0-0 0-0 40-A*,1.52,2.41
0-1 0-0 *0-A,1.74,2.00
0-1 0-1 15-30*,2.56,1.47
0-1 0-1 30-30*,2.30,1.57
0-1 0-1 30-40*,2.65,1.44
0-1 0-1 40-40*,2.30,1.57
0-1 0-1 40-40*,2.31,1.57
0-1 0-1 40-A*,2.65,1.44
0-1 0-2 *0-0,3.05,1.35
0-1 0-2 *15-0,2.80,1.40
0-1 0-2 *40-0,2.50,1.49
0-1 0-2 *30-0,2.50,1.49
0-1 1-2 0-0*,2.45,1.51
0-1 1-2 0-0*,2.19,1.63
0-1 1-2 15-0*,2.00,1.75
0-1 1-2 15-15*,2.18,1.63
0-1 1-2 15-30*,2.45,1.51
0-1 1-2 15-40*,2.75,1.41
0-1 1-3 *0-0,2.99,1.36
0-1 1-3 *0-30,4.00,1.22
0-1 1-3 *15-30,3.45,1.28
0-1 1-3 *15-40,4.60,1.17
0-1 1-3 *30-40,4.65,1.17
0-1 1-3 *30-40,4.00,1.22
0-1 1-3 *40-40,3.07,1.34
0-1 1-3 *40-A,3.98,1.22
0-1 1-3 *40-40,3.08,1.34
0-1 1-3 *40-40,4.00,1.22
0-1 1-3 *40-40,3.24,1.31
0-1 1-3 *40-40,4.00,1.22
0-1 1-3 *40-40,3.25,1.31
0-1 1-3 *A-40,2.72,1.42
0-1 1-3 *40-40,3.09,1.34
0-1 1-3 *40-40,3.26,1.31
0-1 1-3 *40-A,4.00,1.31
0-1 1-3 *40-A,4.00,1.22
0-1 1-3 *40-40,3.27,1.31
0-1 1-3 *40-A,4.00,1.22
0-1 1-4 0-0*,6.00,1.11
0-1 2-4 *15-15,3.14,1.33
0-1 2-4 *15-15,3.24,1.31
0-1 2-4 *40-15,2.88,1.38
0-1 2-4 *40-30,3.14,1.33
0-1 2-4 *40-40,3.70,1.25
0-1 2-4 *A-40,3.08,1.34
0-1 3-4 0-0*,2.72,1.42
0-1 3-4 15-0*,2.30,1.58
0-1 3-4 30-0*,1.97,1.77
0-1 3-4 40-0*,1.76,1.98
0-1 5-5 *40-40,1.83,1.90
0-1 5-5 *40-A,2.35,1.55
0-1 5-5 *40-A,1.83,1.89
0-1 5-5 *40-A,2.36,1.54
0-1 5-5 *40-A,1.84,1.89
0-1 5-5 *40-A,2.36,1.54
0-1 6-5 0-0*,1.35,3.01
0-1 6-5 30-0*,1.28,3.45
0-1 6-5 40-0*,1.20,4.25
1-1 7-5 *0-0,1.17,4.60
1-1 2-0 *30-0,1.01,13.00
1-1 2-0 *30-15,1.02,12.00
1-1 2-0 *30-30,1.03,10.00
1-1 2-0 *40-30,1.02,12.00
1-1 2-0 *40-40,1.03,10.00
1-1 2-0 *A-40,1.02,12.00
1-1 2-0 *40-40,1.04,9.50
1-1 2-0 *A-40,1.02,12.00
1-1 3-0 0-0*,1.01,14.00
1-1 3-0 0-15*,1.01,13.00
1-1 3-0 30-15*,1.01,14.00
1-1 3-0 15-15*,1.01,14.00
1-1 4-0 *15-0,1.001,101.00
