Score,P1 Odds,P2 Odds
-,1.51,2.45
0-0 0-1 *40-40,1.73,2.03
0-0 0-1 *40-A,1.88,1.85
0-0 0-2 0-0*,2.11,1.67
0-0 0-2 15-0*,1.99,1.76
0-0 0-2 30-0*,1.87,1.86
0-0 0-2 30-15*,1.96,1.78
0-0 0-2 40-15*,1.82,1.91
0-0 0-2 40-30*,1.91,1.82
0-0 0-2 40-40*,2.10,1.68
0-0 0-2 40-A*,2.28,1.58
0-0 0-3 *0-0,2.46,1.50
0-0 0-3 *15-0,2.36,1.54
0-0 0-3 *30-0,2.28,1.58
0-0 0-3 *30-15,2.28,1.58
0-0 0-3 *30-15,2.35,1.55
0-0 0-3 *30-15,2.36,1.54
0-0 0-3 *30-30,2.50,1.49
0-0 0-3 *40-30,2.34,1.49
0-0 0-3 *40-40,2.50,1.48
0-0 0-3 *40-A,2.74,1.42
0-0 0-3 *40-A,3.06,1.42
0-0 0-4 0-0*,3.06,1.34
0-0 0-4 0-15*,3.14,1.33
0-0 0-4 15-15*,3.05,1.35
0-0 0-4 0-0*,3.14,1.33
0-0 0-4 15-0*,3.05,1.35
0-0 0-4 30-0*,2.90,1.38
0-0 0-4 40-0*,2.74,1.42
0-0 0-4 40-30*,2.84,1.39
0-0 1-4 *0-0,2.66,1.44
0-0 1-4 *15-0,2.53,1.48
0-0 1-4 *15-15,2.65,1.44
0-0 1-4 *30-15,2.53,1.48
0-0 1-4 *30-30,2.66,1.44
0-0 1-4 *40-30,2.47,1.50
0-0 1-4 *40-40,2.66,1.44
0-0 1-4 *40-A,2.91,1.38
0-0 1-5 0-0*,3.25,1.31
0-0 1-5 0-15*,3.32,1.30
0-0 1-5 0-30*,3.32,1.30
0-0 1-5 0-40*,3.45,1.28
0-0 1-5 15-40*,3.40,1.28
0-1 1-6 *0-0,3.45,1.28
0-0 1-5 15-40*,3.45,1.28
0-0 1-5 15-40*,3.25,1.31
0-0 1-5 15-40*,3.27,1.31
0-0 1-5 30-40*,3.03,1.35
0-0 1-5 30-15*,3.20,1.33
0-0 1-5 30-15*,3.24,1.31
0-0 1-5 30-30*,3.45,1.28
0-0 1-5 30-40*,4.10,1.22
0-0 1-5 30-40*,4.25,1.20
0-0 1-5 40-40*,3.45,1.28
0-0 1-5 40-A*,4.20,1.20
0-0 1-5 0-0*,5.20,1.14
0-1 0-1 0-0*,5.20,1.14
0-1 0-1 15-0*,4.60,1.17
0-1 0-1 30-0*,4.00,1.22
0-1 0-1 40-0*,3.50,1.28
0-1 0-1 40-15*,3.75,1.25
0-1 1-1 *0-0,3.40,1.28
0-1 1-1 *15-0,3.14,1.33
0-1 1-1 *15-15,3.45,1.28
0-1 1-1 *15-30,4.00,1.22
0-1 1-1 *15-40,4.00,1.22
0-1 1-1 *15-40,4.60,1.17
0-1 1-1 *30-40,4.00,1.22
0-1 1-2 0-0*,5.00,1.15
0-1 1-2 15-0*,4.30,1.20
0-1 1-2 15-15*,5.00,1.15
0-1 1-2 15-30*,5.40,1.13
0-1 1-2 15-40*,6.00,1.10
0-1 1-3 *0-0,6.00,1.10
0-1 1-3 *0-15,8.50,1.05
0-1 1-3 *0-30,9.50,1.04
0-1 1-3 *0-40,11.00,1.02
0-1 1-4 0-0*,12.00,1.02
0-1 1-4 0-15*,14.00,1.01
0-1 1-4 0-30*,21.00,1.005
0-1 1-4 0-40*,41.00,1.002
0-1 1-4 15-40*,34.00,1.004
0-1 1-5 *0-0,51.00,1.002
0-1 1-5 *15-0,51.00,1.002
0-1 1-5 *15-0,41.00,1.002
0-1 1-5 *30-0,34.00,1.004
0-1 1-5 *30-15,34.00,1.002
0-1 1-5 *30-30,41.00,1.002
0-1 1-5 *30-40,81.00,1.001
0-1 1-5 *40-40,41.00,1.002
0-1 1-5 *40-A,81.00,1.001
0-2 1-6 *0-0,1.001,1.001
