Score,P1 Odds,P2 Odds
-,5.40,1.13
0-0 0-0 0-15*,6.00,1.11
0-0 0-0 0-30*,6.00,1.10
0-0 0-0 15-30*,6.00,1.11
0-0 0-0 15-40*,6.00,1.10
0-0 0-0 30-40*,6.00,1.11
0-0 0-1 *0-0,6.50,1.08
0-0 0-1 *15-0,6.00,1.10
0-0 0-4 0-30*,7.50,1.06
0-0 0-4 0-40*,7.75,1.06
0-0 0-4 15-40*,7.50,1.06
0-0 0-4 30-40*,7.50,1.06
0-0 0-4 40-40*,6.50,1.08
0-0 1-4 *0-0,6.00,1.10
0-0 1-4 *0-15,6.50,1.08
0-0 1-4 *15-15,6.00,1.10
0-0 1-4 *40-15,5.50,1.13
0-0 1-4 *40-30,6.00,1.11
0-0 1-4 *40-40,6.00,1.10
0-0 1-5 0-0*,7.50,1.06
0-0 1-5 0-15*,7.50,1.06
0-0 1-5 15-15*,7.50,1.06
0-0 1-5 15-30*,7.50,1.06
0-0 1-5 15-40*,7.75,1.06
0-1 0-0 *0-0,7.75,1.06
0-1 0-0 *0-15,8.50,1.05
0-1 0-0 *15-15,7.75,1.06
0-1 0-0 *15-30,9.50,1.04
0-1 0-0 *30-30,8.00,1.06
0-1 0-0 *30-40,9.50,1.04
0-1 0-0 *30-40,8.00,1.06
0-1 0-1 0-0*,10.00,1.03
0-1 0-1 15-0*,12.00,1.02
0-1 0-1 15-15*,13.00,1.01
0-1 0-1 30-15*,12.00,1.02
0-1 0-1 30-30*,12.00,1.02
0-1 0-1 30-40*,14.00,1.01
0-1 0-2 *0-0,21.00,1.005
0-1 0-2 *0-15,34.00,1.002
0-1 0-2 *15-15,67.00,1.002
0-1 0-2 *15-30,81.00,1.001
0-1 0-2 *15-40,101.00,1.001
0-1 0-3 0-0*,101.00,1.001
0-1 0-3 0-15*,126.00,1.001
0-1 0-3 15-15*,101.00,1.001
