Score,P1 Odds,P2 Odds
-,2.82,1.40
0-0 0-0 *30-0,2.54,1.48
0-0 0-0 *40-15,2.54,1.48
0-0 1-0 0-0*,2.47,1.50
0-0 1-0 15-30*,2.54,1.48
0-0 1-0 30-30*,2.29,1.58
0-0 1-1 *0-0,2.69,1.43
0-0 1-1 *0-15,2.94,1.37
0-0 1-1 *0-40,4.00,1.22
0-0 1-1 *30-40,3.32,1.30
0-0 1-2 0-0*,4.60,1.17
0-0 1-2 0-0*,4.25,1.20
0-0 1-2 15-30*,4.65,1.17
0-0 1-2 30-40*,4.60,1.17
0-0 1-3 *0-0,5.20,1.14
0-0 1-3 *30-0,4.65,1.17
0-0 1-3 *40-15,4.65,1.17
0-0 2-3 0-0*,4.60,1.17
0-0 2-3 0-30*,5.20,1.14
0-0 2-4 *0-0,5.20,1.14
0-0 2-4 *30-0,5.00,1.15
0-0 3-4 0-0*,4.65,1.17
0-0 3-4 30-15*,4.00,1.22
0-0 3-4 30-40*,4.65,1.17
0-0 3-4 40-40*,3.70,1.25
0-0 4-4 *15-0,2.55,1.47
0-0 4-4 *40-0,2.32,1.56
0-0 5-4 0-0*,2.28,1.58
0-0 5-4 0-15*,2.42,1.52
0-0 5-5 *0-0,2.67,1.44
0-0 5-5 *15-0,2.53,1.48
0-0 5-5 *15-30,3.32,1.30
0-0 5-5 *30-30,2.93,1.37
0-0 5-5 *40-40,2.98,1.36
0-0 6-5 0-0*,2.30,1.57
0-0 6-5 0-30*,2.53,1.48
0-0 6-6 *0-0,2.77,1.41
0-0 6-6 1-1*,2.65,1.44
0-0 6-6 *1-3,4.00,1.22
0-0 6-6 2-4*,4.25,1.20
0-0 6-6 *2-5,5.40,1.13
0-0 6-6 *3-5,5.20,1.14
0-1 0-0 0-40*,6.50,1.08
0-1 0-1 *0-0,7.00,1.08
0-1 0-1 *30-0,6.00,1.10
0-1 0-1 *40-15,6.00,1.10
0-1 1-1 0-15*,6.00,1.10
0-1 1-1 15-30*,6.00,1.10
0-1 1-1 15-40*,6.00,1.10
0-1 1-2 *0-0,6.00,1.10
0-1 1-2 *15-0,6.00,1.11
0-1 1-2 *30-0,5.70,1.12
0-1 1-2 *40-0,5.40,1.13
0-1 1-2 *40-15,5.70,1.12
0-1 2-2 0-15*,5.70,1.12
0-1 2-2 15-15*,5.20,1.14
0-1 2-2 40-30*,4.25,1.20
0-1 2-2 40-40*,4.60,1.17
0-1 2-3 *0-0,6.00,1.10
0-1 2-3 *15-0,6.00,1.11
0-1 2-3 *30-15,6.00,1.11
0-1 2-3 *40-15,6.00,1.11
0-1 3-3 0-15*,4.25,1.20
0-1 3-3 15-30*,4.25,1.20
0-1 3-3 15-40*,4.60,1.17
0-1 3-3 30-40*,4.25,1.20
0-1 3-4 *0-0,4.65,1.17
0-1 3-4 *15-15,4.80,1.16
0-1 3-4 *15-30,6.00,1.10
0-1 3-4 *15-40,8.50,1.05
0-1 3-5 0-0*,14.00,1.01
0-1 3-5 0-15*,41.00,1.002
0-1 3-5 15-15*,14.00,1.01
0-2 3-6 0-0*,1.001,1.001
