Score,P1 Odds,P2 Odds
-,2.29,1.58
0-0 1-1 15-40*,2.45,1.51
0-0 1-2 *0-0,2.53,1.48
0-0 1-2 *15-0,2.42,1.52
0-0 1-2 *30-0,2.34,1.56
0-0 1-2 *40-0,2.29,1.58
0-0 2-2 0-0*,2.27,1.59
0-0 2-2 0-0*,2.24,1.60
0-0 2-2 15-0*,2.05,1.71
0-0 2-2 30-0*,1.88,1.85
0-0 2-2 30-15*,2.00,1.75
0-0 2-2 30-15*,1.95,1.78
0-0 2-2 40-15*,1.71,2.05
0-0 2-2 40-30*,1.81,1.93
0-0 3-2 *0-0,1.97,1.77
0-0 3-2 *0-0,1.63,2.18
0-0 3-2 *0-15,1.76,1.99
0-0 3-2 *15-15,1.67,2.13
0-0 3-2 *30-15,1.57,2.31
0-0 3-2 *40-15,1.51,2.44
0-0 4-2 0-0*,1.48,2.52
0-0 4-2 0-15*,1.50,2.46
0-0 4-2 0-30*,1.52,2.42
0-0 4-2 0-30*,1.50,2.46
0-0 4-2 15-40*,1.52,2.42
0-0 4-3 *0-0,1.53,2.39
0-0 4-3 *0-15,1.49,2.49
0-0 4-3 *15-30,1.55,2.35
0-0 4-3 *15-40,1.78,1.95
0-0 4-4 0-0*,2.07,1.70
0-0 4-4 0-15*,2.20,1.62
0-0 4-4 0-30*,2.34,1.56
0-0 4-4 0-40*,2.58,1.46
0-0 4-5 *0-0,2.61,1.45
0-0 4-4 0-40*,2.58,1.46
0-0 4-5 *0-0,2.61,1.45
0-0 4-5 *15-0,2.42,1.52
0-0 4-5 *30-0,2.29,1.58
0-0 4-5 *30-0,2.30,1.57
0-0 4-5 *30-15,2.47,1.50
0-0 4-5 *30-30,2.75,1.41
0-0 4-5 *40-30,2.41,1.52
0-0 4-5 *40-30,2.46,1.50
0-0 4-5 *40-40,3.07,1.34
0-1 4-6 0-0*,4.80,1.16
0-1 0-0 0-0*,4.80,1.16
0-1 0-0 0-0*,5.40,1.13
0-1 0-0 0-15*,5.90,1.11
0-1 0-0 0-30*,6.00,1.11
0-1 0-0 0-40*,6.00,1.10
0-1 0-1 *0-0,6.00,1.10
0-1 0-1 *15-0,6.00,1.11
0-1 0-1 *30-0,5.70,1.12
0-1 0-1 *40-0,5.40,1.13
0-1 1-1 0-0*,5.40,1.13
0-1 1-1 0-15*,5.70,1.12
0-1 1-1 0-30*,6.00,1.11
0-1 1-1 0-40*,6.00,1.10
0-1 1-2 *0-0,6.00,1.10
0-1 1-2 *0-15,7.00,1.08
0-1 1-2 *0-30,8.50,1.05
0-1 1-2 *15-30,7.50,1.06
0-1 1-2 *15-30,7.75,1.06
0-1 1-2 *30-30,6.50,1.08
0-1 1-2 *40-30,5.90,1.11
0-1 2-2 0-0*,5.40,1.13
0-1 2-2 15-0*,4.65,1.17
0-1 2-2 15-15*,5.20,1.14
0-1 2-2 15-30*,5.40,1.13
0-1 2-2 30-30*,4.65,1.17
0-1 2-2 40-30*,3.78,1.25
0-1 3-2 *0-0,3.06,1.34
0-1 3-2 *15-0,2.87,1.38
0-1 3-2 *30-0,2.71,1.43
0-1 3-2 *30-0,2.73,1.42
0-1 3-2 *30-15,2.89,1.38
0-1 4-2 0-0*,2.58,1.46
0-1 4-2 0-15*,2.66,1.44
0-1 4-2 0-30*,2.74,1.42
0-1 4-2 0-40*,2.78,1.41
0-1 4-2 0-40*,2.77,1.41
0-1 4-3 *0-0,2.84,1.39
0-1 4-3 *15-0,2.65,1.44
0-1 4-3 *15-15,2.92,1.37
0-1 4-3 *30-15,2.64,1.45
0-1 4-3 *30-30,2.95,1.37
0-1 4-3 *30-40,4.00,1.22
0-1 4-3 *40-40,3.31,1.30
0-1 5-3 0-0*,2.42,1.52
0-1 5-3 0-15*,2.47,1.50
0-1 5-3 15-15*,2.41,1.52
0-1 5-3 30-15*,2.29,1.58
0-1 5-3 30-15*,2.26,1.59
0-1 5-3 30-30*,2.35,1.55
0-1 5-3 30-40*,2.47,1.50
0-1 5-3 30-40*,2.45,1.51
0-1 5-4 *0-0,2.59,1.46
0-1 5-4 *0-0,2.39,1.53
0-1 5-4 *30-0,2.25,1.59
0-1 5-4 *40-0,2.16,1.65
0-1 5-4 *40-15,2.21,1.62
1-1 6-4 0-0*,2.04,1.72
1-1 6-4 *0-1,2.47,1.50
1-1 0-0 *4-6,4.25,1.20
1-1 0-0 5-7*,4.65,1.17
1-1 0-0 *6-7,2.65,1.44
1-1 0-0 *6-8,5.40,1.13
1-1 0-0 7-9*,7.50,1.06
1-1 0-0 *7-10,1.001,1.001
