Score,P1 Odds,P2 Odds
-,2.34,1.55
-,2.34,1.51
-,2.45,1.51
0-0 0-0 15-15*,2.29,1.52
0-0 0-0 15-30*,2.56,1.47
0-0 0-0 30-40*,2.57,1.47
0-0 0-1 *0-0,2.69,1.43
0-0 0-1 *15-0,2.47,1.50
0-0 0-1 *40-0,2.34,1.55
0-0 1-1 0-0*,2.33,1.56
0-0 1-1 0-15*,2.40,1.53
0-0 1-1 0-40*,2.57,1.47
0-0 1-2 *0-0,2.59,1.46
0-0 1-2 *30-0,2.40,1.53
0-0 2-3 *0-0,2.50,1.49
0-0 2-3 *15-0,2.41,1.52
0-0 2-3 *15-15,2.59,1.46
0-0 2-3 *30-30,2.65,1.44
0-0 3-3 0-0*,2.37,1.59
0-0 3-3 0-0*,2.26,1.59
0-0 3-3 0-30*,2.47,1.50
0-0 3-3 15-30*,2.37,1.54
0-0 3-3 15-40*,2.37,1.54
0-0 3-4 *0-0,2.49,1.49
0-0 3-4 *0-15,2.74,1.41
0-0 3-4 *15-15,2.58,1.46
0-0 3-4 *30-30,2.58,1.46
0-0 3-4 *40-30,2.35,1.55
0-0 4-4 0-0*,2.23,1.61
0-0 4-4 0-15*,2.33,1.56
0-0 4-4 30-15*,1.87,1.87
0-0 4-4 30-30*,2.11,1.67
0-0 4-4 30-40*,2.29,1.58
0-0 4-5 *0-0,2.47,1.50
0-0 4-5 *15-15,2.47,1.50
0-0 4-5 *30-15,2.31,1.57
0-0 4-5 *30-30,2.54,1.48
0-0 5-5 0-0*,2.16,1.65
0-0 5-5 15-15*,2.12,1.67
0-0 5-5 15-30*,2.25,1.60
0-0 5-5 30-30*,2.08,1.70
0-0 5-5 30-30*,2.01,1.74
0-0 5-5 30-40*,2.23,1.61
0-0 5-5 40-40*,2.02,1.73
0-0 5-5 40-A*,2.35,1.55
0-0 5-6 *0-0,2.46,1.50
0-0 5-6 *15-15,2.50,1.49
0-0 5-6 *15-30,3.04,1.35
0-0 5-6 *30-40,3.24,1.31
0-1 5-7 0-0*,5.40,1.13
0-1 5-7 0-0*,5.20,1.14
0-1 0-0 0-0*,5.20,1.14
0-1 0-0 0-40*,5.70,1.12
0-1 0-0 30-40*,5.40,1.13
0-1 0-1 *0-0,5.50,1.13
0-1 0-1 *15-0,5.40,1.13
0-1 0-1 *40-0,5.20,1.14
0-1 1-1 0-0*,5.20,1.14
0-1 1-1 15-40*,5.40,1.13
0-1 1-2 *0-0,5.40,1.13
0-1 1-2 *15-15,5.40,1.13
0-1 1-2 *40-15,5.20,1.14
0-1 2-2 0-0*,4.65,1.17
0-1 2-2 0-0*,5.20,1.14
0-1 2-2 0-40*,5.40,1.13
0-1 2-3 *0-0,5.40,1.13
0-1 2-3 *0-15,6.00,1.10
0-1 2-3 *15-15,5.70,1.11
0-1 2-3 *15-30,6.50,1.08
0-1 2-3 *15-40,6.00,1.10
0-1 2-3 *15-40,10.00,1.03
0-1 2-3 *15-15,13.00,1.01
0-1 2-3 *15-30,17.00,1.005
0-1 2-5 *15-0,21.00,1.005
0-1 2-5 *15-15,21.00,1.005
0-1 2-5 *15-30,41.00,1.002
0-1 2-5 *30-40,34.00,1.005
0-1 2-5 *A-40,17.00,1.005
0-1 3-5 15-0*,10.00,1.03
0-1 3-5 30-0*,8.00,1.06
0-1 3-5 30-15*,9.50,1.04
0-1 3-5 30-30*,12.00,1.02
0-1 3-5 30-40*,41.00,1.002
