Score,P1 Odds,P2 Odds
-,3.31,1.30
0-0 0-0 *15-0,3.05,1.35
0-0 0-0 *15-30,3.30,1.30
0-0 0-0 *15-30,3.70,1.25
0-0 0-0 *40-30,3.32,1.30
0-0 0-0 *40-30,3.04,1.35
0-0 1-0 0-0*,2.79,1.40
0-0 1-0 0-30*,2.93,1.37
0-0 1-0 0-40*,3.06,1.34
0-0 1-0 0-40*,3.13,1.33
0-0 1-1 *0-0,3.14,1.33
0-0 1-1 *0-30,3.45,1.28
0-0 1-1 *0-30,4.00,1.22
0-0 1-1 *30-30,3.69,1.25
0-0 1-1 *30-30,3.30,1.30
0-0 1-1 *30-40,4.00,1.22
0-0 1-1 *40-40,3.45,1.28
0-0 1-2 0-0*,4.60,1.17
0-0 1-2 15-15*,4.60,1.17
0-0 1-2 15-30*,4.65,1.17
0-0 1-2 15-40*,5.20,1.14
0-0 1-3 *0-0,5.20,1.14
0-0 1-3 *15-0,5.20,1.14
0-0 1-3 *30-15,5.20,1.14
0-0 1-3 *30-30,5.40,1.13
0-0 1-3 *30-40,6.00,1.11
0-0 1-4 0-0*,7.00,1.08
0-0 1-4 0-0*,7.00,1.07
0-0 1-4 0-30*,7.50,1.06
0-0 1-4 0-40*,7.75,1.06
0-0 1-5 *0-0,7.75,1.06
0-0 1-5 *0-15,8.00,1.06
0-0 1-5 *0-0,7.75,1.06
0-0 1-5 *0-40,8.50,1.05
0-0 1-5 *15-40,8.50,1.05
0-0 1-5 *30-40,8.50,1.05
0-1 1-6 0-0*,8.50,1.05
0-1 1-6 0-15*,8.50,1.05
0-1 1-6 15-15*,7.75,1.06
0-1 1-6 15-30*,8.50,1.05
0-1 0-0 15-40*,9.50,1.04
0-1 0-1 *0-0,9.50,1.04
0-1 0-1 *30-0,8.00,1.06
0-1 0-1 *40-0,7.75,1.06
0-1 0-1 *40-15,8.00,1.06
0-1 0-1 *40-30,8.50,1.05
0-1 1-1 0-0*,7.75,1.06
0-1 1-1 15-15*,7.50,1.06
0-1 1-1 15-15*,7.00,1.07
0-1 1-1 30-15*,6.00,1.10
0-1 1-1 30-30*,7.00,1.07
0-1 1-1 40-30*,5.40,1.13
0-1 1-1 40-40*,6.00,1.10
0-1 1-2 *0-0,9.50,1.04
0-1 1-2 *0-15,10.00,1.03
0-1 1-2 *15-30,10.00,1.03
0-1 1-2 *15-40,12.00,1.02
0-1 1-2 *30-40,11.00,1.02
0-1 1-3 0-0*,15.00,1.01
0-1 1-3 0-15*,21.00,1.005
0-1 1-3 0-30*,34.00,1.002
0-1 1-3 15-30*,21.00,1.005
0-1 1-3 30-30*,14.00,1.01
0-1 1-3 40-30*,12.00,1.02
0-1 1-3 40-40*,13.00,1.01
0-1 1-3 40-40*,12.00,1.02
0-1 1-4 *0-0,41.00,1.002
0-1 1-4 *15-0,34.00,1.002
0-1 1-4 *30-0,34.00,1.004
0-1 1-4 *40-0,21.00,1.005
0-1 2-4 0-15*,34.00,1.002
0-1 2-4 15-15*,17.00,1.005
0-1 2-4 30-15*,12.00,1.01
0-1 2-4 30-30*,14.00,1.01
0-1 2-4 40-40*,13.00,1.01
0-1 2-5 *0-0,67.00,1.002
0-1 2-5 *15-0,67.00,1.002
0-1 2-5 *30-0,41.00,1.002
0-1 2-5 *30-15,51.00,1.002
0-1 2-5 *30-30,81.00,1.001
