Score,P1 Odds,P2 Odds
-,2.10,1.68
0-0 1-0 30-30*,1.85,1.88
0-0 1-0 30-40*,1.97,1.77
0-0 1-1 *15-0,1.97,1.71
0-0 1-1 *30-15,1.99,1.75
0-0 1-1 *30-30,2.15,1.65
0-0 1-1 *40-40,2.12,1.67
0-0 1-1 *A-40,2.00,1.75
0-0 1-1 *40-40,2.12,1.67
0-0 1-1 *40-40,2.00,1.74
0-0 1-1 *40-A,2.21,1.62
0-0 1-1 *40-A,2.52,1.48
0-0 1-1 *A-40,2.01,1.74
0-0 1-1 *A-40,2.21,1.61
0-0 1-1 *40-A,2.53,1.48
0-0 1-1 *40-A,2.20,1.62
0-0 1-1 *40-A,2.52,1.48
0-0 1-1 *40-A,2.21,1.61
0-0 1-1 *A-40,2.02,1.73
0-0 1-1 *A-40,2.00,1.74
0-0 1-1 *A-40,2.23,1.61
0-0 1-1 *A-40,2.01,1.74
0-0 2-1 0-0*,1.93,1.80
0-0 2-1 15-15*,1.91,1.82
0-0 2-1 15-30*,1.98,1.76
0-0 2-1 15-40*,2.05,1.71
0-0 2-2 *0-0,2.05,1.71
0-0 2-2 *15-15,2.12,1.67
0-0 2-2 *30-15,2.03,1.73
0-0 2-2 *30-30,2.19,1.63
0-0 2-2 *30-40,2.47,1.50
0-0 2-3 0-0*,3.32,1.30
0-0 2-3 15-0*,3.09,1.34
0-0 2-3 30-0*,2.69,1.43
0-0 2-3 30-0*,2.63,1.45
0-0 2-3 30-0*,2.27,1.58
0-0 2-3 30-15*,2.59,1.46
0-0 2-3 30-30*,2.97,1.36
0-0 3-3 *0-0,2.24,1.60
0-0 3-3 *15-0,2.11,1.67
0-0 3-3 *30-0,2.03,1.73
0-0 4-3 0-0*,1.97,1.79
0-0 4-3 0-0*,1.95,1.79
0-0 4-3 0-0*,1.92,1.81
0-0 4-3 0-15*,2.02,1.73
0-0 4-3 0-0*,2.02,1.73
0-0 4-4 *0-0,2.19,1.63
0-0 4-4 *0-15,2.47,1.50
0-0 4-4 *0-30,2.96,1.36
0-0 4-4 *0-40,3.70,1.25
0-0 4-5 0-0*,4.25,1.20
0-0 4-5 0-15*,4.65,1.17
0-0 4-5 0-40*,5.40,1.13
0-1 4-6 *0-0,5.40,1.13
0-1 4-6 *15-0,5.20,1.14
0-1 4-6 *15-15,5.40,1.13
0-1 4-6 *40-15,4.65,1.17
0-1 4-6 *40-30,5.20,1.14
0-1 4-6 *40-40,5.90,1.11
0-1 4-6 *A-40,5.20,1.14
0-1 4-6 0-0*,4.65,1.17
0-1 4-6 15-0*,4.65,1.20
0-1 1-0 0-0*,4.25,1.20
0-1 1-0 30-15*,4.00,1.22
0-1 1-0 30-30*,4.60,1.17
0-1 1-0 30-30*,4.30,1.17
0-1 1-0 40-30*,3.70,1.25
0-1 1-0 40-40*,4.25,1.20
0-1 1-0 40-A*,4.65,1.17
0-1 1-0 40-40*,4.60,1.17
0-1 1-0 A-40*,3.69,1.25
0-1 2-0 *0-0,2.94,1.37
0-1 2-0 *15-0,2.78,1.41
0-1 2-0 *15-30,3.28,1.31
0-1 2-0 *15-30,3.32,1.30
0-1 2-0 *30-30,3.04,1.35
0-1 2-0 *40-30,2.73,1.42
0-1 3-0 0-0*,2.58,1.46
0-1 3-0 15-15*,2.56,1.47
0-1 3-0 0-15*,2.54,1.48
0-1 3-0 0-40*,2.70,1.43
0-1 3-1 *0-0,2.73,1.42
0-1 3-1 *15-0,2.59,1.46
0-1 3-1 *30-0,2.49,1.49
0-1 3-1 *40-0,2.44,1.51
0-1 4-1 0-0*,2.40,1.53
0-1 4-1 0-30*,2.49,1.49
0-1 4-1 15-30*,2.45,1.51
0-1 4-1 30-30*,2.37,1.54
0-1 4-1 30-40*,2.44,1.51
0-1 4-1 40-40*,2.33,1.56
0-1 4-1 40-A*,2.44,1.51
0-1 4-1 40-40*,2.37,1.54
0-1 4-1 40-A*,2.44,1.51
0-1 4-1 40-40*,2.33,1.56
0-1 4-2 *0-0,2.49,1.49
0-1 4-2 *15-0,2.40,1.53
0-1 4-2 *40-0,2.25,1.60
0-1 5-2 0-0*,2.23,1.61
0-1 5-2 15-0*,2.23,1.64
0-1 5-2 15-30*,2.26,1.59
0-1 5-2 15-40*,2.29,1.58
0-1 5-2 30-40*,2.26,1.59
0-1 5-2 40-A*,2.26,1.59
0-1 5-2 40-A*,2.25,1.59
0-1 5-3 *0-0,2.32,1.56
0-1 5-3 *15-15,2.33,1.56
0-1 5-3 *30-15,2.22,1.61
0-1 5-3 *40-30,2.18,1.63
1-1 6-3 0-0*,2.08,1.69
1-1 6-3 0-0*,2.14,1.65
1-1 6-3 0-15*,2.29,1.58
1-1 6-3 0-30*,2.41,1.53
1-1 0-1 *0-0,2.56,1.47
