Score,P1 Odds,P2 Odds
-,1.13,5.40
-,1.11,6.00
0-0 1-1 0-30*,1.14,5.20
0-0 1-1 15-30*,1.14,5.20
0-0 1-1 30-30*,1.12,5.70
0-0 1-1 40-30*,1.08,6.50
0-0 1-1 40-40*,1.12,5.70
0-0 1-1 A-40*,1.08,6.50
0-0 3-1 0-0*,1.04,9.50
0-0 3-1 0-30*,1.05,8.50
0-0 3-1 0-30*,1.06,7.75
0-0 3-1 0-40*,1.06,7.50
0-0 3-2 *0-0,1.07,7.00
0-0 3-2 *0-0,1.07,7.50
0-0 3-2 *0-15,1.10,6.00
0-0 3-2 *30-0,1.05,8.50
0-0 3-2 *40-0,1.05,8.50
0-0 3-2 *40-0,1.04,9.50
0-0 3-2 *40-15,1.05,8.50
0-0 4-2 0-0*,1.04,9.50
0-0 4-2 0-15*,1.05,8.50
0-0 4-2 15-15*,1.05,9.50
0-0 4-2 15-15*,1.04,9.50
0-0 4-2 15-30*,1.05,8.50
0-0 4-2 30-30*,1.04,9.50
0-0 4-2 40-30*,1.03,10.00
0-0 5-2 *0-0,1.02,12.00
1-0 0-1 *15-40,1.06,7.75
1-0 0-1 *30-40,1.05,8.50
1-0 0-2 0-0*,1.08,6.50
1-0 0-2 0-15*,1.10,6.00
1-0 0-2 0-30*,1.11,5.90
1-0 0-2 0-40*,1.13,5.40
1-0 0-2 15-40*,1.13,5.50
1-0 0-2 30-40*,1.11,6.00
1-0 0-4 0-0*,1.25,3.70
1-0 0-4 15-15*,1.25,3.70
1-0 0-4 15-30*,1.28,3.45
1-0 0-4 30-30*,1.25,3.70
1-0 0-4 40-30*,1.22,4.00
1-0 1-4 *0-0,1.20,4.25
1-0 1-4 *15-0,1.20,4.25
1-0 1-4 *15-15,1.20,4.25
1-0 1-4 *30-30,1.20,4.25
1-0 1-4 *30-30,1.17,4.60
1-0 1-4 *40-30,1.17,4.65
1-0 1-4 *40-40,1.17,4.60
1-0 2-4 0-0*,1.14,5.20
1-0 2-4 15-0*,1.13,5.40
1-0 2-4 15-15*,1.14,5.20
1-0 2-4 30-15*,1.13,5.40
1-0 2-4 40-15*,1.10,6.00
1-0 4-4 0-0*,1.03,10.00
1-0 4-4 0-15*,1.04,9.50
1-0 4-4 0-30*,1.06,8.00
1-0 4-4 15-30*,1.04,9.50
1-0 4-4 30-30*,1.03,10.00
1-0 4-4 40-30*,1.01,13.00
1-0 5-4 *0-0,1.002,41.00
1-0 5-4 *30-0,1.001,101.00
1-0 5-4 *40-0,1.001,126.00
1-0 5-4 *40-15,1.001,126.00
2-0 6-4 0-0*,1.001,1.001
