Score,P1 Odds,P2 Odds
-,1.48,2.53
0-0 1-0 0-0*,1.37,2.92
0-0 1-0 0-30*,1.41,2.79
0-0 1-1 *0-0,1.45,2.62
0-0 1-1 *0-15,1.54,2.37
0-0 1-1 *15-30,1.59,2.26
0-0 1-1 *30-30,1.51,2.45
0-0 2-1 0-0*,1.39,2.86
0-0 2-1 15-0*,1.33,3.13
0-0 2-1 15-30*,1.41,2.75
0-0 2-2 *0-0,1.48,2.54
0-0 2-2 *30-15,1.45,2.64
0-0 3-2 0-0*,1.40,2.81
0-0 3-2 15-0*,1.34,3.07
0-0 3-2 15-15*,1.38,2.91
0-0 3-2 15-40*,1.45,2.61
0-0 3-3 *0-0,1.47,2.57
0-0 3-3 *0-15,1.58,2.29
0-0 3-3 *0-40,2.04,1.72
0-0 3-3 *30-40,1.71,2.06
0-0 3-4 0-0*,2.32,1.56
0-0 3-4 15-15*,2.31,1.57
0-0 3-4 30-30*,2.26,1.59
0-0 3-4 30-40*,2.47,1.50
0-0 3-4 40-40*,2.14,1.65
0-0 3-4 40-A*,2.14,1.65
0-0 3-5 *0-0,2.65,1.44
0-0 3-5 *30-0,2.58,1.46
0-0 4-5 0-0*,2.55,1.47
0-0 4-5 0-0*,2.30,1.57
0-0 4-5 0-30*,2.67,1.44
0-0 4-5 15-30*,2.50,1.49
0-0 4-5 15-40*,2.68,1.43
0-1 4-6 *0-0,2.84,1.39
0-1 4-6 *0-0,2.64,1.45
0-1 4-6 *15-0,2.56,1.47
0-1 4-6 *40-0,2.42,1.52
0-1 4-6 *40-15,2.46,1.50
0-1 0-0 *40-15,2.46,1.50
0-1 0-0 *A-40,2.54,1.48
0-1 0-0 *A-40,2.45,1.51
0-1 1-0 15-15*,2.65,1.44
0-1 1-0 15-30*,2.75,1.41
0-1 1-0 30-30*,2.60,1.46
0-1 1-0 40-40*,2.59,1.46
0-1 1-0 A-40*,2.58,1.46
0-1 1-0 A-A*,2.33,1.56
0-1 1-1 *0-0,2.45,1.51
0-1 1-1 *0-30,3.09,1.34
0-1 1-1 *0-40,4.20,1.20
0-1 1-1 *30-40,3.70,1.35
0-1 1-1 *40-40,2.53,1.48
0-1 1-1 *40-A,3.32,1.30
0-1 1-1 *40-40,2.71,1.43
0-1 2-1 0-0*,2.26,1.59
0-1 2-1 0-0*,2.21,1.61
0-1 2-1 15-0*,2.04,1.72
0-1 2-1 15-15*,2.27,1.59
0-1 2-1 30-30*,2.19,1.63
0-1 2-1 30-30*,2.39,1.53
0-1 2-1 40-40*,2.39,1.53
0-1 2-1 A-40*,2.03,1.73
0-1 2-1 40-40*,2.02,1.73
0-1 2-1 40-40*,2.29,1.58
0-1 2-1 40-40*,2.01,1.74
0-1 2-1 40-A*,2.54,1.48
0-1 2-1 40-40*,2.37,1.54
0-1 2-1 40-A*,2.56,1.47
0-1 2-2 *0-0,2.69,1.43
0-1 2-2 *30-0,2.47,1.50
0-1 2-2 *30-30,2.81,1.40
0-1 2-2 *30-30,2.56,1.47
0-1 2-2 *A-40,2.56,1.47
0-1 2-2 *40-40,2.82,1.40
0-1 3-2 0-0*,2.45,1.51
0-1 3-2 0-15*,2.58,1.46
0-1 3-2 15-15*,2.37,1.54
0-1 3-2 30-15*,2.13,1.66
0-1 3-2 40-40*,2.37,1.54
0-1 3-2 40-40*,2.27,1.59
0-1 3-2 40-A*,2.54,1.48
0-1 3-2 40-40*,2.26,1.59
0-1 3-2 40-40*,2.36,1.54
0-1 3-3 *0-0,2.70,1.43
0-1 3-3 *40-15,2.44,1.50
0-1 4-3 0-0*,2.39,1.53
0-1 4-3 0-30*,2.65,1.44
0-1 4-3 15-40*,2.66,1.44
