Score,P1 Odds,P2 Odds
-,1.40,2.81
0-0 0-0 15-0*,1.25,3.70
0-0 0-0 40-15*,1.20,4.25
0-0 0-0 40-30*,1.22,4.00
0-0 1-0 *0-0,1.17,4.60
0-0 1-0 *15-15,1.17,4.60
0-0 2-0 0-0*,1.13,5.40
0-0 2-0 0-15*,1.13,5.40
0-0 2-0 15-40*,1.17,4.65
0-0 2-1 *0-0,1.17,4.60
0-0 2-1 *15-15,1.17,4.60
0-0 2-1 *30-15,1.17,4.60
0-0 2-1 *40-40,1.17,4.60
0-0 4-3 *0-0,1.17,4.65
0-0 4-3 *0-15,1.22,4.10
0-0 4-3 *40-15,1.11,5.90
0-0 5-3 0-0*,1.05,8.50
0-0 5-3 15-15*,1.06,7.75
0-0 5-3 40-15*,1.03,10.00
1-0 6-3 *0-0,1.03,10.00
1-0 6-3 *0-15,1.04,9.50
1-0 0-0 *0-30,1.04,9.50
1-0 0-1 0-0*,1.06,7.50
1-0 0-1 15-15*,1.06,7.50
1-0 0-1 15-30*,1.08,6.50
1-0 0-2 *0-0,1.11,5.90
1-0 0-2 *15-15,1.13,5.50
1-0 0-2 *30-15,1.11,6.00
1-0 1-2 0-0*,1.08,6.50
1-0 1-2 0-15*,1.11,6.00
1-0 1-2 15-30*,1.14,5.20
1-0 1-3 *0-0,1.17,4.65
1-0 1-3 *0-15,1.20,4.25
1-0 1-3 *15-15,1.17,4.60
1-0 1-3 *30-30,1.17,4.60
1-0 1-3 *40-40,1.17,4.50
1-0 1-3 *40-40,1.17,4.60
1-0 1-3 *40-A,1.22,4.00
1-0 1-4 0-0*,1.30,3.32
1-0 1-4 15-15*,1.30,3.32
1-0 1-4 30-15*,1.25,3.70
1-0 1-4 40-30*,1.25,3.75
1-0 2-4 *0-0,1.20,4.25
1-0 2-4 *15-0,1.17,4.60
1-0 2-4 *40-15,1.17,4.65
1-0 2-4 *40-40,1.20,4.25
1-0 3-4 0-0*,1.15,5.00
1-0 3-4 0-15*,1.17,4.60
1-0 3-4 0-40*,1.25,3.70
1-0 3-4 15-40*,1.22,4.00
1-0 3-5 *30-0,1.22,4.00
1-0 4-5 0-0*,1.20,4.25
1-1 0-0 *0-0,1.38,2.90
1-1 0-0 *30-15,1.33,3.20
1-1 0-0 *40-30,1.30,3.31
1-1 1-0 0-0*,1.25,3.70
1-1 1-0 0-30*,1.39,2.84
1-1 1-0 30-30*,1.28,3.45
1-1 1-0 40-30*,1.17,4.60
1-1 2-0 *0-0,1.11,6.00
1-1 2-0 *30-0,1.06,8.00
1-1 3-0 40-40*,1.02,12.00
1-1 4-0 *0-15,1.01,14.00
1-1 4-0 *30-15,1.002,41.00
1-1 4-0 *40-30,1.002,41.00
