Score,P1 Odds,P2 Odds
-,1.87,1.87
-,1.70,2.08
0-0 0-0 0-15*,1.74,2.01
0-0 0-0 15-15*,1.68,2.10
0-0 0-0 15-30*,1.75,2.00
0-0 0-1 *0-0,1.82,1.91
0-0 0-1 *15-0,1.77,1.97
0-0 0-1 *30-0,1.74,2.01
0-0 1-1 0-0*,1.70,2.07
0-0 1-1 0-30*,1.80,1.94
0-0 1-1 0-40*,1.82,1.91
0-0 1-1 15-40*,1.80,1.93
0-0 1-1 30-40*,1.76,1.98
0-0 1-2 *0-0,1.82,1.91
0-0 1-2 *30-0,1.73,2.03
0-0 1-2 *30-15,1.77,1.97
0-0 1-2 *30-15,1.79,1.95
0-0 1-2 *30-30,1.90,1.83
0-0 2-2 0-0*,1.71,2.06
0-0 2-2 0-0*,1.69,2.08
0-0 2-2 0-15*,1.75,1.99
0-0 2-2 0-30*,1.81,1.92
0-0 2-2 15-30*,1.76,1.98
0-0 2-2 15-30*,1.75,2.00
0-0 2-2 15-30*,1.76,1.98
0-0 2-2 40-30*,1.51,2.44
0-0 2-2 40-30*,1.48,2.53
0-0 3-2 *0-0,1.31,3.25
0-0 3-2 *15-0,1.28,3.45
0-0 3-2 *30-0,1.25,3.70
0-0 3-2 *40-0,1.25,3.70
0-0 3-2 *40-15,1.25,3.70
0-0 3-2 *40-30,1.30,3.32
0-0 4-2 0-0*,1.25,3.70
0-0 4-2 0-0*,1.28,3.45
0-0 4-2 0-40*,1.30,3.35
0-0 4-3 *0-0,1.30,3.32
0-0 4-3 *15-0,1.28,3.45
0-0 4-3 *30-0,1.25,3.80
0-0 4-3 *30-15,1.28,3.50
0-0 4-3 *40-15,1.23,3.92
0-0 4-3 *40-15,1.23,3.80
0-0 4-3 *40-15,1.25,3.80
0-0 5-3 0-0*,1.22,4.00
0-0 5-3 0-15*,1.22,3.96
0-0 5-3 15-15*,1.22,4.00
0-0 5-3 30-15*,1.20,4.25
0-0 5-3 40-15*,1.17,4.60
0-0 5-3 40-30*,1.17,4.60
1-0 6-3 *0-0,1.14,5.20
1-0 0-0 *0-0,1.14,5.20
1-0 0-0 *0-0,1.17,4.65
1-0 0-0 *0-15,1.20,4.30
1-0 0-0 *15-15,1.17,4.65
1-0 0-0 *30-15,1.13,5.40
1-0 0-0 *30-30,1.14,5.20
1-0 0-0 *40-30,1.13,5.40
1-0 0-0 *40-40,1.16,4.80
1-0 0-0 *A-40,1.13,5.40
1-0 1-0 0-0*,1.11,6.00
1-0 1-0 0-0*,1.13,5.40
1-0 1-0 15-0*,1.11,6.00
1-0 1-0 30-0*,1.07,7.00
1-0 1-0 30-30*,1.10,6.00
1-0 1-0 30-40*,1.13,5.40
1-0 1-0 40-40*,1.10,6.00
1-0 1-0 40-A*,1.13,5.40
1-0 1-1 *0-0,1.14,5.20
1-0 1-1 *15-0,1.13,5.40
1-0 1-1 *30-0,1.13,5.50
1-0 1-1 *30-0,1.11,5.90
1-0 2-1 0-0*,1.11,6.00
1-0 2-1 0-15*,1.13,5.40
1-0 2-1 0-30*,1.14,5.20
1-0 2-1 15-30*,1.13,5.40
1-0 2-1 15-40*,1.14,5.20
1-0 2-2 *0-0,1.14,5.20
1-0 2-2 *0-15,1.17,4.60
1-0 2-2 *0-30,1.17,4.60
1-0 2-2 *15-30,1.20,4.25
1-0 2-2 *15-40,1.30,3.32
1-0 2-2 *30-40,1.25,3.70
1-0 2-2 *40-40,1.17,4.65
1-0 2-2 *40-A,1.22,4.00
1-0 2-2 *40-40,1.17,4.65
1-0 2-2 *A-40,1.17,4.65
1-0 3-2 0-0*,1.14,5.20
1-0 3-2 0-15*,1.17,4.65
1-0 3-2 15-15*,1.14,5.20
1-0 3-2 30-15*,1.11,6.00
1-0 3-2 30-15*,1.10,6.00
1-0 3-2 30-30*,1.13,5.40
1-0 3-2 30-40*,1.17,4.65
1-0 3-3 *0-0,1.20,4.25
1-0 3-3 *15-0,1.17,4.65
1-0 3-3 *15-15,1.20,4.25
1-0 3-3 *30-15,1.17,4.65
1-0 3-3 *40-15,1.14,5.20
1-0 3-3 *40-15,1.17,4.65
1-0 3-3 *40-A,1.30,3.32
1-0 3-3 *40-40,1.20,4.25
1-0 3-3 *A-40,1.17,4.65
1-0 3-3 *40-40,1.22,3.98
1-0 3-3 *A-40,1.17,4.60
1-0 4-3 0-0*,1.14,5.20
1-0 4-3 0-15*,1.17,4.65
1-0 4-3 15-15*,1.14,5.20
1-0 4-3 15-30*,1.17,4.65
1-0 4-3 30-30*,1.13,5.40
1-0 4-3 40-30*,1.06,7.50
1-0 4-3 40-40*,1.13,5.40
1-0 4-3 40-A*,1.17,4.65
1-0 4-4 *0-0,1.20,4.25
1-0 4-4 *15-0,1.17,4.60
1-0 4-4 *30-15,1.17,4.60
1-0 4-4 *30-30,1.22,3.98
1-0 4-4 *40-30,1.17,4.60
1-0 5-4 0-0*,1.14,5.20
1-0 5-4 0-15*,1.17,4.65
1-0 5-4 0-30*,1.20,4.25
1-0 5-4 0-30*,1.20,4.30
1-0 5-4 0-40*,1.20,4.25
1-0 5-5 *0-0,1.22,4.00
1-0 5-5 *0-15,1.28,3.45
1-0 5-5 *15-15,1.22,4.00
