Score,P1 Odds,P2 Odds
-,1.40,2.80
0-0 0-0 15-15*,1.40,2.82
0-0 0-0 15-15*,1.39,2.83
0-0 0-0 30-15*,1.33,3.12
0-0 0-0 30-40*,1.47,2.56
0-0 0-1 *0-0,1.54,2.37
0-0 0-1 *15-15,1.54,2.35
0-0 0-1 *15-30,1.63,2.18
0-0 0-1 *15-40,1.77,1.98
0-0 0-1 *40-40,1.55,2.35
0-0 0-1 *A-40,1.47,2.56
0-0 1-1 0-0*,1.41,2.78
0-0 1-1 15-15*,1.41,2.78
0-0 1-1 30-15*,1.34,3.11
0-0 1-1 40-15*,1.28,3.45
0-0 1-1 40-30*,1.31,3.26
0-0 1-1 40-40*,1.39,2.84
0-0 1-2 *0-0,1.56,2.33
0-0 1-2 *15-0,1.51,2.45
0-0 1-2 *15-30,1.67,2.11
0-0 1-2 *30-30,1.58,2.29
0-0 2-2 0-0*,1.43,2.71
0-0 2-2 15-0*,1.36,2.99
0-0 2-2 15-15*,1.42,2.74
0-0 2-2 15-30*,1.49,2.50
0-0 2-2 15-40*,1.56,2.34
0-0 2-2 30-40*,1.50,2.47
0-0 2-2 40-40*,1.40,2.79
0-0 2-2 40-A*,1.50,2.47
0-0 2-2 A-40*,1.31,3.25
0-0 3-2 *0-0,1.22,4.00
0-0 3-2 *0-15,1.28,3.45
0-0 3-2 *30-15,1.20,4.25
0-0 4-2 0-0*,1.16,4.80
0-0 4-2 15-15*,1.15,5.00
0-0 4-2 30-15*,1.13,5.40
0-0 4-2 40-15*,1.11,6.00
0-0 5-2 *0-0,1.10,6.00
0-0 5-2 *0-15,1.10,6.00
0-0 5-2 *15-15,1.10,6.00
0-0 5-2 *30-30,1.10,6.00
0-0 5-2 *30-40,1.11,6.00
0-0 5-2 *40-40,1.10,6.00
0-0 5-2 *40-A,1.11,6.00
0-0 5-4 *0-0,1.17,4.60
0-0 5-4 *15-0,1.14,5.20
0-0 5-4 *30-15,1.14,5.20
0-0 5-4 *40-15,1.11,6.00
0-0 5-4 *40-40,1.20,4.25
0-0 5-4 *A-40,1.14,5.20
1-0 6-4 0-0*,1.08,6.50
1-0 6-4 15-0*,1.06,7.50
1-0 0-0 30-15*,1.06,7.75
1-0 0-0 40-15*,1.04,9.50
1-0 1-0 *0-0,1.04,9.50
1-0 1-0 *15-0,1.03,10.00
1-0 1-0 *30-0,1.02,12.00
1-0 1-0 *40-0,1.02,12.00
1-0 2-0 15-0*,1.01,13.00
1-0 2-0 30-0*,1.005,15.00
1-0 2-0 30-15*,1.01,14.00
1-0 2-0 40-30*,1.01,14.00
1-0 3-0 *0-0,1.002,34.00
1-0 3-0 *30-0,1.002,67.00
1-0 3-0 *30-15,1.002,41.00
1-0 3-0 *30-30,1.004,34.00
1-0 3-0 *30-40,1.01,15.00
1-0 3-1 0-15*,1.02,12.00
1-0 3-1 15-30*,1.02,12.00
1-0 3-1 15-40*,1.03,10.00
1-0 3-2 *0-0,1.04,9.50
1-0 3-2 *30-0,1.02,12.00
1-0 3-2 *40-0,1.01,13.00
1-0 4-2 0-0*,1.01,13.00
1-0 4-2 15-0*,1.01,15.00
1-0 4-2 30-0*,1.002,34.00
1-0 4-2 40-0*,1.002,67.00
1-0 5-2 *0-0,1.001,81.00
