Score,P1 Odds,P2 Odds
-,2.10,1.68
0-0 0-0 0-15*,2.21,1.62
0-0 0-0 15-15*,2.09,1.69
0-0 0-0 30-15*,1.92,1.81
0-0 0-0 40-30*,1.87,1.86
0-0 0-0 40-40*,2.06,1.71
0-0 0-0 40-40*,2.02,1.73
0-0 0-0 A-40*,1.87,1.87
0-0 0-0 A-40*,2.01,1.74
0-0 1-0 *0-0,1.67,2.12
0-0 1-0 *15-0,1.60,2.24
0-0 1-0 *15-30,1.65,2.15
0-0 1-0 *30-30,1.57,2.30
0-0 1-0 *30-40,1.70,2.08
0-0 1-0 *40-40,1.58,2.29
0-0 1-0 *A-40,1.48,2.52
0-0 2-0 0-15*,1.42,2.72
0-0 2-0 0-30*,1.46,2.60
0-0 2-0 30-40*,1.44,2.66
0-0 2-0 40-40*,1.37,2.93
0-0 2-1 *0-0,1.49,2.49
0-0 2-1 *0-30,1.77,1.97
0-0 2-1 *30-30,1.60,2.25
0-0 2-1 *40-40,1.62,2.21
0-0 2-1 *40-A,1.76,1.98
0-0 2-1 *40-40,1.62,2.20
0-0 2-1 *A-40,1.51,2.45
0-0 3-1 0-0*,1.43,2.70
0-0 3-1 0-30*,1.51,2.44
0-0 3-1 0-40*,1.54,2.36
0-0 3-1 15-40*,1.52,2.41
0-0 3-1 30-40*,1.49,2.50
0-0 3-2 *0-0,1.55,2.34
0-0 3-2 *0-0,1.59,2.27
0-0 3-2 *0-15,1.69,2.08
0-0 3-2 *0-30,1.82,1.91
0-0 3-2 *15-40,1.89,1.83
0-0 3-2 *40-40,1.61,2.24
0-0 3-2 *40-A,1.79,1.95
0-0 3-3 0-0*,2.04,1.72
0-0 3-3 15-15*,2.04,1.72
0-0 3-3 30-15*,1.85,1.88
0-0 3-3 40-40*,2.04,1.72
0-0 3-3 40-A*,2.28,1.58
0-0 3-4 *0-0,2.53,1.48
0-0 3-4 *15-0,2.35,1.55
0-0 3-4 *40-0,2.10,1.68
0-0 4-4 0-15*,2.25,1.60
0-0 4-4 0-30*,2.42,1.52
0-0 4-4 30-30*,1.99,1.75
0-0 4-4 40-30*,1.72,2.04
0-0 5-4 *0-0,1.45,2.62
0-0 5-4 *15-15,1.45,2.61
0-0 5-4 *30-30,1.46,2.60
0-0 5-4 *30-30,1.47,2.57
0-0 5-4 *40-30,1.33,3.14
0-0 5-4 *A-40,1.33,3.14
0-0 5-4 *40-40,1.48,2.54
0-0 5-4 *A-40,1.33,3.14
1-0 6-4 0-0*,1.23,3.92
1-0 6-4 0-0*,1.25,3.70
1-0 6-4 15-0*,1.20,4.20
1-0 6-4 15-15*,1.25,3.70
1-0 6-4 15-30*,1.28,3.45
1-0 6-4 30-30*,1.25,3.70
1-0 0-0 40-30*,1.17,4.60
1-0 0-0 40-A*,1.30,3.32
1-0 0-1 *0-0,1.35,3.05
1-0 0-1 *15-0,1.31,3.26
1-0 0-1 *15-15,1.33,3.14
1-0 0-1 *30-15,1.25,3.70
1-0 0-1 *40-15,1.25,3.80
1-0 0-1 *30-15,1.17,4.65
1-0 0-1 *30-15,1.20,4.25
1-0 0-1 *30-15,1.14,5.20
1-0 0-1 *40-40,1.22,3.98
1-0 0-1 *A-40,1.17,4.65
1-0 2-1 *0-0,1.11,5.90
1-0 2-1 *0-15,1.14,5.20
1-0 2-1 *15-30,1.17,4.60
1-0 2-1 *30-40,1.20,4.25
1-0 2-2 0-0*,1.28,3.45
1-0 2-2 0-30*,1.37,2.93
1-0 2-2 0-40*,1.41,2.77
1-0 2-3 *0-0,1.43,2.68
1-0 2-3 *0-15,1.51,2.45
1-0 2-3 *15-15,1.44,2.67
1-0 2-3 *15-15,1.44,2.66
1-0 2-3 *40-15,1.33,3.18
1-0 2-3 *40-30,1.36,2.99
1-0 2-3 *40-40,1.45,2.62
1-0 2-3 *40-40,1.45,2.61
1-0 2-3 *40-A,1.56,2.32
1-0 2-3 *A-40,1.35,3.01
1-0 3-3 0-0*,1.30,3.32
1-0 3-3 0-15*,1.34,3.07
1-0 3-3 15-30*,1.35,3.01
1-0 3-3 30-30*,1.30,3.32
1-0 3-3 40-30*,1.20,4.25
1-0 3-3 40-40*,1.30,3.32
1-0 3-3 40-A*,1.37,2.93
1-0 3-4 *0-0,1.45,2.62
1-0 3-4 *0-15,1.54,2.37
1-0 3-4 *0-30,1.66,2.14
1-0 3-4 *15-40,1.72,2.04
1-0 3-5 0-15*,1.93,1.81
1-0 3-5 0-30*,2.00,1.75
1-0 3-5 30-30*,1.80,1.94
1-0 3-5 40-30*,1.66,2.14
1-0 3-5 40-40*,1.78,1.95
1-0 3-5 40-A*,1.92,1.81
1-0 3-5 40-40*,1.80,1.93
1-0 3-5 40-A*,1.91,1.82
1-1 0-0 *0-0,1.91,1.82
1-1 0-0 *0-0,2.04,1.72
1-1 0-0 *0-0,2.19,1.63
1-1 0-0 *15-0,2.01,1.74
1-1 0-0 *40-0,1.79,1.95
1-1 0-0 *40-30,1.98,1.76
1-1 1-0 0-0*,1.78,1.95
1-1 1-0 0-0*,1.82,1.91
1-1 1-0 0-15*,1.94,1.80
1-1 1-0 15-15*,1.78,1.96
1-1 1-0 15-30*,1.94,1.79
1-1 1-0 30-30*,1.75,1.99
1-1 1-0 30-40*,2.00,1.75
1-1 1-1 *0-0,2.20,1.62
1-1 1-1 *15-0,2.01,1.74
1-1 1-1 *15-15,2.25,1.60
1-1 1-1 *15-30,2.64,1.45
1-1 1-1 *15-40,3.28,1.31
1-1 1-2 0-0*,4.00,1.22
1-1 1-2 15-0*,3.33,1.30
1-1 1-2 15-15*,3.80,1.25
1-1 1-2 30-30*,3.78,1.25
1-1 1-3 *0-0,5.40,1.13
1-1 1-3 *15-0,4.65,1.17
1-1 1-3 *40-0,4.00,1.22
1-1 2-3 0-0*,4.00,1.22
1-1 2-3 0-0*,3.98,1.22
1-1 2-3 15-0*,3.16,1.33
1-1 2-3 30-0*,2.59,1.46
1-1 2-3 40-0*,2.18,1.63
1-1 2-3 40-15*,2.34,1.55
1-1 2-3 40-30*,2.78,1.41
1-1 2-3 40-A*,4.65,1.17
1-1 2-4 *0-0,6.00,1.11
1-1 2-4 *15-15,6.00,1.11
1-1 2-4 *30-15,5.20,1.14
1-1 2-4 *40-15,4.65,1.17
1-1 3-4 0-0*,4.50,1.17
1-1 3-4 15-15*,4.25,1.20
1-1 3-4 15-15*,4.20,1.20
1-1 3-4 30-15*,3.11,1.34
1-1 3-4 30-30*,4.00,1.22
1-1 3-4 40-30*,2.72,1.42
1-1 3-4 40-40*,3.80,1.25
1-1 3-4 A-40*,2.72,1.42
1-1 4-4 *0-0,1.95,1.79
1-1 4-4 *15-0,1.71,2.05
1-1 4-4 *30-0,1.55,2.35
1-1 4-4 *40-0,1.45,2.63
1-1 5-4 0-0*,1.41,2.77
1-1 5-4 15-0*,1.25,3.70
1-1 5-4 30-0*,1.13,5.40
1-1 5-4 40-0*,1.12,5.70
1-1 5-4 40-15*,1.06,8.00
2-1 6-4 *0-0,1.001,1.001
