Score,P1 Odds,P2 Odds
-,1.35,3.02
0-0 0-0 *40-15,1.30,3.32
0-0 1-0 0-0*,1.28,3.45
0-0 1-0 0-30*,1.33,3.14
0-0 1-1 *0-0,1.36,2.99
0-0 1-1 *30-0,1.30,3.31
0-0 2-1 0-0*,1.28,3.45
0-0 2-1 0-15*,1.30,3.31
0-0 2-1 0-40*,1.36,2.98
0-0 2-2 *0-0,1.37,2.92
0-0 2-2 *30-0,1.30,3.30
0-0 2-2 *40-15,1.30,3.32
0-0 3-2 0-0*,1.28,3.45
0-0 3-2 0-15*,1.31,3.24
0-0 3-2 30-15*,1.22,4.00
0-0 3-2 40-30*,1.20,4.25
0-0 3-2 40-40*,1.25,3.70
0-0 3-3 *0-0,1.39,2.86
0-0 3-3 *15-15,1.41,2.78
0-0 3-3 *15-30,1.52,2.42
0-0 3-3 *15-40,1.85,1.88
0-0 3-3 *15-15,1.84,1.89
0-0 3-3 *30-15,1.64,2.16
0-0 3-3 *40-30,1.56,2.32
0-0 5-4 15-30*,1.25,3.70
0-0 5-4 40-40*,1.22,3.96
0-0 5-5 *15-0,1.38,2.91
0-0 5-5 *40-0,1.31,3.28
0-0 6-5 0-0*,1.28,3.45
0-0 6-5 0-15*,1.33,3.14
0-0 6-6 3-3*,1.53,2.40
0-0 6-6 4-3*,1.39,2.85
0-0 6-6 4-6*,1.92,1.81
0-0 6-6 *5-6,1.67,2.12
0-0 6-6 *6-6,1.36,3.00
0-0 6-6 6-7*,1.76,1.98
0-1 6-7 0-0*,2.34,1.55
0-1 0-0 0-0*,2.34,1.55
0-1 0-0 0-30*,2.60,1.46
0-1 0-0 0-40*,2.70,1.43
0-1 0-1 *0-0,2.75,1.41
0-1 0-1 *15-0,2.62,1.45
0-1 0-1 *40-0,2.41,1.52
0-1 1-1 0-15*,2.50,1.49
0-1 1-1 0-30*,2.65,1.44
0-1 1-1 15-40*,2.77,1.41
0-1 1-2 *0-0,2.81,1.40
0-1 1-2 *15-0,2.64,1.45
0-1 1-2 *15-15,2.92,1.37
0-1 1-2 *30-30,2.95,1.37
0-1 2-2 0-0*,2.42,1.52
0-1 2-2 0-30*,2.74,1.42
0-1 2-2 0-40*,2.87,1.38
0-1 2-3 *0-0,2.92,1.37
0-1 2-3 *0-0,2.98,1.36
0-1 2-3 *0-15,3.32,1.30
0-1 2-3 *0-40,5.20,1.14
0-1 2-3 *15-40,4.65,1.17
0-1 2-4 0-0*,6.00,1.11
0-1 2-4 0-0*,5.20,1.14
0-1 2-4 30-15*,4.65,1.17
0-1 2-4 40-30*,4.25,1.20
0-1 2-4 40-40*,5.20,1.14
0-1 3-4 *0-0,3.45,1.28
0-1 3-4 *15-0,3.45,1.28
0-1 3-4 *30-15,2.94,1.37
0-1 3-4 *40-15,2.86,1.39
0-1 3-4 *40-30,3.18,1.33
0-1 4-4 0-15*,3.02,1.35
0-1 4-4 15-15*,3.02,1.43
0-1 4-4 15-40*,3.35,1.30
0-1 4-5 *0-0,3.90,1.23
0-1 4-5 *0-15,4.80,1.16
0-1 4-5 *15-30,5.20,1.14
0-1 4-5 *30-30,4.25,1.20
0-1 4-5 *30-40,6.00,1.10
0-1 4-5 *40-40,4.65,1.17
