Score,P1 Odds,P2 Odds
-,1.87,1.87
0-0 0-0 15-0*,1.76,1.98
0-0 0-0 30-15*,1.73,2.03
0-0 0-0 40-30*,1.67,2.12
0-0 0-1 *0-0,2.05,1.71
0-0 0-1 *30-0,1.91,1.82
0-0 0-1 *40-15,1.91,1.83
0-0 0-2 0-0*,2.61,1.46
0-0 0-2 15-15*,2.59,1.46
0-0 0-2 30-15*,2.36,1.54
0-0 0-2 30-30*,2.50,1.49
0-0 0-2 40-30*,2.21,1.62
0-0 0-2 40-40*,2.42,1.52
0-0 0-3 *0-0,3.02,1.35
0-0 0-3 *15-0,2.91,1.38
0-0 0-3 *30-0,2.81,1.40
0-0 1-3 0-0*,2.73,1.42
0-0 1-3 15-0*,2.50,1.49
0-0 1-3 15-0*,2.47,1.50
0-0 1-3 15-30*,2.88,1.38
0-0 1-3 30-30*,2.63,1.45
0-0 1-3 30-40*,2.63,1.45
0-0 1-4 *0-0,3.14,1.33
0-0 1-4 *15-0,3.10,1.34
0-0 1-4 *30-0,3.01,1.35
0-0 1-4 *40-0,2.95,1.37
0-0 2-4 0-0*,2.88,1.38
0-0 2-4 0-30*,3.31,1.30
0-0 2-4 15-40*,3.32,1.30
0-0 2-5 *0-0,3.45,1.28
0-0 2-5 *0-15,3.28,1.30
0-0 2-5 *0-30,3.66,1.25
0-0 2-5 *15-30,3.45,1.28
0-0 3-5 0-0*,3.08,1.34
0-0 3-5 0-15*,3.28,1.31
0-0 3-5 15-30*,3.26,1.31
0-0 3-5 30-30*,2.86,1.39
0-0 3-5 30-40*,3.32,1.30
0-0 3-5 30-40*,2.69,1.43
0-0 4-5 *0-0,2.11,1.67
0-0 4-5 *15-15,2.13,1.66
0-0 4-5 *30-15,1.98,1.64
0-0 5-5 0-0*,1.77,1.97
0-0 5-5 15-0*,1.61,2.23
0-0 5-5 30-15*,1.57,2.30
0-0 5-5 30-30*,1.68,2.10
0-0 5-5 40-30*,1.49,2.50
0-0 5-5 40-40*,1.60,2.24
0-0 6-5 *0-0,1.30,3.32
0-0 6-5 *30-0,1.25,3.69
0-0 6-5 *30-0,1.22,4.00
1-0 7-5 0-0*,1.20,4.25
1-0 7-5 30-0*,1.13,5.40
1-0 7-5 40-0*,1.10,6.00
1-0 7-5 40-15*,1.11,6.00
1-0 7-5 *0-0,1.08,7.00
1-0 1-0 *30-0,1.04,9.50
1-0 2-0 0-0*,1.04,9.50
1-0 2-0 15-0*,1.02,11.00
1-0 2-0 30-15*,1.02,11.00
1-0 2-0 40-30*,1.02,12.00
1-0 2-0 40-40*,1.02,11.00
1-0 2-1 *0-0,1.02,8.50
1-0 2-1 *0-0,1.05,8.50
1-0 2-1 *15-0,1.04,9.50
1-0 2-1 *30-15,1.06,7.75
1-0 2-1 *40-15,1.04,9.50
1-0 3-1 0-0*,1.03,10.00
1-0 3-1 15-0*,1.02,12.00
1-0 3-1 15-30*,1.04,9.50
1-0 3-1 30-30*,1.02,11.00
1-0 3-1 40-40*,1.02,12.00
1-0 4-1 *0-0,1.002,34.00
1-0 4-1 *15-0,1.002,41.00
1-0 4-1 *30-0,1.002,67.00
1-0 4-1 *30-0,1.002,41.00
1-0 4-1 *40-30,1.002,41.00
1-0 4-1 *40-40,1.01,14.00
1-0 4-2 0-0*,1.02,12.00
1-0 4-2 15-0*,1.01,13.00
1-0 4-2 15-15*,1.02,12.00
1-0 4-2 30-15*,1.01,13.00
1-0 4-2 30-30*,1.02,12.00
1-0 4-2 30-40*,1.03,10.00
1-0 4-3 *0-0,1.04,9.50
1-0 4-3 *15-15,1.04,9.50
1-0 4-3 *30-15,1.02,11.00
1-0 4-3 *40-15,1.01,13.00
1-0 5-3 0-15*,1.01,13.00
1-0 5-3 0-30*,1.02,12.00
1-0 5-4 *0-0,1.02,12.00
1-0 5-4 *15-0,1.01,14.00
1-0 5-4 *30-0,1.002,41.00
1-0 5-4 *40-0,1.001,101.00
2-0 6-4 0-0*,1.001,1.001
