Score,P1 Odds,P2 Odds
-,2.05,1.71
0-0 0-0 *15-0,2.18,1.63
0-0 0-0 *15-15,2.30,1.57
0-0 0-0 *15-30,2.50,1.49
0-0 0-0 *30-30,2.31,1.57
0-0 0-0 *40-30,2.13,1.66
0-0 1-0 0-0*,1.99,1.75
0-0 1-0 0-0*,1.98,1.76
0-0 1-0 15-0*,1.87,1.86
0-0 1-0 15-15*,1.98,1.76
0-0 1-0 15-15*,1.97,1.77
0-0 1-0 30-15*,1.83,1.90
0-0 1-0 40-15*,1.71,2.05
0-0 1-0 40-15*,1.70,2.07
0-0 2-0 *0-0,1.61,2.22
0-0 2-0 *15-0,1.55,2.34
0-0 2-0 *15-15,1.61,2.22
0-0 2-0 *30-15,1.55,2.35
0-0 2-0 *30-30,1.63,2.19
0-0 2-0 *30-40,1.74,2.00
0-0 2-0 *30-40,1.75,2.00
0-0 2-0 *30-40,1.93,1.81
0-0 2-0 *15-40,1.81,1.93
0-0 2-0 *15-15,1.92,1.81
0-0 2-0 *30-15,1.79,1.95
0-0 2-0 *30-15,1.78,1.96
0-0 2-0 *30-30,1.90,1.83
0-0 2-0 *30-30,2.09,1.69
0-0 2-1 30-40*,2.09,1.69
0-0 2-1 40-40*,1.89,1.84
0-0 2-1 A-40*,1.73,2.03
0-0 2-1 40-40*,1.89,1.84
0-0 2-1 40-A*,2.07,1.70
0-0 2-2 *0-0,2.26,1.59
0-0 2-2 *15-0,2.11,1.67
0-0 2-2 *15-15,2.27,1.59
0-0 2-2 *15-15,2.09,1.69
0-0 2-2 *40-15,1.96,1.78
0-0 2-2 *40-30,2.05,1.71
0-0 2-2 *40-40,2.30,1.57
0-0 2-2 *40-A,2.60,1.46
0-0 2-3 0-0*,2.60,1.46
0-0 2-3 0-0*,3.13,1.33
0-0 2-3 0-0*,3.32,1.30
0-0 2-3 15-30*,3.32,1.30
0-0 2-3 15-40*,3.70,1.25
0-0 2-4 *0-0,4.00,1.22
0-0 2-4 *30-0,3.45,1.28
0-0 2-4 *40-0,3.32,1.30
0-0 2-4 *40-15,3.40,1.28
0-0 2-4 *40-30,3.50,1.28
0-0 3-4 0-0*,3.32,1.30
0-0 3-4 0-0*,3.30,1.30
0-0 3-4 15-0*,2.91,1.38
0-0 3-4 15-15*,3.28,1.31
0-0 3-4 15-30*,3.70,1.25
0-0 3-4 30-30*,3.24,1.31
0-0 3-4 30-30*,3.14,1.33
0-0 3-4 30-30*,3.70,1.25
0-0 3-5 *0-0,4.25,1.20
0-0 3-5 *0-15,4.65,1.17
0-0 3-5 *15-15,4.25,1.20
0-0 3-5 *30-15,4.00,1.22
0-0 3-5 *40-15,3.75,1.25
0-0 4-5 0-0*,3.45,1.28
0-0 4-5 0-15*,4.00,1.22
0-0 4-5 0-30*,4.65,1.17
0-0 4-5 15-30*,4.20,1.20
0-0 4-5 30-30*,3.45,1.28
0-0 4-5 40-30*,2.72,1.42
0-0 5-5 *0-0,2.15,1.65
0-0 5-5 *15-0,1.97,1.77
0-0 5-5 *30-0,1.83,1.91
0-0 5-5 *30-0,1.74,2.01
0-0 6-5 0-0*,1.71,2.06
0-0 6-5 0-15*,1.83,1.90
0-0 6-5 0-30*,1.98,1.76
0-0 6-5 15-30*,1.85,1.88
0-0 6-5 15-40*,2.04,1.72
0-0 6-6 *0-0,2.16,1.65
0-0 6-6 1-0*,1.91,1.82
0-0 6-6 1-1*,2.16,1.65
0-0 6-6 1-1*,2.12,1.67
0-0 6-6 *2-1,1.84,1.89
0-0 6-6 *3-1,1.65,2.16
0-0 6-6 4-1*,1.48,2.52
0-0 6-6 4-2*,1.59,2.27
0-0 6-6 *4-3,1.75,2.00
0-0 6-6 5-4*,1.78,1.97
0-0 6-6 5-5*,2.14,1.65
0-0 6-6 *5-6,2.92,1.37
0-0 6-6 *5-6,3.02,1.35
0-1 6-7 0-0*,5.20,1.14
0-1 0-0 0-0*,5.20,1.14
0-1 0-0 0-0*,3.70,1.25
0-1 0-0 15-0*,3.32,1.30
0-1 0-0 30-0*,3.03,1.35
0-1 0-0 30-15*,3.28,1.31
0-1 0-0 30-30*,3.45,1.28
0-1 0-0 30-40*,4.00,1.22
0-1 0-1 *0-0,4.60,1.17
0-1 0-1 *0-15,5.20,1.14
0-1 0-1 *15-15,4.60,1.17
0-1 0-1 *15-30,5.20,1.14
0-1 0-1 *30-30,4.65,1.17
0-1 0-2 0-0*,7.00,1.08
0-1 0-1 *30-40,7.00,1.08
0-1 0-1 *30-30,9.50,1.04
0-1 0-1 *15-30,8.00,1.06
0-1 0-1 *30-30,6.50,1.08
0-1 0-1 *30-30,8.50,1.05
0-1 0-3 *0-0,9.50,1.04
0-1 0-3 *0-15,11.00,1.02
0-1 0-3 *15-30,11.00,1.02
0-1 0-3 *15-40,13.00,1.01
0-1 0-4 0-0*,34.00,1.005
0-1 0-4 0-15*,41.00,1.002
0-1 0-4 15-15*,34.00,1.005
0-1 0-4 30-15*,14.00,1.01
0-1 0-4 30-30*,21.00,1.005
0-1 0-4 30-40*,41.00,1.002
0-1 0-4 40-40*,21.00,1.005
0-1 0-4 A-40*,13.00,1.01
0-1 1-4 *0-0,12.00,1.02
0-1 1-4 *15-0,10.00,1.03
0-1 1-4 *15-15,10.00,1.02
0-1 1-4 *15-15,12.00,1.02
0-1 1-4 *30-30,12.00,1.02
0-1 1-4 *40-30,9.50,1.04
0-1 2-4 0-0*,9.50,1.04
0-1 2-4 15-0*,7.00,1.07
0-1 2-4 30-0*,6.00,1.11
0-1 2-4 40-0*,5.40,1.13
