Score,P1 Odds,P2 Odds
-,2.82,1.40
0-0 0-0 30-0*,2.40,1.53
0-0 0-0 40-15*,2.30,1.57
0-0 0-0 40-15*,2.28,1.58
0-0 0-0 40-30*,2.42,1.52
0-0 1-0 *0-0,2.12,1.67
0-0 1-0 *15-0,2.01,1.74
0-0 1-0 *30-0,1.92,1.81
0-0 1-0 *30-15,2.00,1.75
0-0 1-0 *30-30,2.15,1.65
0-0 1-0 *30-40,2.41,1.52
0-0 1-0 *40-40,2.16,1.64
0-0 1-0 *40-A,2.42,1.52
0-0 1-0 *A-40,1.98,1.76
0-0 1-0 *40-40,2.17,1.64
0-0 1-0 *40-40,2.42,1.52
0-0 1-1 0-0*,2.42,1.52
0-0 1-1 0-0*,2.79,1.40
0-0 1-1 0-15*,3.01,1.35
0-0 1-1 15-15*,2.79,1.40
0-0 1-1 30-15*,2.53,1.48
0-0 1-1 30-15*,2.50,1.49
0-0 2-1 *0-0,2.10,1.68
0-0 2-1 *0-15,2.26,1.59
0-0 2-1 *15-15,2.10,1.68
0-0 2-1 *30-15,1.95,1.79
0-0 2-1 *30-30,2.17,1.64
0-0 2-1 *30-40,2.46,1.50
0-0 2-2 0-0*,2.85,1.39
0-0 2-2 0-15*,3.11,1.34
0-0 2-2 15-15*,2.83,1.39
0-0 2-2 15-30*,3.14,1.33
0-0 2-2 30-40*,3.24,1.31
0-0 2-2 30-40*,3.20,1.33
0-0 2-2 40-40*,2.78,1.41
0-0 2-2 A-40*,2.83,1.39
0-0 2-2 A-40*,2.77,1.41
0-0 2-2 40-A*,3.18,1.33
0-0 2-2 40-A*,2.77,1.41
0-0 2-2 40-A*,3.22,1.31
0-0 2-2 40-A*,2.82,1.40
0-0 2-2 40-A*,3.20,1.33
0-0 2-3 *0-0,3.50,1.28
0-0 2-3 *0-0,3.66,1.25
0-0 2-3 *0-15,4.00,1.22
0-0 2-3 *0-30,4.60,1.17
0-0 2-3 *0-40,5.20,1.14
0-0 2-4 0-0*,5.20,1.14
0-0 2-4 15-0*,4.65,1.17
0-0 2-4 30-0*,4.25,1.20
0-0 3-4 *0-0,3.75,1.25
0-0 3-4 *15-0,3.32,1.30
0-0 3-4 *30-0,3.10,1.34
0-0 3-4 *40-0,2.88,1.38
0-0 3-4 *40-15,2.99,1.36
0-0 3-4 *40-30,3.24,1.31
0-0 4-4 0-0*,2.80,1.40
0-0 4-4 15-0*,2.44,1.51
0-0 4-4 30-0*,2.13,1.66
0-0 4-4 30-15*,2.35,1.55
0-0 4-4 40-30*,2.23,1.61
0-0 4-4 40-40*,2.74,1.42
0-0 4-4 A-40*,2.23,1.61
0-0 4-4 40-A*,3.32,1.30
0-0 4-4 40-A*,3.31,1.30
0-0 4-5 *0-0,4.00,1.22
0-0 4-5 *0-15,4.65,1.17
0-0 4-5 *0-30,5.40,1.13
0-0 4-5 *15-30,4.65,1.17
0-0 4-5 *30-30,4.00,1.22
0-0 4-5 *30-40,5.20,1.14
0-1 4-6 0-0*,6.50,1.08
0-1 4-6 0-0*,5.20,1.14
0-1 4-6 0-0*,6.00,1.11
0-1 4-6 15-0*,5.40,1.13
0-1 0-0 15-0*,6.00,1.11
0-1 0-0 15-30*,6.50,1.08
0-1 0-0 30-30*,6.00,1.11
0-1 0-0 40-30*,5.20,1.14
0-1 1-0 *0-0,4.60,1.17
0-1 1-0 *0-15,4.80,1.16
0-1 1-0 *0-30,5.20,1.14
0-1 1-0 *0-40,5.50,1.13
0-1 1-1 0-0*,6.00,1.11
0-1 1-1 0-15*,6.50,1.10
0-1 1-1 0-30*,7.00,1.07
0-1 1-1 0-40*,7.75,1.06
0-1 1-2 *0-0,8.00,1.06
0-1 1-2 *15-15,8.00,1.06
0-1 1-2 *15-30,9.50,1.04
0-1 1-2 *30-30,8.00,1.06
0-1 1-2 *40-30,6.50,1.08
0-1 1-2 *40-40,8.00,1.06
0-1 1-2 *A-40,6.50,1.08
0-1 1-2 *40-40,8.00,1.06
0-1 1-2 *40-A,9.50,1.04
0-1 1-2 *40-40,8.00,1.06
0-1 1-2 *A-40,6.50,1.08
0-1 2-2 0-0*,6.00,1.11
0-1 2-2 0-0*,5.90,1.11
0-1 2-2 0-15*,6.00,1.10
0-1 2-2 0-30*,7.00,1.07
0-1 2-2 0-40*,7.75,1.06
0-1 2-2 15-40*,7.50,1.06
0-1 2-2 30-40*,6.50,1.08
0-1 2-3 *0-0,8.00,1.06
0-1 2-3 *15-0,7.00,1.08
0-1 2-3 *30-0,6.00,1.10
0-1 2-3 *30-15,6.50,1.08
0-1 2-3 *40-15,6.00,1.11
0-1 3-3 15-0*,5.20,1.14
0-1 3-3 15-15*,5.40,1.13
0-1 3-3 15-30*,6.00,1.10
0-1 3-3 15-40*,7.50,1.06
0-1 3-4 *0-0,8.00,1.06
0-1 3-4 *15-0,6.50,1.08
