Score,P1 Odds,P2 Odds
-,1.10,6.00
0-0 2-0 *0-0,1.03,10.00
0-0 2-0 *0-40,1.05,8.50
0-0 2-1 0-0*,1.06,7.75
0-0 3-2 0-15*,1.08,6.50
0-0 3-2 0-30*,1.10,6.00
0-0 3-2 15-30*,1.08,6.50
0-0 3-2 30-30*,1.06,7.50
0-0 3-2 40-30*,1.04,9.50
0-0 4-2 *0-0,1.02,11.00
0-0 4-2 *15-0,1.02,12.00
0-0 4-2 *30-0,1.02,12.00
0-0 4-2 *40-30,1.02,12.00
0-0 5-2 0-0*,1.01,13.00
0-0 5-2 0-15*,1.02,12.00
0-0 5-2 15-15*,1.01,13.00
0-0 5-2 40-15*,1.01,14.00
1-0 0-0 *0-0,1.01,14.00
1-0 0-0 *15-0,1.005,15.00
1-0 0-0 *15-15,1.01,14.00
1-0 0-0 *30-15,1.005,15.00
1-0 0-0 *40-15,1.005,21.00
1-0 1-0 0-0*,1.004,34.00
1-0 1-0 0-15*,1.005,17.00
1-0 1-0 15-30*,1.005,17.00
1-0 1-0 15-40*,1.01,14.00
1-0 1-0 40-40*,1.005,34.00
1-0 1-0 40-A*,1.01,15.00
1-0 1-0 40-40*,1.005,34.00
1-0 1-0 A-40*,1.002,41.00
