Score,P1 Odds,P2 Odds
-,2.70,1.43
0-0 0-0 15-0*,2.50,1.49
0-0 0-0 15-15*,2.67,1.44
0-0 0-0 15-15*,2.65,1.44
0-0 0-0 15-30*,2.84,1.39
0-0 0-0 30-30*,2.63,1.45
0-0 0-0 30-40*,2.90,1.38
0-0 0-1 *0-0,3.14,1.33
0-0 0-1 *0-0,2.96,1.36
0-0 0-1 *30-0,2.80,1.40
0-0 0-1 *40-0,2.69,1.43
0-0 1-1 0-0*,2.65,1.45
0-0 1-1 15-0*,2.42,1.52
0-0 1-1 30-0*,2.21,1.61
0-0 1-1 30-15*,2.35,1.54
0-0 1-1 30-30*,2.56,1.47
0-0 1-1 30-40*,2.84,1.39
0-0 1-1 30-40*,2.79,1.40
0-0 1-1 40-40*,2.44,1.51
0-0 1-2 *0-0,2.44,1.34
0-0 1-2 *0-0,3.11,1.34
0-0 3-2 *0-0,1.73,2.03
0-0 3-2 *15-0,1.65,2.15
0-0 3-2 *15-15,1.74,2.01
0-0 3-2 *15-15,1.75,2.00
0-0 3-2 *30-15,1.64,2.16
0-0 3-2 *30-30,1.64,2.16
0-0 3-2 *30-30,1.75,1.99
0-0 3-2 *40-30,1.62,2.20
0-0 4-2 0-0*,1.51,2.44
0-0 4-2 0-15*,1.56,2.32
0-0 4-3 *0-0,1.66,2.13
0-0 4-3 *15-0,1.57,2.31
0-0 4-3 *30-0,1.50,2.47
0-0 4-3 *40-0,1.45,2.64
0-0 5-3 0-0*,1.33,3.14
0-0 5-3 15-0*,1.30,3.32
0-0 5-3 15-15*,1.33,3.16
0-0 5-3 30-15*,1.28,3.45
0-0 5-3 30-30*,1.31,3.25
0-0 5-3 30-30*,1.31,3.28
0-0 5-3 40-30*,1.25,3.70
0-0 5-3 40-40*,1.30,3.32
0-0 5-4 *0-0,1.40,2.80
0-0 5-4 *0-15,1.52,2.42
0-0 5-4 *0-30,1.69,2.08
0-0 5-4 *0-30,1.71,2.06
0-0 5-4 *15-30,1.58,2.27
0-0 5-4 *30-30,1.45,2.62
0-0 5-4 *30-40,1.66,2.14
0-0 5-5 0-0*,2.04,1.72
0-0 5-5 15-0*,1.81,1.92
0-0 5-5 30-0*,1.64,2.17
0-0 5-5 30-15*,1.77,1.98
0-0 5-5 30-30*,1.97,1.77
0-0 5-5 30-30*,1.94,1.80
0-0 5-5 40-30*,1.64,2.16
1-0 0-0 0-0*,1.22,4.00
1-0 0-0 0-0*,1.28,3.45
1-0 0-0 0-15*,1.34,3.07
1-0 0-0 0-30*,1.38,2.90
1-0 0-0 15-30*,1.34,3.09
1-0 0-0 30-30*,1.30,3.32
1-0 0-0 40-30*,1.22,4.00
1-0 0-0 40-40*,1.28,3.45
1-0 0-1 *0-0,1.40,2.82
1-0 0-1 *15-0,1.35,3.00
1-0 0-1 *30-0,1.33,3.14
1-0 0-1 *30-15,1.35,3.01
1-0 0-1 *30-30,1.41,2.76
1-0 0-1 *40-30,1.35,3.05
1-0 0-1 *40-40,1.44,2.67
1-0 0-2 0-0*,1.56,2.34
1-0 0-2 0-0*,1.54,2.37
1-0 0-2 15-0*,1.49,2.49
1-0 0-2 15-15*,1.55,2.35
1-0 0-2 30-15*,1.47,2.55
1-0 0-2 30-30*,1.54,2.37
1-0 0-2 40-30*,1.49,2.49
1-0 1-2 *0-0,1.39,2.86
1-0 1-2 *15-0,1.34,3.07
1-0 1-2 *15-0,1.35,3.05
1-0 1-2 *15-15,1.40,2.82
1-0 1-2 *15-15,1.34,3.08
1-0 1-2 *40-15,1.30,3.32
1-0 1-2 *40-15,1.30,3.33
1-0 2-2 0-0*,1.28,3.45
1-0 2-2 0-15*,1.31,3.25
1-0 2-2 0-30*,1.28,3.45
1-0 2-2 0-40*,1.30,3.32
1-0 2-3 *0-0,1.31,3.28
1-0 2-3 *0-15,1.36,2.96
1-0 2-3 *0-15,1.44,2.65
1-0 2-3 *15-15,1.39,2.85
1-0 2-3 *30-15,1.33,3.14
1-0 2-3 *40-15,1.28,3.45
1-0 2-3 *40-40,1.34,3.08
1-0 3-3 0-0*,1.22,4.00
1-0 3-3 0-30*,1.30,3.32
1-0 3-4 *0-0,1.34,3.07
1-0 3-4 *0-0,1.40,2.81
1-0 3-4 *0-0,1.34,3.07
1-0 3-4 *0-0,1.40,2.81
1-0 3-4 *15-0,1.35,3.04
1-0 3-4 *15-0,1.35,3.01
1-0 3-4 *15-15,1.42,2.73
1-0 3-4 *30-15,1.35,3.04
1-0 3-4 *30-30,1.42,2.72
1-0 3-4 *30-40,1.57,2.31
1-0 3-4 *40-40,1.44,2.65
1-0 4-4 0-0*,1.33,3.20
1-0 4-4 0-15*,1.33,2.89
1-0 4-4 0-15*,1.38,2.89
1-0 4-4 0-30*,1.44,2.65
1-0 4-5 *0-0,1.51,2.44
1-0 4-5 *0-15,1.63,2.18
1-0 4-5 *15-15,1.52,2.41
1-0 4-5 *15-30,1.67,2.11
1-0 4-5 *15-40,1.88,1.85
1-1 4-6 0-0*,2.15,1.65
1-1 0-0 0-0*,2.15,1.65
1-1 0-0 *0-1,2.15,1.65
1-1 0-0 *0-2,3.45,1.28
1-1 0-0 0-3*,5.40,1.13
1-1 0-0 1-3*,4.00,1.22
1-1 0-0 *2-3,2.78,1.41
1-1 0-0 *3-3,2.23,1.61
1-1 0-0 3-4*,2.80,1.40
1-1 0-0 4-4*,2.12,1.67
1-1 0-0 *5-4,1.59,2.27
1-1 0-0 *5-5,2.10,1.68
1-1 0-0 6-5*,1.67,2.11
1-1 0-0 6-6*,2.03,1.73
1-1 0-0 *6-7,2.75,1.41
1-1 0-0 *6-8,5.20,1.14
1-1 0-0 7-8*,3.70,1.25
1-1 0-0 7-9*,6.50,1.08
1-1 0-0 *8-9,3.32,1.30
1-1 0-0 *9-9,1.99,1.75
1-1 0-0 10-9*,1.22,4.00
1-1 0-0 10-10*,1.99,1.75
1-1 0-0 *10-11,3.35,1.30
1-1 0-0 *11-11,2.04,1.72
1-1 0-0 12-11*,1.22,4.00
1-1 0-0 12-12*,2.04,1.72
1-1 0-0 12-12*,3.35,1.30
1-1 0-0 12-14*,1.001,1.001
