Score,P1 Odds,P2 Odds
-,1.11,5.90
-,1.10,6.00
-,1.05,6.00
-,1.05,8.50
0-0 1-1 *30-15,1.04,9.50
0-0 2-1 0-0*,1.04,9.50
0-0 2-1 15-0*,1.03,10.00
0-0 2-1 30-0*,1.02,12.00
0-0 2-1 30-15*,1.02,11.00
0-0 2-1 40-15*,1.02,12.00
0-0 2-1 40-30*,1.02,11.00
0-0 3-1 *0-0,1.01,13.00
0-0 3-1 *0-40,1.03,10.00
0-0 3-1 *0-40,1.02,11.00
0-0 3-1 *15-40,1.02,12.00
0-0 3-1 *30-40,1.02,12.00
0-0 3-2 0-0*,1.03,10.00
0-0 3-2 0-15*,1.04,9.50
0-0 3-2 30-15*,1.02,12.00
0-0 3-2 40-15*,1.01,13.00
0-0 4-2 *0-0,1.01,14.00
0-0 4-2 *0-15,1.01,13.00
0-0 4-2 *0-30,1.02,12.00
0-0 4-2 *15-40,1.02,12.00
0-0 4-3 0-0*,1.02,11.00
0-0 4-3 0-15*,1.04,9.50
0-0 4-3 0-30*,1.05,8.50
0-0 4-3 0-40*,1.06,8.00
0-0 4-4 *0-0,1.14,5.20
0-0 4-4 *0-15,1.17,4.60
0-0 4-4 *0-30,1.25,3.70
0-0 4-4 *15-30,1.20,4.25
0-0 4-4 *0-30,1.20,4.25
0-0 4-4 *30-30,1.14,5.20
0-0 4-4 *30-40,1.22,4.00
0-0 4-5 0-0*,1.37,2.94
0-0 4-5 0-0*,1.37,3.07
0-0 4-5 0-0*,1.34,3.07
0-0 4-5 15-0*,1.28,3.45
0-0 4-5 30-0*,1.20,4.25
0-0 4-5 40-0*,1.16,4.65
0-0 5-5 *0-0,1.14,5.20
0-0 5-5 *30-0,1.08,6.50
0-0 6-5 0-0*,1.06,8.00
0-0 6-5 15-0*,1.04,9.50
0-0 6-5 30-0*,1.02,12.00
0-0 6-5 40-0*,1.01,13.00
0-0 6-5 40-15*,1.02,12.00
1-0 0-0 *40-0,1.004,34.00
1-0 1-0 0-0*,1.002,34.00
1-0 1-0 15-0*,1.002,41.00
1-0 1-0 30-15*,1.002,41.00
1-0 1-0 30-30*,1.004,34.00
1-0 1-0 30-40*,1.005,17.00
1-0 1-0 40-40*,1.004,34.00
1-0 1-1 *0-0,1.01,13.00
1-0 1-1 *15-15,1.01,13.00
1-0 1-1 *30-15,1.01,15.00
1-0 2-1 0-0*,1.005,21.00
1-0 2-1 0-15*,1.01,15.00
1-0 2-1 15-15*,1.005,21.00
1-0 2-1 30-15*,1.002,34.00
1-0 2-1 40-15*,1.002,51.00
1-0 3-1 *0-0,1.001,81.00
1-0 3-2 0-0*,1.005,21.00
