Score,P1 Odds,P2 Odds
-,1.11,6.00
-,1.11,5.90
Score,P1 Odds,P2 Odds
-,1.11,5.90
Score,P1 Odds,P2 Odds
-,1.11,5.90
0-0 1-0 0-0*,1.08,7.00
0-0 1-0 0-40*,1.11,5.90
0-0 1-1 *0-0,1.13,5.40
0-0 1-1 *15-0,1.11,6.00
0-0 1-1 *15-15,1.13,5.40
0-0 1-1 *30-15,1.11,6.00
0-0 1-1 *40-15,1.10,6.00
0-0 1-1 *40-30,1.10,6.00
0-0 2-1 0-0*,1.08,6.50
0-0 2-1 15-0*,1.06,7.50
0-0 2-1 40-0*,1.04,9.50
0-0 2-1 40-15*,1.05,8.50
0-0 2-1 40-30*,1.06,8.00
0-0 2-1 40-30*,1.05,8.50
0-0 3-1 *30-0,1.03,10.00
0-0 3-1 *40-0,1.02,11.00
0-0 3-1 *40-15,1.03,10.00
0-0 4-1 0-0*,1.02,11.00
0-0 4-1 15-15*,1.02,11.00
0-0 4-1 30-15*,1.02,11.00
0-0 4-1 40-30*,1.02,12.00
0-0 5-1 *0-0,1.01,13.00
0-0 5-1 *30-0,1.01,13.00
1-0 6-1 0-0*,1.01,13.00
1-0 0-0 0-0*,1.01,13.00
1-0 0-0 15-0*,1.01,14.00
1-0 0-0 15-30*,1.005,21.00
1-0 0-0 15-40*,1.01,13.00
1-0 0-1 *0-0,1.01,13.00
1-0 0-1 *0-15,1.02,12.00
1-0 0-1 *15-15,1.01,13.00
1-0 0-1 *15-30,1.01,12.00
1-0 0-1 *40-30,1.01,13.00
1-0 1-1 0-0*,1.01,15.00
1-0 1-1 15-15*,1.01,14.00
1-0 1-1 30-15*,1.005,21.00
1-0 1-1 40-15*,1.002,41.00
1-0 2-1 *0-0,1.002,51.00
1-0 2-1 *15-0,1.002,67.00
1-0 2-1 *40-0,1.001,81.00
1-0 2-1 *40-15,1.001,81.00
1-0 3-1 15-0*,1.001,101.00
1-0 3-2 *0-0,1.002,67.00
1-0 3-2 *0-15,1.002,41.00
1-0 3-2 *30-15,1.002,67.00
1-0 4-2 0-0*,1.001,81.00
1-0 4-2 0-15*,1.002,67.00
1-0 4-2 0-0*,1.001,81.00
1-0 4-2 30-0*,1.001,126.00
1-0 5-2 *0-0,1.001,126.00
