Score,P1 Odds,P2 Odds
-,3.70,1.25
0-0 1-0 15-0*,2.75,1.41
0-0 1-0 15-30*,3.22,1.31
0-0 1-0 15-30*,3.18,1.33
0-0 1-0 30-30*,2.92,1.37
0-0 1-0 30-40*,3.28,1.31
0-0 1-0 40-40*,2.95,1.37
0-0 1-0 40-A*,3.28,1.31
0-0 1-0 40-A*,3.25,1.31
0-0 1-0 40-40*,2.87,1.38
0-0 1-0 A-40*,2.58,1.46
0-0 2-0 *0-0,2.21,1.62
0-0 2-0 *0-0,2.20,1.63
0-0 2-0 *15-15,2.20,1.62
0-0 2-0 *30-15,2.06,1.71
0-0 2-0 *40-15,1.95,1.79
0-0 3-0 0-0*,1.89,1.83
0-0 3-0 0-15*,1.96,1.78
0-0 3-0 0-30*,2.02,1.73
0-0 3-0 0-40*,2.07,1.70
0-0 3-0 0-30*,2.07,1.70
0-0 3-1 *0-15,2.24,1.60
0-0 3-1 *0-15,2.25,1.60
0-0 3-1 *0-30,2.45,1.51
0-0 3-1 *0-40,2.66,1.44
0-0 3-1 *0-40,2.67,1.44
0-0 3-2 0-0*,2.79,1.40
0-0 3-2 0-15*,3.02,1.35
0-0 3-2 0-15*,3.26,1.31
0-0 3-2 15-15*,2.96,1.36
0-0 3-2 30-15*,2.65,1.44
0-0 3-2 40-40*,2.95,1.37
0-0 4-2 *0-0,2.07,1.70
0-0 4-2 *15-0,1.94,1.79
0-0 4-2 *30-0,1.83,1.89
0-0 4-2 *30-0,1.92,1.81
0-0 4-2 *30-30,2.08,1.70
0-0 4-2 *40-30,1.88,1.85
0-0 4-2 *40-40,2.09,1.69
0-0 4-2 *A-40,1.88,1.85
0-0 4-2 *40-40,2.09,1.69
0-0 4-2 *40-A,2.09,1.54
0-0 4-2 *40-40,2.10,1.68
0-0 4-2 *A-40,1.89,1.84
0-0 5-2 0-0*,1.74,2.01
0-0 5-2 15-0*,1.68,2.10
0-0 5-2 30-0*,1.62,2.20
0-0 5-2 30-15*,1.67,2.12
0-0 5-2 40-15*,1.59,2.26
0-0 5-2 40-30*,1.64,2.17
1-0 4-0 *0-0,1.02,12.00
1-0 4-0 *15-0,1.01,14.00
1-0 4-0 *15-15,1.02,12.00
1-0 4-0 *15-30,1.03,10.00
1-0 4-0 *15-40,1.04,9.50
1-0 4-0 *30-40,1.03,10.00
1-0 4-1 0-0*,1.05,8.50
1-0 4-1 0-0*,1.06,7.50
1-0 4-2 *0-0,1.11,6.00
1-0 4-2 *0-15,1.14,5.20
1-0 4-2 *15-15,1.11,6.00
1-0 4-2 *30-15,1.07,7.00
1-0 4-2 *40-15,1.04,9.50
1-0 4-2 *30-15,1.04,9.50
1-0 4-2 *30-30,1.06,7.75
1-0 4-2 *30-40,1.12,5.70
1-0 4-2 *A-40,1.06,7.75
1-0 4-2 *40-40,1.12,5.70
1-0 4-2 *40-40,1.13,5.50
1-0 4-2 *40-A,1.17,4.60
1-0 4-2 *40-40,1.13,5.50
1-0 5-2 15-0*,1.02,11.00
1-0 5-2 30-0*,1.005,17.00
1-0 5-2 30-30*,1.02,11.00
1-0 5-2 30-40*,1.04,11.00
1-0 5-2 40-40*,1.02,12.00
1-0 5-2 40-A*,1.04,9.50
1-0 5-2 40-40*,1.02,12.00
1-0 5-2 A-40*,1.01,14.00
