Score,P1 Odds,P2 Odds
-,2.82,1.40
Score,P1 Odds,P2 Odds
-,2.82,1.40
Score,P1 Odds,P2 Odds
-,2.82,1.40
-,2.65,1.44
0-0 0-0 40-A*,2.61,1.38
0-0 0-0 40-A*,2.56,1.47
0-0 0-0 A-40*,2.29,1.58
0-0 0-0 40-A*,2.84,1.39
0-0 0-1 *0-0,3.12,1.33
0-0 0-1 *30-0,2.75,1.41
0-0 0-1 *40-15,2.71,1.43
0-0 0-1 *40-30,2.84,1.39
0-0 0-1 *40-40,3.14,1.33
0-0 0-1 *A-40,2.84,1.39
0-0 1-1 0-0*,2.61,1.45
0-0 1-1 0-15*,2.76,1.41
0-0 1-1 15-30*,2.79,1.40
0-0 1-2 *0-0,3.11,1.34
0-0 1-2 *30-0,2.73,1.42
0-0 1-2 *40-15,2.63,1.43
0-0 2-2 0-0*,2.58,1.46
0-0 2-2 15-15*,2.56,1.47
0-0 2-2 15-30*,2.56,1.47
0-0 2-3 *0-0,3.11,1.34
0-0 2-3 *15-0,2.88,1.38
0-0 2-3 *30-0,2.72,1.42
0-0 2-3 *40-0,2.60,1.46
0-0 2-3 *40-15,2.67,1.44
0-0 3-3 0-0*,2.56,1.47
0-0 3-3 0-15*,2.74,1.42
0-0 3-3 15-15*,2.49,1.49
0-0 3-3 30-15*,2.21,1.61
0-0 3-3 30-30*,2.45,1.51
0-0 3-3 30-40*,2.84,1.39
0-0 3-4 *0-0,3.14,1.33
0-0 3-4 *40-0,2.58,1.46
0-0 4-4 0-0*,2.53,1.48
0-0 4-4 0-30*,3.03,1.35
0-0 4-4 15-30*,2.80,1.40
0-0 4-4 30-30*,2.40,1.53
0-0 4-4 30-40*,2.83,1.39
0-0 4-4 30-40*,2.35,1.55
0-0 4-4 30-A*,2.84,1.51
0-0 4-4 30-A*,2.53,1.48
0-0 4-5 *0-0,2.84,1.39
0-0 4-5 *0-15,3.27,1.31
0-0 4-5 *30-30,2.64,1.45
0-0 4-5 *40-30,2.29,1.58
0-0 4-5 *40-40,2.73,1.42
0-0 4-5 *A-40,2.29,1.58
0-0 4-5 *40-40,2.65,1.44
0-0 4-5 *40-40,2.27,1.59
0-1 4-6 0-0*,5.00,1.15
0-1 4-6 15-0*,4.60,1.17
0-1 4-6 15-15*,4.65,1.17
0-1 4-6 15-30*,5.20,1.14
0-1 4-6 15-40*,5.40,1.13
0-1 0-0 15-40*,5.40,1.13
0-1 0-1 *0-0,6.00,1.11
0-1 0-1 *0-0,5.90,1.11
0-1 0-1 *30-15,5.40,1.13
0-1 0-1 *40-15,5.20,1.14
0-1 1-1 0-0*,4.65,1.17
0-1 1-1 0-15*,5.20,1.14
0-1 1-1 0-30*,5.40,1.13
0-1 1-2 *0-0,5.70,1.12
0-1 1-2 *30-0,5.20,1.14
0-1 1-2 *40-0,4.65,1.17
0-1 1-2 *40-15,5.20,1.14
0-1 1-2 *40-30,5.20,1.14
0-1 1-2 *40-40,6.00,1.11
0-1 1-3 0-0*,10.00,1.03
0-1 1-3 15-15*,10.00,1.03
0-1 1-3 30-15*,9.50,1.04
0-1 1-3 30-30*,10.00,1.03
0-1 1-3 40-30*,8.00,1.06
0-1 2-3 *0-0,6.00,1.10
0-1 2-3 *0-15,7.00,1.07
0-1 2-3 *0-30,8.50,1.05
0-1 2-3 *0-40,10.00,1.03
0-1 2-3 *15-40,9.50,1.04
0-1 2-4 0-0*,12.00,1.02
0-1 2-4 0-15*,13.00,1.01
0-1 2-4 15-15*,12.00,1.02
0-1 2-4 30-15*,9.50,1.04
0-1 2-4 30-15*,12.00,1.02
0-1 2-4 40-40*,11.00,1.02
0-1 2-4 A-40*,8.50,1.05
0-1 3-4 *0-0,6.50,1.08
0-1 3-4 *15-0,6.00,1.11
0-1 3-4 *30-0,5.20,1.14
0-1 3-4 *40-15,5.40,1.13
0-1 3-4 *40-30,6.00,1.11
0-1 3-4 *40-40,7.50,1.06
0-1 3-4 *40-40,7.75,1.06
0-1 3-4 *40-A,10.00,1.03
0-1 3-4 *40-40,7.75,1.06
0-1 3-4 *40-40,7.50,1.06
0-1 3-4 *40-A,10.00,1.03
0-1 3-4 *40-40,7.50,1.06
0-1 4-4 0-0*,5.20,1.14
0-1 4-4 0-15*,6.00,1.11
0-1 4-4 0-40*,7.00,1.07
0-1 4-4 15-40*,6.50,1.08
0-1 4-5 *0-0,7.50,1.06
0-1 4-5 *0-15,7.50,1.06
0-1 4-5 *15-15,7.50,1.06
0-1 4-5 *30-30,7.75,1.06
0-1 4-5 *40-30,6.00,1.11
0-1 4-5 *40-40,8.00,1.06
0-1 4-5 *40-A,11.00,1.02
0-2 4-6 0-0*,1.001,1.001
