Score,P1 Odds,P2 Odds
-,1.91,1.82
0-0 0-0 *15-0,1.82,1.91
0-0 0-0 *15-15,1.91,1.82
0-0 0-0 *15-15,1.93,1.80
0-0 0-0 *30-30,1.94,1.79
0-0 0-0 *40-30,1.82,1.91
0-0 1-0 0-0*,1.73,2.03
0-0 1-0 0-15*,1.78,1.96
0-0 1-0 0-30*,1.84,1.89
0-0 1-0 0-40*,1.88,1.85
0-0 1-0 15-40*,1.85,1.88
0-0 1-1 *0-0,1.91,1.82
0-0 1-1 *0-15,2.05,1.71
0-0 1-1 *15-15,1.92,1.81
0-0 1-1 *15-30,2.11,1.67
0-0 1-1 *15-40,2.35,1.55
0-0 1-2 0-0*,2.65,1.44
0-0 1-2 15-15*,2.57,1.47
0-0 1-2 15-30*,2.77,1.41
0-0 1-2 15-40*,2.97,1.36
0-0 1-2 15-40*,2.95,1.37
0-0 1-2 30-40*,2.77,1.41
0-0 1-2 40-40*,2.47,1.50
0-0 1-3 *0-15,3.26,1.31
0-0 1-3 *15-15,3.08,1.34
0-0 1-3 *15-30,3.32,1.30
0-0 1-3 *30-30,3.12,1.33
0-0 1-3 *15-30,3.12,1.33
0-0 1-3 *40-30,2.92,1.37
0-0 2-3 0-0*,2.72,1.42
0-0 2-3 0-15*,2.72,1.42
0-0 2-3 0-30*,3.07,1.34
0-0 2-3 0-40*,3.16,1.33
0-0 2-4 *0-0,3.25,1.31
0-0 2-4 *0-15,3.45,1.28
0-0 2-4 *0-30,3.70,1.25
0-0 2-4 *0-30,4.00,1.22
0-0 2-5 0-0*,4.25,1.20
0-0 2-5 0-15*,4.60,1.17
0-0 2-5 0-30*,4.60,1.17
0-0 2-5 15-30*,4.60,1.17
0-0 2-5 15-30*,4.50,1.17
0-0 2-5 15-40*,4.60,1.17
0-1 2-6 *0-0,4.65,1.17
0-1 0-0 *0-0,4.65,1.17
0-1 0-0 *0-15,5.20,1.14
0-1 0-0 *15-15,4.65,1.17
0-1 0-0 *30-15,4.25,1.20
0-1 0-0 *40-15,4.00,1.22
0-1 1-0 0-0*,3.92,1.23
0-1 1-0 0-15*,4.00,1.22
0-1 1-0 0-30*,4.25,1.20
0-1 1-1 *15-0,4.25,1.20
0-1 1-1 *40-0,3.80,1.25
0-1 1-1 *40-15,4.00,1.22
0-1 2-1 0-0*,3.70,1.25
0-1 2-1 15-0*,3.32,1.30
0-1 2-1 15-15*,3.69,1.25
0-1 2-1 15-30*,4.00,1.22
0-1 2-1 15-40*,4.25,1.20
0-1 2-2 *15-0,4.05,1.22
0-1 2-2 *30-0,3.80,1.25
0-1 2-2 *40-0,3.70,1.25
0-1 3-2 0-0*,3.45,1.28
0-1 3-2 0-15*,3.75,1.25
0-1 3-2 0-30*,4.00,1.22
0-1 3-2 0-40*,4.25,1.20
0-1 3-2 15-40*,4.00,1.22
0-1 3-2 40-40*,3.45,1.28
0-1 4-2 0-40*,3.40,1.28
0-1 4-2 0-15*,3.70,1.25
0-1 4-2 0-30*,4.00,1.22
0-1 4-2 15-30*,3.50,1.28
0-1 4-2 15-40*,4.00,1.22
0-1 4-3 15-40*,4.00,1.22
0-1 4-4 *15-15,4.25,1.20
0-1 4-4 *15-30,5.40,1.13
0-1 4-4 *30-40,6.00,1.11
0-1 4-4 *30-40,6.00,1.10
0-1 4-5 0-0*,12.00,1.02
0-1 4-5 0-15*,14.00,1.01
0-1 4-5 15-40*,67.00,1.002
0-1 4-5 30-40*,15.00,1.01
0-1 4-5 40-40*,9.50,1.04
0-1 4-5 40-40*,8.50,1.05
0-1 5-5 *0-0,4.80,1.16
0-1 5-5 *0-0,5.20,1.14
0-1 5-5 *30-0,4.60,1.17
0-1 5-5 *30-0,4.65,1.17
0-1 6-5 0-0*,4.25,1.20
0-1 6-5 0-30*,5.20,1.14
0-1 6-5 0-40*,5.20,1.14
0-1 6-6 *0-0,5.20,1.14
0-1 6-6 0-1*,6.50,1.08
0-1 6-6 0-2*,8.50,1.05
0-1 6-6 *0-4,34.00,1.004
0-1 6-6 1-4*,14.00,1.01
0-1 6-6 2-4*,10.00,1.03
0-1 6-6 *2-5,14.00,1.01
0-1 6-6 4-5*,9.50,1.04
0-1 6-6 4-6*,21.00,1.005
0-1 6-6 4-6*,14.00,1.01
0-2 6-7 0-0*,1.001,1.001
