Score,P1 Odds,P2 Odds
-,2.29,1.58
0-0 0-0 *0-15,2.75,1.41
0-0 0-0 *15-15,2.57,1.47
0-0 0-0 *30-15,2.40,1.53
0-0 0-0 *40-15,2.26,1.59
0-0 0-0 *40-30,2.37,1.54
0-0 1-0 0-0*,2.19,1.63
0-0 1-0 15-0*,2.05,1.71
0-0 1-0 15-15*,2.17,1.64
0-0 1-0 15-15*,2.15,1.65
0-0 1-0 15-30*,2.29,1.58
0-0 1-0 30-30*,2.14,1.65
0-0 1-0 30-30*,2.12,1.67
0-0 1-0 40-30*,1.90,1.83
0-0 2-0 *0-0,1.73,1.93
0-0 2-0 *0-0,1.81,1.92
0-0 2-0 *0-15,1.92,1.81
0-0 2-0 *15-15,1.82,1.91
0-0 2-0 *30-15,1.73,2.02
0-0 2-0 *40-15,1.65,2.14
0-0 2-0 *40-30,1.72,2.04
0-0 3-0 0-0*,1.61,2.23
0-0 3-0 0-15*,1.65,2.14
0-0 3-0 0-30*,1.70,2.07
0-0 3-0 0-40*,1.73,2.02
0-0 3-0 0-40*,1.70,2.07
0-0 3-1 *0-0,1.75,2.00
0-0 3-1 *15-0,1.68,2.10
0-0 3-1 *30-0,1.61,2.21
0-0 3-1 *40-0,1.57,2.31
0-0 3-1 *40-0,1.57,2.30
0-0 3-1 *40-15,1.60,2.25
0-0 3-1 *40-30,1.65,2.15
0-0 3-1 *40-30,1.66,2.14
0-0 4-1 0-0*,1.55,2.35
0-0 4-1 15-0*,1.50,2.47
0-0 4-1 30-0*,1.45,2.64
0-0 4-1 40-0*,1.40,2.79
0-0 5-1 *0-0,1.37,2.92
0-0 5-1 *0-0,1.37,2.93
0-0 5-1 *15-0,1.28,3.45
0-0 5-1 *30-0,1.28,3.45
0-0 5-1 *30-15,1.28,3.45
0-0 5-1 *40-15,1.28,3.50
1-0 6-1 0-0*,1.25,3.70
1-0 0-0 0-0*,1.28,3.50
1-0 0-0 0-0*,1.22,4.00
1-0 0-0 0-15*,1.25,3.70
1-0 0-0 15-15*,1.22,4.00
1-0 0-0 30-15*,1.17,4.65
1-0 0-0 30-30*,1.17,4.05
1-0 0-0 30-30*,1.20,4.25
1-0 0-0 30-40*,1.25,3.70
1-0 0-1 *0-0,1.30,3.32
1-0 0-1 *0-15,1.35,3.04
1-0 0-1 *15-15,1.31,3.26
1-0 0-1 *15-30,1.37,2.93
1-0 0-1 *30-30,1.31,3.24
1-0 0-1 *30-30,1.33,3.16
1-0 0-1 *40-30,1.28,3.45
1-0 0-1 *40-40,1.34,3.09
1-0 0-2 0-0*,1.45,2.62
1-0 0-2 0-15*,1.50,2.47
1-0 0-2 0-30*,1.54,2.37
1-0 0-2 0-40*,1.57,2.30
1-0 0-2 15-40*,1.55,2.35
1-0 0-2 30-40*,1.51,2.44
1-0 0-3 *0-0,1.58,2.27
1-0 0-3 *0-15,1.63,2.19
1-0 0-3 *15-15,1.59,2.26
1-0 0-3 *30-15,1.56,2.34
1-0 0-3 *40-15,1.53,2.40
1-0 0-3 *40-30,1.55,2.34
1-0 1-3 0-0*,1.51,2.44
1-0 1-3 15-0*,1.45,2.64
1-0 1-3 15-15*,1.50,2.47
1-0 1-3 30-15*,1.42,2.72
1-0 1-3 40-15*,1.34,3.11
1-0 1-3 40-15*,1.33,3.14
1-0 1-3 40-30*,1.37,2.94
1-0 1-3 40-40*,1.47,2.56
1-0 1-3 40-40*,1.44,2.65
1-0 1-4 *0-0,1.64,2.17
1-0 1-4 *15-0,1.61,2.21
1-0 1-4 *15-15,1.65,2.16
1-0 1-4 *15-15,1.65,2.15
1-0 1-4 *15-30,1.71,2.06
1-0 1-4 *30-30,1.65,2.14
1-0 1-4 *40-30,1.61,2.23
1-0 1-4 *40-30,1.61,2.21
1-0 2-4 0-0*,1.56,2.33
1-0 2-4 15-0*,1.55,2.35
1-0 2-4 15-15*,1.55,2.21
1-0 2-4 15-15*,1.62,2.21
1-0 2-4 30-15*,1.52,2.42
1-0 2-4 40-30*,1.45,2.64
1-0 2-4 40-40*,1.54,2.37
1-0 2-5 *0-0,1.78,1.95
1-0 2-5 *0-15,1.82,1.91
1-0 2-5 *15-15,1.79,1.95
1-0 2-5 *15-15,1.79,1.94
1-0 2-5 *15-30,1.84,1.89
1-0 2-5 *30-30,1.80,1.93
1-0 2-5 *30-40,1.88,1.85
1-0 2-5 *40-40,1.82,1.91
1-1 2-6 0-0*,2.05,1.71
1-1 2-6 0-0*,2.01,1.74
1-1 2-6 *0-1,2.39,1.53
1-1 2-6 *1-1,2.01,1.74
1-1 2-6 1-2*,2.65,1.44
1-1 0-0 2-2*,2.00,1.75
1-1 0-0 *3-2,1.58,2.28
1-1 0-0 *3-3,1.99,1.75
1-1 0-0 3-4*,2.76,1.41
1-1 0-0 3-5*,3.70,1.25
1-1 0-0 *4-5,2.47,1.50
1-1 0-0 5-6*,2.98,1.36
