Score,P1 Odds,P2 Odds
-,1.51,2.45
0-0 0-0 15-0*,1.44,2.65
0-0 0-0 15-15*,1.50,2.46
0-0 0-0 30-15*,1.43,2.69
0-0 0-0 30-30*,1.50,2.47
0-0 0-0 30-40*,1.59,2.26
0-0 0-0 30-40*,1.59,2.27
0-0 0-1 *0-0,1.69,2.09
0-0 0-1 *15-0,1.62,2.20
0-0 0-1 *40-15,1.56,2.34
0-0 1-1 0-0*,1.52,2.41
0-0 1-1 0-15*,1.58,2.28
0-0 1-1 15-15*,1.52,2.42
0-0 1-1 15-30*,1.59,2.27
0-0 1-1 40-30*,1.41,2.78
0-0 1-1 40-30*,1.40,2.82
0-0 2-1 *0-0,1.30,3.32
0-0 2-1 *15-0,1.28,3.45
0-0 2-1 *30-0,1.25,3.80
0-0 2-1 *30-15,1.28,3.50
0-0 2-1 *30-30,1.31,3.26
0-0 2-1 *30-40,1.39,2.85
0-0 2-1 *30-40,1.40,2.81
0-0 2-1 *40-40,1.31,3.24
0-0 2-1 *A-40,1.31,3.24
0-0 2-1 *40-40,1.33,3.20
0-0 2-1 *40-40,1.25,3.70
0-0 3-1 0-0*,1.22,4.00
0-0 3-1 15-0*,1.20,4.25
0-0 3-1 15-15*,1.22,4.00
0-0 3-1 30-15*,1.17,4.60
0-0 3-1 40-15*,1.15,5.00
0-0 4-1 *0-0,1.14,5.20
0-0 4-1 *15-0,1.13,5.40
0-0 4-1 *15-15,1.14,5.20
0-0 4-1 *30-15,1.13,5.40
0-0 4-1 *40-15,1.11,5.70
0-0 4-1 *40-30,1.13,5.40
0-0 4-1 *40-40,1.14,5.20
0-0 4-1 *A-40,1.13,5.40
0-0 4-1 *40-40,1.14,5.20
0-0 4-1 *A-40,1.13,5.40
0-0 5-1 0-0*,1.11,6.00
0-0 5-1 15-0*,1.11,6.00
0-0 5-1 15-15*,1.11,6.00
0-0 5-1 30-15*,1.11,6.00
0-0 5-1 30-30*,1.11,6.00
0-0 5-1 30-40*,1.13,5.40
0-0 5-1 30-40*,1.13,5.50
0-0 5-2 *0-0,1.13,5.40
0-0 5-2 *0-15,1.14,5.20
0-0 5-2 *15-15,1.13,5.40
0-0 5-2 *30-15,1.13,5.40
0-0 5-2 *40-15,1.11,5.90
1-0 6-2 0-0*,1.11,6.00
1-0 6-2 0-15*,1.11,5.40
1-0 6-2 0-30*,1.13,5.20
1-0 0-0 0-15*,1.13,5.40
1-0 0-0 30-30*,1.11,6.00
1-0 0-0 30-40*,1.14,5.20
1-0 0-1 *0-0,1.17,4.65
1-0 0-1 *0-15,1.20,4.30
1-0 0-1 *0-30,1.22,4.00
1-0 0-1 *15-30,1.20,4.25
1-0 0-1 *15-30,1.17,4.65
1-0 0-1 *15-40,1.22,4.00
1-0 0-1 *40-40,1.17,4.65
1-0 0-1 *40-A,1.22,4.00
1-0 0-1 *40-40,1.17,4.60
1-0 0-1 *A-40,1.14,5.20
1-0 0-1 *40-40,1.14,4.65
1-0 0-1 *40-40,1.17,4.65
1-0 0-1 *40-A,1.22,4.00
1-0 0-1 *40-40,1.17,4.65
1-0 0-1 *A-40,1.14,5.20
1-0 1-1 0-0*,1.13,5.40
1-0 1-1 0-15*,1.14,5.20
1-0 1-1 15-15*,1.13,5.40
1-0 1-1 15-30*,1.14,5.20
1-0 1-1 15-40*,1.17,4.65
1-0 1-2 *0-0,1.17,4.60
1-0 1-2 *15-0,1.17,4.65
1-0 1-2 *30-0,1.14,5.20
1-0 1-2 *40-0,1.14,5.20
1-0 1-2 *40-15,1.14,5.20
1-0 2-2 0-0*,1.14,5.20
1-0 2-2 0-15*,1.16,4.80
1-0 2-2 0-15*,1.15,5.00
1-0 2-2 0-30*,1.17,4.60
1-0 2-2 0-40*,1.20,4.25
1-0 2-3 *0-0,1.20,4.25
1-0 2-3 *15-0,1.17,4.60
1-0 2-3 *15-15,1.20,4.25
1-0 2-3 *30-15,1.17,4.60
1-0 2-3 *30-30,1.22,4.00
1-0 2-3 *40-30,1.17,4.60
1-0 3-3 0-0*,1.14,5.20
1-0 3-3 0-15*,1.17,4.65
1-0 3-3 0-30*,1.20,4.25
1-0 3-3 0-40*,1.22,4.00
1-0 3-3 15-40*,1.20,4.25
1-0 3-4 *0-0,1.22,4.00
1-0 3-4 *15-0,1.20,4.25
1-0 3-4 *30-0,1.17,4.60
1-0 3-4 *40-0,1.17,4.65
1-0 4-4 0-0*,1.15,5.00
1-0 4-4 0-30*,1.22,4.00
1-0 4-4 0-40*,1.25,3.70
1-0 4-4 15-40*,1.22,4.00
1-0 4-5 *0-0,1.25,3.70
1-0 4-5 *15-0,1.22,4.00
1-0 4-5 *15-15,1.28,3.45
1-0 4-5 *15-15,1.22,4.00
1-0 4-5 *15-30,1.30,3.35
1-0 4-5 *15-40,1.40,2.79
1-0 4-5 *40-40,1.30,3.32
1-0 4-5 *A-40,1.20,4.25
1-0 5-5 0-0*,1.17,4.65
1-0 5-5 15-0*,1.13,5.40
1-0 5-5 15-15*,1.12,5.20
1-0 5-5 15-15*,1.14,5.20
1-0 5-5 15-40*,1.23,3.90
1-0 5-6 *0-0,1.28,3.50
1-0 5-6 *15-0,1.22,4.00
1-0 5-6 *15-15,1.28,3.45
1-0 5-6 *30-15,1.22,4.00
1-0 5-6 *40-15,1.17,4.60
1-0 6-6 0-0*,1.17,4.80
1-0 6-6 0-0*,1.16,4.80
1-0 6-6 *0-1,1.22,4.00
1-0 6-6 *1-1,1.17,4.65
1-0 6-6 2-1*,1.11,6.00
1-0 6-6 3-1*,1.05,8.50
1-0 6-6 *3-2,1.10,6.00
1-0 6-6 *4-2,1.04,9.50
1-0 6-6 *4-2,1.05,8.50
1-0 6-6 4-3*,1.10,6.00
1-0 6-6 5-3*,1.03,10.00
1-0 6-6 *5-4,1.06,7.75
1-0 6-6 *6-4,1.01,13.00
1-0 6-6 6-5*,1.06,7.50
1-0 6-6 6-6*,1.17,4.65
1-0 6-6 *7-6,1.04,9.50
