Score,P1 Odds,P2 Odds
-,1.06,7.75
0-0 0-0 15-0*,1.05,8.50
0-0 0-0 40-0*,1.03,10.00
0-0 0-0 40-15*,1.04,9.50
0-0 1-0 *0-0,1.03,10.00
0-0 1-0 *0-0,1.01,13.00
0-0 1-0 *15-15,1.01,13.00
0-0 1-0 *30-15,1.01,14.00
0-0 1-0 *40-15,1.005,15.00
0-0 2-0 0-0*,1.001,81.00
0-0 2-0 0-15*,1.001,81.00
0-0 2-1 *40-15,1.002,41.00
0-0 3-1 0-15*,1.02,12.00
0-0 3-1 30-15*,1.01,13.00
0-0 3-1 30-30*,1.02,12.00
0-0 3-1 30-40*,1.02,12.00
0-0 3-2 *0-0,1.03,10.00
0-0 3-2 *15-0,1.02,11.00
0-0 3-2 *30-15,1.02,12.00
0-0 3-2 *30-30,1.02,10.00
0-0 3-2 *40-30,1.02,12.00
0-0 4-2 0-0*,1.02,12.00
0-0 4-2 0-15*,1.02,12.00
0-0 4-2 15-30*,1.02,12.00
0-0 4-2 15-40*,1.02,12.00
0-0 4-2 30-40*,1.02,12.00
0-0 4-2 A-40*,1.01,14.00
0-0 4-2 40-40*,1.02,12.00
0-0 4-2 A-40*,1.01,14.00
0-0 4-2 40-40*,1.02,12.00
0-0 5-2 *0-0,1.005,21.00
0-0 5-2 *15-0,1.005,21.00
0-0 5-2 *15-15,1.005,17.00
0-0 5-2 *30-15,1.005,21.00
0-0 5-2 *30-30,1.005,17.00
0-0 5-2 *40-30,1.005,21.00
0-0 5-2 *40-40,1.005,17.00
0-0 5-2 *A-40,1.005,21.00
1-0 6-2 0-0*,1.005,34.00
1-0 6-2 0-15*,1.01,13.00
1-0 6-2 15-15*,1.01,14.00
1-0 0-0 15-30*,1.01,14.00
1-0 0-1 *0-0,1.02,12.00
1-0 0-1 *15-0,1.02,12.00
1-0 0-1 *30-0,1.01,12.00
1-0 0-1 *40-15,1.01,13.00
1-0 1-1 0-0*,1.01,13.00
1-0 1-1 0-0*,1.02,12.00
1-0 1-1 15-30*,1.02,12.00
1-0 1-1 15-40*,1.02,11.00
1-0 1-2 *0-0,1.03,10.00
1-0 1-2 *0-15,1.04,9.50
1-0 1-2 *30-15,1.03,10.00
1-0 1-2 *40-30,1.03,10.00
1-0 1-2 *40-40,1.04,9.50
1-0 1-2 *40-A,1.06,7.75
1-0 1-2 *A-40,1.03,10.00
1-0 1-2 *40-40,1.04,9.50
1-0 1-2 *A-40,1.05,9.50
1-0 2-2 0-0*,1.02,11.00
1-0 2-2 0-15*,1.03,10.00
1-0 2-2 15-15*,1.02,11.00
1-0 2-2 30-15*,1.02,12.00
1-0 2-2 40-15*,1.01,14.00
1-0 3-2 *0-0,1.005,21.00
1-0 3-2 *0-15,1.01,14.00
1-0 3-2 *0-30,1.01,13.00
1-0 3-2 *15-30,1.01,13.00
1-0 3-2 *30-30,1.005,17.00
1-0 3-2 *30-40,1.01,13.00
1-0 3-2 *40-40,1.01,15.00
1-0 3-2 *A-40,1.005,17.00
1-0 3-2 *A-40,1.002,34.00
1-0 4-2 0-0*,1.002,51.00
1-0 4-2 30-0*,1.001,101.00
1-0 4-2 40-0*,1.001,101.00
1-0 5-2 *0-0,1.001,126.00
