Score,P1 Odds,P2 Odds
-,1.58,2.29
0-0 0-0 *0-15,1.66,2.13
0-0 0-0 *15-15,1.58,2.27
0-0 3-0 0-15*,1.22,4.00
0-0 3-1 *40-0,1.20,4.25
0-0 3-1 *40-15,1.20,4.25
0-0 4-1 0-0*,1.20,4.30
0-0 5-2 0-15*,1.20,4.25
0-0 5-2 0-40*,1.22,4.00
0-0 5-2 15-40*,1.22,4.10
0-0 5-2 30-40*,1.20,4.25
0-0 5-3 *0-0,1.22,4.00
0-0 5-3 *40-15,1.17,4.65
1-0 0-0 0-0*,1.17,4.65
1-0 0-0 0-0*,1.14,5.20
1-0 0-0 0-15*,1.17,4.65
1-0 0-0 15-15*,1.14,5.20
1-0 0-0 30-15*,1.13,5.50
1-0 0-0 40-15*,1.09,6.50
1-0 1-2 *40-30,1.20,4.30
1-0 1-2 *40-40,1.25,3.70
1-0 2-2 0-0*,1.15,4.80
1-0 2-2 0-15*,1.17,4.60
1-0 2-2 15-15*,1.14,5.20
1-0 2-2 15-30*,1.17,4.60
1-0 2-2 30-30*,1.14,5.20
1-0 2-2 40-30*,1.10,6.00
1-0 2-2 40-30*,1.06,8.00
1-0 2-2 40-15*,1.08,6.50
1-0 2-2 40-15*,1.11,5.90
1-0 3-3 15-40*,1.28,3.45
1-0 3-3 15-15*,1.33,3.18
1-0 3-3 40-40*,1.30,3.32
1-0 6-5 *0-0,1.03,10.00
1-0 6-5 *15-0,1.01,13.00
1-0 6-5 *15-0,1.02,12.00
1-0 6-5 *30-0,1.005,34.00
