Score,P1 Odds,P2 Odds
-,2.92,1.37
0-0 0-0 0-15*,3.70,1.25
0-0 0-0 15-15*,3.45,1.28
0-0 0-0 30-15*,3.16,1.33
0-0 0-0 30-30*,3.45,1.28
0-0 1-0 *0-0,2.26,1.59
0-0 1-0 *15-0,2.17,1.64
0-0 1-0 *40-0,2.04,1.72
0-0 2-0 0-0*,2.00,1.74
0-0 2-0 0-15*,2.05,1.71
0-0 2-0 0-30*,2.10,1.68
0-0 2-0 0-40*,2.12,1.67
0-0 2-1 *0-0,2.15,1.65
0-0 2-1 *0-15,2.35,1.55
0-0 2-1 *0-30,2.67,1.44
0-0 2-1 *0-40,3.10,1.34
0-0 2-1 *0-40,3.14,1.33
0-0 2-1 *15-40,2.92,1.37
0-0 2-2 0-0*,3.45,1.28
0-0 2-2 0-15*,3.70,1.25
0-0 2-2 0-30*,4.00,1.22
0-0 2-2 0-40*,4.00,1.22
0-0 2-2 0-15*,4.60,1.17
0-0 2-2 15-15*,4.05,1.22
0-0 2-2 30-15*,3.92,1.23
0-0 2-2 30-30*,4.25,1.20
0-0 2-2 40-40*,4.25,1.20
0-0 2-2 A-40*,3.78,1.25
0-0 2-2 40-40*,4.25,1.20
0-0 2-3 *40-40,4.25,1.20
0-0 2-3 *40-A,4.25,1.20
0-0 2-3 *40-A,5.20,1.14
0-0 2-3 *40-A,4.25,1.20
0-0 2-3 *A-40,3.78,1.25
0-0 2-3 *A-40,4.25,1.20
0-0 2-3 *A-40,3.80,1.25
0-0 2-3 *A-40,4.25,1.20
0-0 2-3 *40-A,5.20,1.14
0-0 2-3 *40-A,4.25,1.20
0-0 2-3 *40-40,4.25,1.20
0-0 2-3 *A-40,3.90,1.25
0-0 2-3 *A-40,4.25,1.20
0-0 2-3 *A-40,3.75,1.25
0-0 2-3 *A-40,4.25,1.20
0-0 2-3 *A-40,3.78,1.25
0-0 2-3 *A-40,4.50,1.17
0-0 2-3 *40-A,5.20,1.14
0-0 2-3 *40-A,4.25,1.20
0-0 2-3 *40-A,5.20,1.14
0-0 2-3 *40-A,4.25,1.20
0-0 2-3 *40-40,3.80,1.25
0-0 3-3 0-0*,3.45,1.28
0-0 3-3 15-0*,3.12,1.33
0-0 3-3 15-15*,3.45,1.28
0-0 3-3 15-30*,3.70,1.25
0-0 3-3 15-40*,4.00,1.22
0-0 3-3 30-40*,3.70,1.25
0-0 3-4 *0-0,4.05,1.22
0-0 3-4 *40-0,4.25,1.20
0-0 3-4 *40-15,4.30,1.20
0-0 4-4 0-0*,4.25,1.20
0-0 4-4 0-15*,4.60,1.17
0-0 4-4 0-30*,4.65,1.17
0-0 4-4 15-40*,4.65,1.17
0-0 4-4 30-40*,4.60,1.17
0-0 4-5 *0-0,5.00,1.15
0-0 4-5 *0-15,5.40,1.13
0-0 4-5 *15-15,5.00,1.15
0-0 4-5 *40-15,4.00,1.22
0-0 4-5 *40-30,4.25,1.20
0-0 5-5 0-0*,3.98,1.22
0-0 5-5 0-30*,4.25,1.20
0-0 5-5 0-40*,4.60,1.17
0-0 5-6 *0-0,4.60,1.17
0-0 5-6 *15-15,4.60,1.17
0-0 5-6 *15-30,5.40,1.13
0-0 5-6 *30-30,4.65,1.17
0-0 5-6 *30-40,6.00,1.10
0-1 5-7 0-0*,10.00,1.03
0-1 0-0 0-0*,9.50,1.04
0-1 0-0 0-30*,10.00,1.03
0-1 0-0 0-40*,10.00,1.03
0-1 0-1 *0-0,10.00,1.03
0-1 0-1 *0-15,12.00,1.02
0-1 0-1 *15-15,10.00,1.03
0-1 0-1 *30-30,10.00,1.03
0-1 0-1 *30-30,11.00,1.02
0-1 0-1 *30-40,13.00,1.01
0-1 0-2 0-0*,34.00,1.004
0-1 0-1 *30-40,34.00,1.004
0-1 0-1 *15-40,17.00,1.005
0-1 0-1 *15-15,34.00,1.004
0-1 0-1 *15-30,41.00,1.002
0-1 0-1 *30-30,34.00,1.005
0-1 0-1 *30-30,21.00,1.005
0-1 0-1 *30-30,41.00,1.002
0-1 0-1 *40-40,17.00,1.005
0-1 0-3 *0-0,51.00,1.002
0-1 0-3 *0-15,81.00,1.001
0-1 0-3 *15-30,81.00,1.001
0-1 0-3 *30-30,67.00,1.002
0-1 0-3 *30-40,81.00,1.001
0-1 0-3 *40-A,81.00,1.001
0-1 0-4 0-0*,126.00,1.001
0-1 0-4 15-0*,101.00,1.001
