Score,P1 Odds,P2 Odds
-,2.22,1.61
0-0 0-0 0-15*,2.34,1.55
0-0 0-0 15-15*,2.20,1.62
0-0 0-0 30-15*,2.04,1.72
0-0 0-0 30-30*,2.18,1.63
0-0 0-0 30-40*,2.35,1.55
0-0 0-1 *0-0,2.58,1.46
0-0 0-1 *15-0,2.44,1.51
0-0 0-1 *15-15,2.60,1.46
0-0 0-1 *15-30,2.86,1.39
0-0 0-1 *15-40,3.18,1.33
0-0 0-2 0-0*,3.45,1.28
0-0 0-2 0-15*,3.70,1.25
0-0 0-2 0-30*,4.00,1.22
0-0 0-2 15-30*,3.70,1.25
0-0 0-2 15-40*,4.00,1.22
0-0 0-3 *0-0,4.05,1.22
0-0 0-3 *0-0,4.10,1.22
0-0 0-3 *0-15,4.25,1.20
0-0 0-3 *15-15,4.10,1.22
0-0 0-3 *15-30,4.50,1.17
0-0 0-3 *15-40,4.65,1.17
0-0 0-3 *30-40,4.60,1.17
0-0 0-4 0-0*,5.20,1.14
0-0 0-4 15-0*,4.65,1.17
0-0 0-4 15-15*,5.20,1.14
0-0 0-4 15-15*,4.65,1.17
0-0 0-4 40-15*,4.60,1.17
0-0 0-4 40-30*,4.65,1.17
0-0 1-4 *0-0,4.25,1.20
0-0 1-4 *15-0,4.25,1.20
0-0 1-4 *30-0,4.00,1.22
0-0 1-4 *30-15,4.10,1.20
0-0 1-4 *40-15,4.00,1.22
0-0 1-4 *40-30,4.00,1.22
0-0 1-4 *40-15,4.00,1.22
0-0 2-4 0-0*,4.60,1.17
0-0 2-4 15-0*,4.20,1.20
0-0 2-4 15-15*,4.60,1.17
0-0 2-4 30-15*,4.00,1.22
0-0 2-4 30-30*,4.25,1.20
0-0 2-4 30-40*,5.00,1.15
0-0 2-5 *0-0,5.40,1.13
0-0 2-5 *15-0,5.20,1.14
0-0 2-5 *15-15,5.40,1.13
0-0 2-5 *15-30,5.70,1.12
0-0 2-5 *15-30,5.70,1.11
0-0 2-5 *30-30,5.40,1.13
0-0 2-5 *40-30,5.20,1.14
0-0 3-5 0-0*,4.80,1.16
0-0 3-5 0-15*,5.20,1.14
0-0 3-5 15-15*,4.80,1.16
0-0 3-5 30-30*,4.65,1.17
0-0 3-5 30-40*,5.40,1.13
0-0 3-5 40-40*,4.60,1.17
0-1 3-6 *0-0,6.00,1.11
0-1 3-6 *0-15,6.50,1.09
0-1 3-6 *15-15,6.00,1.11
0-1 0-0 *15-15,5.40,1.13
0-1 0-0 *40-15,5.20,1.14
0-1 0-0 *40-30,5.20,1.14
0-1 1-0 0-0*,4.65,1.17
0-1 1-0 15-0*,4.25,1.20
0-1 1-0 15-15*,4.65,1.17
0-1 1-0 30-15*,4.25,1.20
0-1 1-0 40-15*,3.70,1.25
0-1 2-0 *0-0,3.32,1.30
0-1 2-0 *15-0,3.14,1.33
0-1 2-0 *30-0,2.98,1.36
0-1 2-0 *40-0,2.84,1.39
0-1 2-0 *40-15,2.92,1.37
0-1 2-0 *40-30,3.08,1.34
0-1 2-0 *40-30,3.10,1.34
0-1 2-0 *40-40,3.45,1.28
0-1 2-0 *40-40,2.84,1.39
0-1 2-0 *15-40,2.67,1.44
0-1 2-0 *15-15,2.81,1.40
0-1 2-0 *30-15,2.62,1.45
0-1 2-0 *30-15,2.61,1.46
0-1 2-0 *40-15,2.42,1.46
0-1 4-0 *0-0,2.21,1.62
0-1 4-0 *0-15,2.29,1.58
0-1 4-0 *15-15,2.21,1.61
0-1 4-0 *15-30,2.31,1.57
0-1 4-0 *15-40,2.42,1.51
0-1 4-1 0-0*,2.50,1.49
0-1 4-1 0-15*,2.62,1.45
0-1 4-1 0-40*,2.83,1.39
0-1 4-1 15-40*,2.82,1.41
0-1 4-1 15-40*,2.76,1.41
0-1 4-2 *0-0,2.85,1.39
0-1 4-2 *0-0,2.86,1.39
0-1 4-2 *0-15,3.13,1.33
0-1 4-2 *0-30,3.40,1.30
0-1 4-2 *0-40,3.70,1.25
0-1 4-2 *15-40,3.45,1.28
0-1 4-3 0-0*,4.00,1.22
0-1 4-3 0-15*,4.25,1.20
0-1 4-3 15-15*,3.80,1.25
0-1 4-3 15-30*,4.25,1.20
0-1 4-3 30-30*,3.75,1.25
0-1 4-3 40-30*,3.14,1.33
0-1 4-3 40-30*,3.10,1.34
0-1 5-3 *0-0,2.59,1.46
0-1 5-3 *0-15,2.80,1.40
0-1 5-3 *0-15,2.59,1.46
0-1 5-3 *30-15,2.39,1.53
0-1 5-3 *40-15,2.22,1.61
1-1 6-3 0-0*,2.01,1.74
1-1 6-3 *1-0,1.69,2.08
1-1 6-3 *2-0,1.47,2.56
1-1 6-3 3-0*,1.30,3.31
1-1 6-3 3-1*,1.44,2.66
1-1 6-3 *3-2,1.64,2.17
1-1 0-0 *3-2,1.64,2.17
1-1 0-0 *4-2,1.40,2.79
1-1 0-0 5-2*,1.25,3.78
1-1 0-0 5-3*,1.36,2.97
1-1 0-0 *6-3,1.17,4.65
1-1 0-0 *7-3,1.08,7.00
1-1 0-0 8-3*,1.02,12.00
1-1 0-0 9-3*,1.002,67.00
1-1 0-0 *9-4,1.004,34.00
