Score,P1 Odds,P2 Odds
-,2.49,1.49
Score,P1 Odds,P2 Odds
-,2.49,1.49
0-0 0-0 0-15*,3.01,1.35
0-0 0-0 0-30*,3.09,1.34
0-0 0-1 *0-0,3.20,1.33
0-0 0-1 *0-0,3.14,1.33
0-0 0-1 *15-0,3.04,1.35
0-0 0-1 *30-15,3.09,1.34
0-0 0-1 *30-30,3.32,1.30
0-0 0-1 *30-40,4.00,1.22
0-0 1-1 0-0*,4.00,1.22
0-0 1-1 0-0*,2.84,1.39
0-0 1-1 0-15*,2.97,1.36
0-0 1-1 0-40*,3.70,1.25
0-0 1-1 15-40*,3.45,1.28
0-0 1-2 *0-0,3.70,1.25
0-0 1-2 *15-0,3.45,1.28
0-0 1-2 *30-0,3.32,1.30
0-0 1-2 *40-0,3.01,1.35
0-0 2-2 0-0*,2.84,1.39
0-0 2-2 0-15*,2.80,1.40
0-0 2-2 0-30*,2.94,1.37
0-0 2-3 *0-0,3.04,1.35
0-0 2-3 *15-0,2.88,1.38
0-0 2-3 *30-0,2.78,1.41
0-0 3-3 0-0*,2.67,1.44
0-0 3-3 15-30*,2.76,1.41
0-0 3-3 15-40*,2.95,1.37
0-0 3-4 *0-0,3.04,1.35
0-0 3-4 *15-0,2.87,1.38
0-0 3-4 *30-0,2.77,1.41
0-0 3-4 *30-15,2.89,1.38
0-0 3-4 *30-30,3.20,1.33
0-0 3-4 *30-40,4.00,1.22
0-0 3-5 0-0*,5.40,1.13
0-0 3-5 15-0*,5.20,1.14
0-0 3-5 15-30*,6.00,1.11
0-0 3-5 15-30*,5.90,1.11
0-0 3-5 15-40*,6.00,1.10
0-1 3-6 *0-0,6.00,1.10
0-1 3-6 *15-0,5.40,1.13
0-1 0-0 *15-0,6.00,1.11
0-1 0-0 *30-0,5.20,1.14
0-1 0-0 *30-15,5.40,1.13
0-1 0-0 *30-30,6.00,1.10
0-1 0-0 *40-30,5.40,1.13
0-1 1-0 0-0*,5.20,1.14
0-1 1-0 15-0*,4.60,1.17
0-1 1-0 15-15*,5.00,1.15
0-1 1-0 15-30*,5.20,1.14
0-1 1-0 15-40*,5.90,1.11
0-1 1-0 15-30*,6.00,1.11
0-1 1-0 15-30*,5.50,1.13
0-1 1-0 15-15*,6.00,1.11
0-1 1-0 30-15*,5.40,1.13
0-1 1-0 40-15*,5.40,1.13
0-1 1-0 40-30*,5.70,1.12
0-1 2-0 0-0*,5.20,1.14
0-1 2-0 0-15*,5.40,1.13
0-1 2-0 0-30*,5.40,1.13
0-1 2-1 15-30*,5.40,1.13
0-1 2-1 30-40*,5.40,1.13
0-1 2-2 *0-0,5.70,1.12
0-1 2-2 *0-0,5.90,1.11
0-1 2-2 *15-0,5.40,1.13
0-1 2-2 *30-0,5.20,1.14
0-1 2-2 *30-15,5.40,1.13
0-1 2-2 *40-15,5.20,1.14
0-1 3-2 0-0*,4.65,1.16
0-1 3-2 0-15*,5.20,1.14
0-1 3-2 0-30*,5.40,1.13
0-1 3-2 15-30*,5.20,1.14
0-1 3-2 15-40*,5.40,1.13
0-1 3-3 *0-15,6.00,1.10
0-1 3-3 *15-15,5.50,1.13
0-1 3-3 *15-30,7.00,1.07
0-1 3-3 *15-30,6.00,1.11
0-1 3-3 *40-40,6.50,1.08
0-1 4-3 0-0*,4.65,1.17
0-1 4-3 0-15*,5.20,1.14
0-1 4-3 15-15*,4.65,1.17
0-1 4-3 15-30*,5.20,1.14
0-1 4-3 15-40*,5.20,1.14
0-1 4-4 *0-0,5.40,1.13
0-1 4-4 *15-15,5.70,1.12
0-1 4-4 *30-15,5.20,1.14
0-1 4-4 *30-30,5.90,1.11
0-1 5-4 0-0*,4.60,1.17
0-1 5-4 15-0*,4.00,1.22
0-1 5-4 15-15*,4.50,1.17
0-1 5-4 30-15*,3.69,1.25
0-1 5-4 30-15*,3.45,1.28
0-1 6-5 0-0*,4.60,1.17
0-1 6-5 0-15*,4.65,1.17
0-1 6-5 0-30*,5.20,1.14
0-1 6-5 0-40*,5.20,1.14
0-1 6-5 15-40*,5.20,1.14
0-1 6-6 *0-0,5.20,1.14
0-1 6-6 0-1*,5.20,1.14
0-1 6-6 0-2*,6.00,1.10
0-1 6-6 *0-3,10.00,1.03
0-1 6-6 1-5*,41.00,1.002
0-1 6-6 *1-6,126.00,1.001
0-1 6-6 *2-6,101.00,1.001
0-1 6-6 *2-6,126.00,1.001
0-1 6-6 3-6*,67.00,1.002
0-1 6-6 4-6*,12.00,1.02
0-1 6-6 *5-6,6.50,1.08
0-1 6-6 *6-6,4.65,1.17
1-1 7-6 0-0*,2.01,1.74
1-1 7-6 0-0*,2.27,1.59
1-1 7-6 *0-1,2.65,1.44
1-1 7-6 *0-2,3.80,1.25
1-1 7-6 1-2*,3.14,1.33
1-1 7-6 1-3*,4.00,1.22
1-1 0-0 1-3*,5.00,1.14
1-1 0-0 1-5*,8.00,1.06
1-1 0-0 2-5*,6.00,1.10
1-1 0-0 3-5*,4.25,1.20
1-1 0-0 *3-6,5.40,1.13
1-1 0-0 *3-7,10.00,1.03
1-1 0-0 3-8*,34.00,1.002
1-1 0-0 4-8*,12.00,1.02
1-1 0-0 *5-9,34.00,1.005
1-1 0-0 6-9*,14.00,1.01
1-1 0-0 6-10*,1.001,1.001
